Id,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,BedroomAbvGr,FullBath,GarageCars,TotalBsmtSF,1stFlrSF,MasVnrArea,GarageArea,SalePrice
1,CollgCr,4,5,1938,1995,1833,18637,6,1,3,909,841,0,1270,193600
2,Gilbert,6,5,1986,1986,1088,13378,3,1,2,533,915,656,324,217800
3,NWAmes,8,6,1933,1954,2216,10498,3,1,2,1053,913,0,747,266500
4,NWAmes,6,5,1898,1987,334,4215,6,1,2,691,450,1016,559,114500
5,Crawfor,6,5,1959,1963,2174,8952,2,1,2,739,896,549,450,281100
6,NridgHt,8,4,1883,1994,1097,22186,5,2,2,1103,1049,942,423,308200
7,SawyerW,4,6,1915,1967,729,21403,4,2,1,890,1082,1090,208,115700
8,SawyerW,7,5,1963,1967,2573,7182,1,2,2,1131,1659,0,360,279600
9,Timber,5,7,1970,1982,1253,9906,1,1,2,561,1260,0,448,207200
10,NWAmes,6,6,1909,1981,1462,4404,4,1,2,864,1115,1219,554,224500
11,Timber,8,3,1941,1960,1952,12881,2,1,1,1345,1279,378,221,287000
12,Mitchel,5,6,1929,1998,1777,5363,4,2,2,1144,1173,85,522,213900
13,Sawyer,6,6,1989,1989,1860,8657,2,1,2,986,1326,1586,585,242500
14,Mitchel,8,5,1951,1955,1654,13843,6,2,0,554,869,0,0,278400
15,Somerst,4,8,1989,1989,1122,7596,1,1,2,540,1077,1213,429,203400
16,NoRidge,7,6,1897,2006,1749,9724,3,2,2,786,761,0,500,348400
17,NridgHt,5,5,1959,1978,2671,16124,4,1,1,629,1123,0,297,389000
18,NridgHt,7,7,1893,1960,1892,16478,2,2,1,740,967,742,224,358900
19,Timber,6,6,1924,1983,1356,7025,4,2,2,801,1572,0,526,234000
20,NAmes,5,5,1977,1977,1331,5242,5,2,2,871,1226,1205,530,180400
21,OldTown,6,5,1930,1951,1514,8044,5,2,2,1127,1847,0,564,200400
22,SawyerW,8,5,1936,1989,966,6499,4,2,0,616,1356,0,0,182400
23,OldTown,5,4,1979,1979,2133,4249,4,2,0,724,1824,0,0,212500
24,Crawfor,5,5,1965,1970,1166,14903,1,1,2,465,1765,0,443,163700
25,OldTown,8,5,1929,2002,1758,4507,5,2,1,1050,967,540,213,200600
26,NAmes,6,7,1944,1984,2978,9401,2,1,2,1467,1597,0,657,316700
27,NoRidge,6,6,1962,1988,1160,9684,3,3,2,1172,1455,521,471,311800
28,OldTown,6,7,1876,1971,1275,5260,4,2,2,388,469,715,319,144700
29,SawyerW,7,7,1966,2009,1710,8800,1,2,2,219,747,917,665,253200
30,Edwards,7,5,1898,1972,2037,13757,6,3,2,2112,887,0,429,227400
31,NoRidge,5,6,1987,1987,1014,9993,3,2,0,1365,906,0,0,208400
32,BrkSide,5,6,2003,2003,1810,6099,2,1,2,1073,1183,0,441,201700
33,Sawyer,7,6,1969,1969,1705,14579,2,2,2,1433,1215,1355,507,244900
34,Edwards,7,7,1893,1957,869,8215,4,2,1,983,969,0,301,134100
35,Mitchel,3,6,1954,1996,1237,12724,6,1,1,1046,636,927,196,134300
36,Sawyer,6,6,1895,1989,2150,10901,4,2,3,685,1331,146,690,267800
37,SawyerW,6,6,1988,1988,1211,10199,2,2,1,947,364,411,189,210500
38,Somerst,8,6,1877,1989,593,7749,6,2,2,1115,704,1263,571,173100
39,OldTown,8,5,1882,1978,1309,7263,5,1,2,948,1088,0,354,191300
40,Sawyer,6,5,1901,1957,2312,7686,4,1,2,974,400,795,623,293900
41,CollgCr,10,3,1939,1978,345,6652,4,1,2,312,1094,1437,502,220800
42,Timber,4,6,1952,1994,1527,24942,3,2,2,1442,838,1261,511,225100
43,OldTown,6,6,1915,2002,1741,9547,6,1,2,1294,1512,114,392,180400
44,NWAmes,6,6,1906,1984,1495,6381,5,2,2,352,644,0,424,230400
45,Edwards,7,7,2006,2006,639,11671,2,2,2,766,1362,449,482,184300
46,Crawfor,7,6,1897,1963,1283,17738,3,2,2,362,1413,44,495,231400
47,NWAmes,8,7,1940,1996,1113,6388,3,2,2,1626,1417,182,589,209500
48,NridgHt,7,7,1901,1993,2491,12550,6,2,0,1688,1286,0,0,421200
49,Somerst,7,7,1884,1993,859,9579,2,1,2,1129,1531,691,594,177500
50,NoRidge,6,7,1996,2000,1803,3372,1,1,1,1039,1184,0,198,327800
51,NWAmes,4,5,1880,2001,889,4808,4,2,2,1374,815,0,693,133900
52,Mitchel,6,6,1933,1959,1846,6477,5,2,2,1416,1828,0,555,258600
53,OldTown,6,6,1949,1982,1263,6673,6,2,1,1717,1422,0,231,194000
54,Timber,4,6,1970,1977,1196,5689,5,1,2,1610,1237,241,397,220200
55,Sawyer,7,8,1994,1994,2186,8143,1,2,2,1298,1253,0,400,249800
56,NoRidge,5,6,1886,1965,1181,14086,3,2,2,1051,1136,456,598,221600
57,Somerst,7,6,1956,1975,640,5998,3,2,2,843,1238,1219,557,208900
58,NWAmes,7,6,1877,1967,1070,15577,3,2,2,1405,1674,326,430,209500
59,OldTown,4,5,1876,1968,1460,15473,5,2,2,809,771,363,563,135300
60,Edwards,5,5,1971,1975,1912,8214,3,1,2,1142,1421,0,415,184000
61,NAmes,5,5,1961,2004,484,8668,2,2,3,777,938,0,718,132500
62,Somerst,5,6,1999,1999,1329,13789,1,1,1,414,444,1538,350,225800
63,NWAmes,8,7,1919,1989,804,5809,1,1,2,1168,371,0,379,191000
64,Edwards,6,5,1912,2007,471,4192,1,2,2,1457,674,29,501,110700
65,NWAmes,5,6,1974,1977,2366,3705,4,2,3,615,804,1060,789,272600
