Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
161835.08956220525,0.83593,-1.382649,-1.026371,0.6664,0.559133,0.080884,1.419686,-0.076651,-2.261274,2.589652,0.498294,-0.249515,0.493084,-0.908623,1.335658,-0.770174,-0.137321,-0.434397,-0.016861,-1.206496,-1.065571,-0.452301,-0.410877,-0.053797,-0.483275,-0.985237,1.073459,-0.616132,66.88,0
30788.982790892413,-0.140982,-1.365113,0.32812,-0.005365,0.049456,0.877304,1.098312,0.753304,-0.971676,-0.721105,-0.734235,-1.008225,-0.563947,-0.387413,0.739579,0.918301,1.466348,0.093727,-0.437711,2.032288,1.181455,2.343676,-0.633912,0.644627,0.610269,0.925128,-0.451105,-0.996196,17.87,0
115325.26338365555,-0.606547,0.315849,2.778063,-0.231834,0.358879,1.816492,-0.643465,0.779008,0.959246,0.459932,-1.546593,1.2863,0.47057,-0.202494,0.074344,0.181643,-1.904176,0.173388,0.804259,-0.168997,-0.823273,-1.362439,1.145546,0.579138,0.832074,-0.828685,0.277786,0.173974,1.01,0
77425.47895230111,0.700127,1.145533,0.623798,-0.410089,-0.364091,-0.781785,-1.318466,0.463191,0.245013,-1.120724,1.000383,-1.029043,-1.451013,-1.386109,0.723794,0.014821,-2.620412,-0.405784,-1.342837,-2.715518,0.176758,-0.315752,1.162172,-0.241145,0.622717,2.116723,-0.027945,0.666056,3.49,0
111453.2612059823,-0.188646,1.384039,-0.302039,0.492468,-1.163686,0.127036,-1.57387,-1.087118,0.205868,0.636436,0.791305,-0.529244,0.339956,0.300547,0.319956,1.76883,-0.4395,0.430945,0.29371,1.033481,-0.451186,0.494924,0.799357,1.226916,0.318228,-0.205583,0.172306,-0.490675,71.75,0
109905.21420355621,1.439943,-0.570021,-1.306975,-1.507573,-1.313873,-0.881452,1.285136,-2.590112,-0.73978,3.289849,0.171928,-0.259271,0.051161,1.444547,-1.518993,1.49444,1.715781,-0.441983,-0.409121,1.897733,1.933398,-0.732463,-1.63468,1.279666,-2.520845,0.555386,-1.460541,-0.375293,2664.08,0
80527.89693278748,-0.595376,-1.388562,-0.629989,0.396768,0.416623,-0.763337,0.390682,0.420688,-0.586546,0.949032,-2.031799,-1.417298,1.300486,1.584543,0.87151,-1.741644,-0.554444,1.222926,-2.563441,0.598498,0.138365,0.17514,0.356172,0.005206,0.903894,0.275786,0.506163,-1.466741,7.43,0
150496.42264276027,-0.539609,0.867841,-0.514005,0.723333,-0.590546,1.05375,0.415257,0.266048,1.162994,1.6195,1.413297,1.269443,0.646901,0.67905,0.407296,-0.216376,0.466442,1.341301,0.256775,-0.159541,1.400175,-1.458451,-0.283538,0.164981,1.4398,-1.269375,0.355764,-0.053532,2.37,0
5481.345799083962,-2.341552,-0.604511,-0.662013,-0.768222,1.428983,0.804076,1.251791,-0.633323,-1.608425,0.796568,0.176816,-0.321611,0.133162,0.959577,1.293206,-0.178109,0.650205,1.928239,0.102088,-0.786238,-0.465939,-0.43736,-0.383984,1.303717,0.193795,-0.22167,-0.703217,-0.987558,5.69,0
114692.53067688414,-1.455411,-0.7397,1.452292,1.82524,-0.031323,0.375636,0.082067,-1.673896,-0.35544,-0.836231,0.039896,-0.279963,-1.687062,-0.401493,-2.04407,-0.163121,-0.407085,-0.923487,0.094526,-0.89602,-0.585085,-2.077094,1.318206,0.580525,-0.16428,0.399687,1.77009,0.106183,4.17,0
