country,continent,year,lifeExp,pop,gdpPercap
Algeria,Africa,1952,37.23,3100450,629.82
Algeria,Africa,1957,39.31,3512553,699.94
Algeria,Africa,1962,41.86,3783928,776.78
Algeria,Africa,1967,44.1,4171757,707.36
Algeria,Africa,1972,46.04,4565633,1172.44
Algeria,Africa,1977,47.72,4112945,1122.12
Algeria,Africa,1982,48.7,5137789,1277.12
Algeria,Africa,1987,51.18,6838519,2295.04
Algeria,Africa,1992,54.12,5716963,2861.88
Algeria,Africa,1997,55.11,7395658,1488.65
Algeria,Africa,2002,58.1,9260498,1323.64
Algeria,Africa,2007,60.73,13586089,3229.88
Angola,Africa,1952,37.54,10703922,1137.22
Angola,Africa,1957,39.9,12179173,1170.98
Angola,Africa,1962,42.82,12449330,1357.15
Angola,Africa,1967,46.18,14640919,2011.84
Angola,Africa,1972,47.87,13936880,1924.03
Angola,Africa,1977,51.34,16280182,1414.93
Angola,Africa,1982,54.46,17634807,1438.11
Angola,Africa,1987,56.24,27108967,1553.33
Angola,Africa,1992,59.01,18858772,3585.64
Angola,Africa,1997,62.77,27947946,3132.9
Angola,Africa,2002,65.1,30948673,6946.96
Angola,Africa,2007,68.17,41428093,3347.61
Benin,Africa,1952,35.4,5866822,368.61
Benin,Africa,1957,39.02,6097712,411.42
Benin,Africa,1962,42.03,7326409,503.74
Benin,Africa,1967,45.89,8501847,520.06
Benin,Africa,1972,49.5,7859824,517.06
Benin,Africa,1977,52.86,12219610,952.87
Benin,Africa,1982,56.15,11010552,486.52
Benin,Africa,1987,58.93,11083980,609.75
Benin,Africa,1992,62.77,17344054,630.81
Benin,Africa,1997,66.8,15811964,597.68
Benin,Africa,2002,70.01,11005225,1193.84
Benin,Africa,2007,74.38,13265757,1218.28
Botswana,Africa,1952,41.79,10463132,383.41
Botswana,Africa,1957,46.35,10846112,449.22
Botswana,Africa,1962,49.13,13072024,535.56
Botswana,Africa,1967,52.41,12825641,603.82
Botswana,Africa,1972,55.64,12983966,548.25
Botswana,Africa,1977,59.14,17222527,682.79
Botswana,Africa,1982,63.48,18431207,595.68
Botswana,Africa,1987,65.46,27640741,527.73
Botswana,Africa,1992,69.43,24666470,935.4
Botswana,Africa,1997,72.2,25890715,514.55
Botswana,Africa,2002,75.98,37630717,642.49
Botswana,Africa,2007,78.24,30754058,780.87
Burkina Faso,Africa,1952,43.61,8921448,310.17
Burkina Faso,Africa,1957,45.17,9848497,339.88
