VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
2,2023-02-22,2023-02-22 00:19:29,1,1.66,-74.016534,40.631752,1,N,-74.02,40.655531,1,16.39,0.5,0.5,3.37,6.55,27.31
2,2023-03-20,2023-03-20 00:02:08,1,3.12,-73.891386,40.664239,1,N,-73.936564,40.667389,2,11.37,0.5,0.5,0.0,0.0,12.37
2,2023-08-19,2023-08-19 00:04:05,2,1.48,-73.958428,40.8161,1,N,-73.97897,40.809688,1,8.24,0.5,0.5,1.96,0.0,11.2
2,2023-02-24,2023-02-24 00:26:29,1,1.45,-73.994866,40.803019,1,N,-73.982979,40.820305,1,19.37,0.5,0.5,0.0,6.55,26.92
1,2023-01-18,2023-01-18 00:30:44,1,3.79,-73.998055,40.808337,1,N,-73.990181,40.753931,1,27.35,0.5,0.5,7.33,0.0,35.68
1,2023-05-25,2023-05-25 00:15:23,1,2.31,-73.83088,40.764598,1,N,-73.804366,40.784964,2,15.96,0.5,0.5,1.65,0.0,18.61
1,2023-05-09,2023-05-09 00:04:07,3,2.85,-73.954918,40.631203,1,N,-73.913627,40.63232,2,11.69,0.5,0.5,1.69,0.0,14.38
1,2023-05-15,2023-05-15 00:19:21,1,3.68,-73.918891,40.750152,1,N,-73.968359,40.730276,2,21.37,0.5,0.5,2.68,0.0,25.05
2,2023-10-15,2023-10-15 00:10:29,2,0.59,-73.819562,40.650677,1,N,-73.812097,40.654938,1,9.22,0.5,0.5,1.31,0.0,11.53
2,2023-09-05,2023-09-05 00:10:21,2,1.58,-73.936685,40.633066,1,N,-73.91405,40.63,1,11.62,0.5,0.5,0.0,0.0,12.62
1,2023-03-06,2023-03-06 00:20:32,1,1.93,-73.908915,40.802041,1,N,-73.900327,40.775366,1,17.59,0.5,0.5,0.0,0.0,18.59
2,2023-03-09,2023-03-09 00:34:14,4,1.75,-73.859746,40.702777,1,N,-73.871415,40.725222,1,23.99,0.5,0.5,5.62,0.0,30.61
1,2023-11-15,2023-11-15 00:12:06,1,6.2,-73.861328,40.638924,1,N,-73.951108,40.640739,2,24.05,0.5,0.5,4.01,0.0,29.06
2,2023-04-07,2023-04-07 00:09:01,1,1.03,-73.859689,40.82419,2,N,-73.851855,40.811403,2,9.58,0.5,0.5,0.0,0.0,10.58
2,2023-01-17,2023-01-17 00:26:42,2,1.88,-73.935149,40.693412,1,N,-73.951835,40.671948,1,20.55,0.5,0.5,4.66,0.0,26.21
1,2023-07-21,2023-07-21 00:13:31,1,5.17,-73.99746,40.633539,1,N,-73.975927,40.7053,2,22.19,0.5,0.5,0.0,0.0,23.19
2,2023-04-17,2023-04-17 00:16:31,1,4.62,-73.76438,40.700348,1,N,-73.776353,40.634459,2,22.31,0.5,0.5,3.72,0.0,27.03
2,2023-04-09,2023-04-09 00:15:19,1,0.62,-73.85539,40.673352,1,N,-73.857151,40.664527,1,11.71,0.5,0.5,2.69,0.0,15.4
1,2023-10-30,2023-10-30 00:34:38,1,3.79,-73.972222,40.743091,1,N,-73.988287,40.69052,1,29.3,0.5,0.5,8.59,0.0,38.89
2,2023-03-22,2023-03-22 00:59:39,1,0.77,-73.849452,40.688198,1,N,-73.84463,40.6781,1,34.25,0.5,0.5,0.0,0.0,35.25
1,2023-05-16,2023-05-16 00:26:39,1,1.79,-74.005418,40.802762,1,N,-74.02,40.781302,2,20.3,0.5,0.5,0.0,0.0,21.3
1,2023-11-14,2023-11-14 00:25:54,1,3.38,-73.77177,40.70587,1,N,-73.803058,40.743546,1,23.9,0.5,0.5,0.0,0.0,24.9
1,2023-09-20,2023-09-20 00:11:55,1,1.69,-74.017401,40.729738,1,N,-74.009335,40.706611,1,12.68,0.5,0.5,2.11,0.0,15.79
2,2023-10-15,2023-10-15 00:07:24,1,3.99,-73.912099,40.654099,1,N,-73.942855,40.703004,1,16.18,0.5,0.5,0.0,0.0,17.18
2,2023-02-11,2023-02-11 00:09:48,3,2.66,-73.837578,40.678265,1,N,-73.855486,40.712385,2,14.05,0.5,0.5,1.94,0.0,16.99
1,2023-12-16,2023-12-16 01:17:41,1,1.56,-73.888547,40.687169,1,N,-73.901466,40.66868,1,45.24,0.5,0.5,0.0,0.0,46.24
1,2023-12-04,2023-12-04 00:12:42,1,1.77,-73.858071,40.743519,1,N,-73.839785,40.761561,1,13.27,0.5,0.5,2.86,0.0,17.13
2,2023-02-20,2023-02-20 00:18:10,1,2.3,-73.766004,40.655771,1,N,-73.78715,40.63,1,17.33,0.5,0.5,0.0,0.0,18.33
1,2023-03-01,2023-03-01 00:05:48,1,1.16,-73.93482,40.7269,1,N,-73.932916,40.74363,1,8.3,0.5,0.5,1.58,0.0,10.88
1,2023-08-28,2023-08-28 00:02:56,3,5.11,-73.808862,40.658796,1,N,-73.75,40.703752,2,16.74,0.5,0.5,2.84,0.0,20.58
1,2023-02-23,2023-02-23 00:12:37,1,2.92,-73.872332,40.83108,2,N,-73.913933,40.839163,1,16.11,0.5,0.5,4.03,6.55,27.69
2,2023-08-31,2023-08-31 00:12:09,1,0.88,-73.912538,40.630551,6,N,-73.925232,40.63,1,10.77,0.5,0.5,0.0,0.0,11.77
2,2023-03-14,2023-03-14 00:08:37,1,0.75,-73.803013,40.664191,1,N,-73.79248,40.661697,1,8.68,0.5,0.5,1.65,0.0,11.33
2,2023-04-20,2023-04-20 00:11:01,1,3.11,-73.9295,40.648367,1,N,-73.970672,40.63,1,15.79,0.5,0.5,3.08,0.0,19.87
2,2023-12-22,2023-12-22 00:14:58,1,6.84,-73.919372,40.668244,1,N,-74.010852,40.63,1,27.08,0.5,0.5,7.05,0.0,35.13
2,2023-02-03,2023-02-03 01:34:05,1,3.17,-73.99235,40.757986,1,N,-74.015046,40.718065,2,57.47,0.5,0.5,0.0,9.0,67.47
1,2023-12-23,2023-12-23 00:04:44,1,1.63,-73.98325,40.714508,1,N,-73.969821,40.733881,1,8.94,0.5,0.5,0.0,0.0,9.94
1,2023-03-17,2023-03-17 00:05:20,1,4.42,-73.875694,40.710387,1,N,-73.916137,40.660648,2,16.22,0.5,0.5,2.52,0.0,19.74
