customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST000000,UNIQ000000,72431,Porto Alegre,PR
CUST000001,UNIQ000001,58716,Rio de Janeiro,PR
CUST000002,UNIQ000002,20066,Porto Alegre,BA
CUST000003,UNIQ000003,12009,Belo Horizonte,RS
CUST000004,UNIQ000004,98850,Brasília,PR
CUST000005,UNIQ000005,28827,Recife,BA
CUST000006,UNIQ000006,64793,Curitiba,DF
CUST000007,UNIQ000007,29928,São Paulo,CE
CUST000008,UNIQ000008,55837,Porto Alegre,SP
CUST000009,UNIQ000009,87754,Belo Horizonte,RJ
CUST000010,UNIQ000010,40447,Rio de Janeiro,SP
CUST000011,UNIQ000011,92404,Recife,SP
CUST000012,UNIQ000012,48695,Curitiba,CE
CUST000013,UNIQ000013,47459,Curitiba,BA
CUST000014,UNIQ000014,34353,Brasília,PR
CUST000015,UNIQ000015,70629,Fortaleza,CE
CUST000016,UNIQ000016,62348,Brasília,BA
CUST000017,UNIQ000017,97248,Curitiba,RS
CUST000018,UNIQ000018,57714,Salvador,PR
CUST000019,UNIQ000019,33247,Rio de Janeiro,CE
CUST000020,UNIQ000020,97519,Manaus,RJ
CUST000021,UNIQ000021,54461,Porto Alegre,PE
CUST000022,UNIQ000022,11583,São Paulo,DF
CUST000023,UNIQ000023,88163,Rio de Janeiro,PE
CUST000024,UNIQ000024,35007,Recife,BA
CUST000025,UNIQ000025,70404,Salvador,PR
CUST000026,UNIQ000026,23223,Rio de Janeiro,AM
CUST000027,UNIQ000027,88425,Rio de Janeiro,MG
CUST000028,UNIQ000028,97117,Recife,RJ
CUST000029,UNIQ000029,42887,São Paulo,MG
CUST000030,UNIQ000030,26249,Fortaleza,MG
CUST000031,UNIQ000031,35369,Manaus,BA
CUST000032,UNIQ000032,75122,Curitiba,PR
CUST000033,UNIQ000033,16661,Salvador,DF
CUST000034,UNIQ000034,53495,Curitiba,RJ
CUST000035,UNIQ000035,73686,Fortaleza,MG
CUST000036,UNIQ000036,28201,Brasília,CE
CUST000037,UNIQ000037,83411,Manaus,CE
CUST000038,UNIQ000038,21586,Fortaleza,PE
CUST000039,UNIQ000039,57543,Salvador,BA
CUST000040,UNIQ000040,90229,Curitiba,RJ
CUST000041,UNIQ000041,60059,Brasília,RJ
CUST000042,UNIQ000042,33031,Fortaleza,AM
CUST000043,UNIQ000043,66141,Fortaleza,PR
CUST000044,UNIQ000044,93953,Manaus,BA
CUST000045,UNIQ000045,60412,Rio de Janeiro,CE
CUST000046,UNIQ000046,27948,Recife,SP
CUST000047,UNIQ000047,44940,Curitiba,RS
CUST000048,UNIQ000048,79042,Salvador,RS
CUST000049,UNIQ000049,57564,Curitiba,PR
CUST000050,UNIQ000050,77463,São Paulo,DF
CUST000051,UNIQ000051,68675,Brasília,MG
CUST000052,UNIQ000052,29800,Belo Horizonte,RS
CUST000053,UNIQ000053,20869,Salvador,SP
CUST000054,UNIQ000054,52169,Salvador,AM
CUST000055,UNIQ000055,60718,Porto Alegre,CE
CUST000056,UNIQ000056,49335,Rio de Janeiro,MG
CUST000057,UNIQ000057,69661,Rio de Janeiro,DF
CUST000058,UNIQ000058,12115,Brasília,MG
CUST000059,UNIQ000059,72411,Porto Alegre,AM
CUST000060,UNIQ000060,94051,Belo Horizonte,CE
CUST000061,UNIQ000061,35403,Curitiba,DF
CUST000062,UNIQ000062,51504,Curitiba,RS
CUST000063,UNIQ000063,88247,Porto Alegre,RS
CUST000064,UNIQ000064,78571,Manaus,BA
CUST000065,UNIQ000065,89252,Recife,RS
CUST000066,UNIQ000066,59291,Rio de Janeiro,MG
CUST000067,UNIQ000067,46200,Salvador,BA
CUST000068,UNIQ000068,23607,Belo Horizonte,MG
CUST000069,UNIQ000069,88360,Rio de Janeiro,RS
CUST000070,UNIQ000070,23934,Fortaleza,MG
CUST000071,UNIQ000071,53276,Brasília,CE
CUST000072,UNIQ000072,53984,Fortaleza,AM
CUST000073,UNIQ000073,63673,Manaus,SP
CUST000074,UNIQ000074,81960,Recife,CE
CUST000075,UNIQ000075,39447,Brasília,MG
CUST000076,UNIQ000076,22892,Brasília,PE
CUST000077,UNIQ000077,75181,Manaus,PR
CUST000078,UNIQ000078,70456,Salvador,BA
CUST000079,UNIQ000079,54623,Manaus,SP
CUST000080,UNIQ000080,81797,São Paulo,BA
CUST000081,UNIQ000081,71462,Brasília,SP
CUST000082,UNIQ000082,34733,Curitiba,PE
CUST000083,UNIQ000083,96160,Fortaleza,DF
CUST000084,UNIQ000084,27122,Manaus,SP
CUST000085,UNIQ000085,16549,Recife,BA
CUST000086,UNIQ000086,56571,Salvador,RS
CUST000087,UNIQ000087,75458,Porto Alegre,PE
CUST000088,UNIQ000088,27900,Rio de Janeiro,RJ
CUST000089,UNIQ000089,24940,Curitiba,AM
CUST000090,UNIQ000090,24700,Salvador,RS
CUST000091,UNIQ000091,80380,Recife,SP
CUST000092,UNIQ000092,56635,Belo Horizonte,BA
CUST000093,UNIQ000093,42422,Manaus,RS
CUST000094,UNIQ000094,68424,Recife,AM
CUST000095,UNIQ000095,31704,Manaus,SP
CUST000096,UNIQ000096,65312,Salvador,SP
CUST000097,UNIQ000097,45479,Porto Alegre,RJ
CUST000098,UNIQ000098,30089,Recife,CE
CUST000099,UNIQ000099,37454,Salvador,PE
CUST000100,UNIQ000100,24616,Porto Alegre,PR
CUST000101,UNIQ000101,29310,Curitiba,BA
CUST000102,UNIQ000102,11729,Belo Horizonte,RJ
CUST000103,UNIQ000103,99748,São Paulo,PE
CUST000104,UNIQ000104,51840,Fortaleza,CE
CUST000105,UNIQ000105,65248,Rio de Janeiro,RS
CUST000106,UNIQ000106,14259,Recife,CE
CUST000107,UNIQ000107,71479,Brasília,PE
CUST000108,UNIQ000108,71164,Recife,BA
CUST000109,UNIQ000109,34942,Salvador,BA
CUST000110,UNIQ000110,21807,Belo Horizonte,SP
CUST000111,UNIQ000111,52250,Porto Alegre,PR
CUST000112,UNIQ000112,69271,São Paulo,MG
CUST000113,UNIQ000113,39767,Brasília,MG
CUST000114,UNIQ000114,72422,Salvador,DF
CUST000115,UNIQ000115,28047,Rio de Janeiro,MG
CUST000116,UNIQ000116,81005,Salvador,RS
CUST000117,UNIQ000117,86028,Porto Alegre,AM
CUST000118,UNIQ000118,47516,Recife,AM
CUST000119,UNIQ000119,52554,Rio de Janeiro,SP
CUST000120,UNIQ000120,49130,Rio de Janeiro,AM
CUST000121,UNIQ000121,16752,Manaus,MG
CUST000122,UNIQ000122,64111,Curitiba,AM
CUST000123,UNIQ000123,98884,Brasília,SP
CUST000124,UNIQ000124,93541,Brasília,DF
CUST000125,UNIQ000125,96544,Rio de Janeiro,PE
CUST000126,UNIQ000126,37220,Salvador,RS
CUST000127,UNIQ000127,34332,Curitiba,SP
CUST000128,UNIQ000128,41760,Porto Alegre,CE
CUST000129,UNIQ000129,92102,Curitiba,RJ
CUST000130,UNIQ000130,17246,Manaus,RS
CUST000131,UNIQ000131,27336,Fortaleza,BA
CUST000132,UNIQ000132,68752,Salvador,RS
CUST000133,UNIQ000133,23926,Salvador,RJ
CUST000134,UNIQ000134,39850,Manaus,PR
CUST000135,UNIQ000135,63395,Fortaleza,PR
CUST000136,UNIQ000136,98546,Curitiba,BA
CUST000137,UNIQ000137,73089,Curitiba,RJ
CUST000138,UNIQ000138,77708,Porto Alegre,RJ
CUST000139,UNIQ000139,86028,Fortaleza,PE
CUST000140,UNIQ000140,76025,Manaus,RS
CUST000141,UNIQ000141,69312,Curitiba,RJ
CUST000142,UNIQ000142,93353,Porto Alegre,PE
CUST000143,UNIQ000143,19919,Belo Horizonte,MG
CUST000144,UNIQ000144,40827,Brasília,DF
CUST000145,UNIQ000145,46693,Belo Horizonte,BA
CUST000146,UNIQ000146,18377,São Paulo,BA
CUST000147,UNIQ000147,99355,Fortaleza,RS
CUST000148,UNIQ000148,61218,Curitiba,BA
CUST000149,UNIQ000149,12998,Salvador,PE
CUST000150,UNIQ000150,69674,Recife,PE
CUST000151,UNIQ000151,74053,Manaus,MG
CUST000152,UNIQ000152,84353,Porto Alegre,RS
CUST000153,UNIQ000153,28626,Belo Horizonte,RS
CUST000154,UNIQ000154,23905,Recife,PE
CUST000155,UNIQ000155,54712,Rio de Janeiro,SP
CUST000156,UNIQ000156,49534,Rio de Janeiro,BA
CUST000157,UNIQ000157,25884,São Paulo,BA
CUST000158,UNIQ000158,51405,Rio de Janeiro,BA
CUST000159,UNIQ000159,69090,Fortaleza,PE
CUST000160,UNIQ000160,28029,Manaus,PE
CUST000161,UNIQ000161,16370,Curitiba,MG
CUST000162,UNIQ000162,45368,Curitiba,PR
CUST000163,UNIQ000163,75040,Brasília,RS
CUST000164,UNIQ000164,16996,São Paulo,RJ
CUST000165,UNIQ000165,43066,Rio de Janeiro,PR
CUST000166,UNIQ000166,27029,Fortaleza,AM
CUST000167,UNIQ000167,64931,Curitiba,RS
CUST000168,UNIQ000168,32715,Brasília,PE
CUST000169,UNIQ000169,60433,Fortaleza,RJ
CUST000170,UNIQ000170,90116,Brasília,AM
CUST000171,UNIQ000171,95564,Fortaleza,RS
CUST000172,UNIQ000172,53764,São Paulo,RS
CUST000173,UNIQ000173,34825,Rio de Janeiro,CE
CUST000174,UNIQ000174,12685,São Paulo,PE
CUST000175,UNIQ000175,55514,Fortaleza,MG
CUST000176,UNIQ000176,87745,Recife,SP
CUST000177,UNIQ000177,39590,Curitiba,MG
CUST000178,UNIQ000178,62626,Rio de Janeiro,RJ
CUST000179,UNIQ000179,25397,Recife,PE
CUST000180,UNIQ000180,27267,Curitiba,MG
CUST000181,UNIQ000181,38637,Recife,PR
CUST000182,UNIQ000182,51074,Fortaleza,DF
CUST000183,UNIQ000183,52102,São Paulo,DF
CUST000184,UNIQ000184,97539,Curitiba,RS
CUST000185,UNIQ000185,84766,Fortaleza,BA
CUST000186,UNIQ000186,86773,Belo Horizonte,CE
CUST000187,UNIQ000187,32656,Brasília,RS
CUST000188,UNIQ000188,90790,Belo Horizonte,RJ
CUST000189,UNIQ000189,62738,Recife,DF
CUST000190,UNIQ000190,34743,Belo Horizonte,BA
CUST000191,UNIQ000191,26377,Brasília,MG
CUST000192,UNIQ000192,53190,Belo Horizonte,RJ
CUST000193,UNIQ000193,30100,Salvador,PR
CUST000194,UNIQ000194,93036,Salvador,RS
CUST000195,UNIQ000195,85383,Porto Alegre,RS
CUST000196,UNIQ000196,78305,Recife,RS
CUST000197,UNIQ000197,69377,Salvador,AM
CUST000198,UNIQ000198,15556,Salvador,MG
CUST000199,UNIQ000199,96852,Rio de Janeiro,PR
CUST000200,UNIQ000200,24824,Recife,SP
CUST000201,UNIQ000201,53852,Manaus,SP
CUST000202,UNIQ000202,32991,Recife,DF
CUST000203,UNIQ000203,56365,Manaus,DF
CUST000204,UNIQ000204,70914,Salvador,PE
