geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
30040,1.024752,-49.600543,São Paulo,RS
23468,-0.876905,-52.662002,Recife,CE
88204,-13.148177,-51.913892,Rio de Janeiro,MG
63322,-17.34354,-57.543612,Rio de Janeiro,RS
42223,-32.057475,-59.711815,Belo Horizonte,SP
17496,-10.355951,-47.955692,Curitiba,PE
61060,2.996877,-40.803647,São Paulo,SP
70379,-21.219664,-41.800448,Rio de Janeiro,DF
79477,-21.682662,-67.007528,São Paulo,MG
58709,2.835221,-37.079954,Belo Horizonte,BA
84916,-31.769535,-65.663082,Porto Alegre,BA
79493,-30.770842,-66.33242,Brasília,DF
15483,-10.608568,-58.429582,Fortaleza,RJ
68674,-31.627201,-50.53611,São Paulo,PR
22469,-20.67591,-58.905301,Fortaleza,PR
15729,-27.869478,-60.953644,Recife,DF
74070,-13.774086,-67.249012,Rio de Janeiro,CE
16668,-14.479746,-58.751534,Brasília,AM
41742,-27.530052,-43.767494,Curitiba,SP
81259,-6.635684,-52.152371,Manaus,CE
28603,-30.575558,-37.470768,Recife,SP
39038,-15.560035,-38.259145,Rio de Janeiro,RJ
14454,-28.919154,-39.131903,Fortaleza,RS
39753,-25.852459,-39.479012,Salvador,AM
18276,-11.209473,-50.676177,São Paulo,PE
91584,-5.497183,-40.67308,Recife,PE
75945,-14.719004,-61.093184,Rio de Janeiro,BA
40223,-25.784708,-37.508294,Rio de Janeiro,RJ
67346,-26.718112,-38.802882,Salvador,SP
55801,-16.634108,-58.66971,Salvador,SP
78003,-20.716215,-52.720046,São Paulo,CE
67199,-23.443297,-53.216066,Porto Alegre,CE
92720,-30.873609,-46.62077,Curitiba,BA
82627,-6.890429,-51.987246,São Paulo,DF
56618,-3.551471,-69.657328,Recife,MG
51017,-11.350732,-56.229658,Belo Horizonte,MG
27513,-30.506683,-59.799837,Salvador,MG
96870,-23.196238,-62.68027,Recife,CE
72055,-10.340657,-38.199398,Belo Horizonte,PE
87626,-3.660874,-69.510519,Fortaleza,PR
99759,0.157516,-57.608588,Salvador,RJ
77594,-4.885384,-69.673389,Belo Horizonte,AM
44929,-18.408246,-54.037792,Fortaleza,AM
76828,-21.376244,-55.545175,Manaus,RJ
79995,-33.519098,-48.023412,Curitiba,RJ
20436,4.02995,-64.079756,Curitiba,CE
42012,-13.528545,-53.702021,Salvador,CE
61172,3.644624,-63.675305,Salvador,DF
88927,5.148129,-69.425742,Brasília,MG
