order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD0000192,2,PROD00101,SELL00012,2017-10-31,16.57,8.51
ORD0000577,1,PROD00047,SELL00094,2017-05-27,19.72,7.72
ORD0000945,1,PROD00056,SELL00054,2017-07-20,56.67,10.9
ORD0000473,1,PROD00103,SELL00068,2018-06-21,49.22,12.87
ORD0000777,2,PROD00173,SELL00051,2018-01-04,58.39,8.3
ORD0000599,3,PROD00089,SELL00070,2017-05-28,118.16,14.64
ORD0000253,3,PROD00034,SELL00015,2018-06-26,143.31,17.42
ORD0000301,3,PROD00034,SELL00042,2018-06-26,262.1,13.59
ORD0000364,3,PROD00042,SELL00056,2018-04-07,27.92,5.76
ORD0000808,2,PROD00078,SELL00009,2017-07-02,127.44,9.03
ORD0000581,1,PROD00158,SELL00009,2018-02-19,13.16,16.82
ORD0000259,1,PROD00106,SELL00059,2017-01-19,11.17,16.33
ORD0000944,3,PROD00101,SELL00069,2017-08-23,175.21,7.48
ORD0000551,2,PROD00032,SELL00068,2018-03-28,107.22,19.77
ORD0000934,2,PROD00061,SELL00077,2018-05-17,29.23,7.64
ORD0000575,3,PROD00063,SELL00048,2017-05-19,162.51,13.26
ORD0000519,2,PROD00160,SELL00018,2018-07-28,28.53,10.88
ORD0000985,2,PROD00195,SELL00076,2018-07-25,37.26,12.69
ORD0000883,1,PROD00084,SELL00017,2018-07-17,132.4,7.6
ORD0000620,2,PROD00022,SELL00036,2018-02-21,197.42,22.9
ORD0000545,1,PROD00052,SELL00032,2018-06-30,43.98,18.39
ORD0000647,2,PROD00006,SELL00070,2017-04-16,37.89,13.22
ORD0000052,1,PROD00112,SELL00005,2017-04-12,71.75,14.16
ORD0000605,3,PROD00055,SELL00039,2017-05-06,52.53,15.29
ORD0000861,2,PROD00106,SELL00082,2018-03-18,146.12,10.66
ORD0000272,2,PROD00192,SELL00087,2018-02-17,60.27,20.96
ORD0000898,2,PROD00146,SELL00009,2017-08-11,79.34,28.04
ORD0000616,3,PROD00162,SELL00001,2017-08-12,35.3,11.12
ORD0000413,2,PROD00127,SELL00046,2018-08-19,38.71,14.96
ORD0000020,1,PROD00086,SELL00078,2018-03-23,418.81,12.03
ORD0000623,2,PROD00184,SELL00041,2018-08-06,76.8,8.14
ORD0000719,3,PROD00044,SELL00048,2018-01-27,5.68,14.74
ORD0000332,1,PROD00082,SELL00048,2017-05-20,68.9,5.32
ORD0000155,2,PROD00040,SELL00042,2017-11-27,13.65,9.72
ORD0000145,2,PROD00145,SELL00011,2018-02-14,81.71,19.01
ORD0000774,2,PROD00109,SELL00060,2017-10-09,24.77,15.71
ORD0000372,2,PROD00123,SELL00075,2017-09-13,44.91,35.06
ORD0000146,1,PROD00033,SELL00028,2017-01-26,60.28,21.19
ORD0000581,1,PROD00101,SELL00050,2018-08-21,27.96,7.86
ORD0000868,1,PROD00031,SELL00070,2018-01-18,26.35,21.65
ORD0000771,1,PROD00008,SELL00021,2017-08-05,99.87,18.51
ORD0000424,2,PROD00047,SELL00031,2018-06-11,20.51,10.09
ORD0000393,1,PROD00047,SELL00081,2017-06-25,198.14,37.71
ORD0000833,3,PROD00104,SELL00063,2018-01-21,78.15,15.86
