order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000852,1,credit_card,1,47.23
ORD0000730,1,boleto,3,26.88
ORD0000005,1,credit_card,12,79.12
ORD0000580,1,boleto,1,392.14
ORD0000091,1,debit_card,1,194.39
ORD0000471,1,boleto,6,92.83
ORD0000715,1,credit_card,3,52.0
ORD0000589,1,credit_card,6,145.03
ORD0000403,1,credit_card,3,177.36
ORD0000670,1,credit_card,6,68.55
ORD0000377,1,credit_card,2,20.36
ORD0000417,1,credit_card,10,67.32
ORD0000835,1,voucher,2,42.81
ORD0000738,1,boleto,2,85.77
ORD0000728,1,credit_card,1,92.04
ORD0000459,1,credit_card,1,149.47
ORD0000600,1,credit_card,10,183.34
ORD0000468,1,credit_card,1,66.59
ORD0000679,1,credit_card,1,21.0
ORD0000851,1,boleto,3,501.9
ORD0000072,2,credit_card,2,46.7
ORD0000806,1,voucher,10,361.2
ORD0000406,2,credit_card,10,35.03
ORD0000830,2,credit_card,12,91.11
ORD0000017,1,credit_card,3,132.73
ORD0000533,1,boleto,1,13.46
ORD0000127,1,credit_card,3,362.99
ORD0000939,1,boleto,1,64.69
ORD0000326,1,credit_card,2,49.63
ORD0000143,1,credit_card,1,111.9
ORD0000696,1,voucher,3,99.73
ORD0000903,1,credit_card,2,163.17
ORD0000499,1,credit_card,1,212.19
ORD0000342,1,credit_card,6,25.25
ORD0000546,1,credit_card,1,178.41
ORD0000504,1,boleto,2,101.24
ORD0000998,1,credit_card,2,258.11
ORD0000623,1,credit_card,2,58.1
ORD0000187,1,credit_card,1,1024.38
ORD0000442,1,boleto,1,143.33
ORD0000666,1,credit_card,3,35.87
ORD0000803,1,credit_card,1,354.25
ORD0000682,1,credit_card,2,86.55
ORD0000283,2,credit_card,1,51.25
ORD0000399,1,credit_card,3,35.61
ORD0000169,1,credit_card,3,22.7
ORD0000038,1,boleto,1,84.85
ORD0000474,1,credit_card,1,294.64
ORD0000216,1,credit_card,10,19.23
ORD0000381,1,debit_card,1,13.54
ORD0000694,1,credit_card,2,13.26
ORD0000735,1,credit_card,12,113.38
ORD0000519,1,boleto,3,71.78
ORD0000894,1,boleto,3,93.66
ORD0000954,2,credit_card,1,37.49
ORD0000429,1,credit_card,2,41.52
ORD0000697,2,credit_card,1,95.11
ORD0000389,1,credit_card,2,17.49
ORD0000565,1,credit_card,1,71.38
ORD0000111,1,voucher,1,16.74
ORD0000127,1,credit_card,3,54.2
ORD0000930,1,credit_card,6,70.02
ORD0000520,1,debit_card,12,53.6
ORD0000682,1,credit_card,1,24.73
ORD0000349,1,credit_card,1,77.4
ORD0000074,1,credit_card,6,174.13
ORD0000582,1,credit_card,1,126.79
ORD0000868,1,credit_card,1,63.2
ORD0000017,1,credit_card,3,30.94
ORD0000136,1,credit_card,6,96.63
ORD0000603,1,boleto,3,220.29
ORD0000208,1,credit_card,1,32.65
ORD0000093,1,credit_card,1,13.03
ORD0000364,1,credit_card,6,35.65
ORD0000700,1,credit_card,2,126.28
ORD0000763,1,debit_card,10,46.36
ORD0000724,1,credit_card,2,221.76
ORD0000744,2,debit_card,1,105.75
ORD0000760,1,credit_card,6,48.33
ORD0000773,1,credit_card,2,76.02
ORD0000763,1,boleto,12,7.06
ORD0000852,1,credit_card,1,243.67
ORD0000017,2,credit_card,10,193.13
ORD0000212,1,boleto,1,42.89
ORD0000841,2,boleto,1,21.42
ORD0000544,1,credit_card,3,26.2
ORD0000249,1,credit_card,1,399.64
ORD0000896,2,credit_card,1,137.81
ORD0000011,1,boleto,2,52.42
ORD0000236,1,credit_card,1,202.56
ORD0000280,1,credit_card,2,97.89
ORD0000993,1,credit_card,2,400.25
ORD0000917,1,boleto,12,213.42
ORD0000605,1,boleto,2,78.09
ORD0000168,1,debit_card,6,36.93
ORD0000483,1,boleto,2,577.27
ORD0000626,1,credit_card,1,136.44
ORD0000200,1,credit_card,1,61.35
ORD0000842,2,credit_card,1,207.99
ORD0000639,1,boleto,3,186.88
ORD0000208,1,credit_card,12,33.33
ORD0000718,1,boleto,1,568.83
ORD0000304,1,boleto,2,74.53
ORD0000670,1,boleto,1,115.97
ORD0000475,1,credit_card,3,95.32
ORD0000294,1,credit_card,3,92.84
ORD0000576,1,credit_card,1,1280.64
ORD0000244,1,credit_card,12,210.67
ORD0000149,1,credit_card,2,31.85
ORD0000999,1,credit_card,1,50.55
ORD0000987,1,boleto,1,156.83
ORD0000422,1,debit_card,1,65.73
ORD0000224,1,credit_card,6,200.52
ORD0000563,1,boleto,10,140.89
ORD0000555,1,credit_card,1,58.24
ORD0000725,1,credit_card,2,79.83
ORD0000809,1,credit_card,1,204.1
ORD0000103,2,credit_card,10,210.64
ORD0000843,1,credit_card,1,52.17
ORD0000287,1,credit_card,3,36.16
ORD0000095,1,boleto,1,278.58
ORD0000907,1,credit_card,1,11.31
ORD0000229,1,boleto,1,31.52
ORD0000673,1,credit_card,1,233.84
ORD0000310,1,credit_card,3,159.91
ORD0000771,1,credit_card,2,203.67
ORD0000296,1,credit_card,2,79.16
ORD0000661,1,voucher,6,260.44
ORD0000524,2,credit_card,10,31.44
ORD0000284,2,credit_card,1,85.56
ORD0000406,1,voucher,3,40.49
ORD0000749,1,credit_card,3,186.48
ORD0000305,1,credit_card,1,530.55
ORD0000047,1,credit_card,6,181.17
ORD0000792,2,credit_card,3,62.74
ORD0000252,1,credit_card,10,150.82
ORD0000966,1,credit_card,6,284.23
ORD0000222,1,credit_card,10,53.98
ORD0000980,1,credit_card,3,199.97
ORD0000221,2,credit_card,2,71.76
ORD0000717,1,credit_card,2,487.25
ORD0000348,1,credit_card,6,202.83
ORD0000990,2,boleto,1,251.99
ORD0000938,2,credit_card,12,136.95
ORD0000841,1,credit_card,3,356.59
ORD0000122,1,credit_card,2,8.43
ORD0000479,1,debit_card,1,19.93
ORD0000026,1,credit_card,1,24.24
