review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV0000000,ORD0000000,2,,Not what I expected.,2018-01-06,2018-09-16
REV0000001,ORD0000001,2,Poor,,2018-02-04,2018-09-30
REV0000002,ORD0000002,4,,Not what I expected.,2017-07-10,2017-12-22
REV0000003,ORD0000003,5,,Would not buy again.,2017-11-20,2018-03-20
REV0000004,ORD0000004,5,Great,A bit disappointing.,2017-10-28,2017-12-31
REV0000005,ORD0000005,5,Bad,,2017-09-23,2017-07-02
REV0000006,ORD0000006,5,,Not what I expected.,2018-01-11,2017-10-14
REV0000007,ORD0000007,4,,Exceeded expectations.,2018-04-17,2017-12-06
REV0000008,ORD0000008,4,,Not what I expected.,2018-08-22,2018-04-16
REV0000009,ORD0000009,3,,Great product!,2017-03-27,2018-09-04
REV0000010,ORD0000010,4,OK,Average product.,2018-08-26,2018-01-12
REV0000011,ORD0000011,5,,Would not buy again.,2018-04-03,2018-03-11
REV0000012,ORD0000012,4,Great,Very satisfied.,2018-01-06,2017-01-21
REV0000013,ORD0000013,4,Bad,A bit disappointing.,2018-09-26,2018-04-11
REV0000014,ORD0000014,5,Poor,Not what I expected.,2018-02-13,2018-05-13
REV0000015,ORD0000015,5,,Exceeded expectations.,2018-04-12,2018-06-22
REV0000016,ORD0000016,4,Fine,Average product.,2017-09-13,2018-08-31
REV0000017,ORD0000017,5,Excellent,Not what I expected.,2018-03-27,2018-09-08
REV0000018,ORD0000018,3,,Not what I expected.,2017-01-22,2017-01-24
REV0000019,ORD0000019,5,,Great product!,2017-11-06,2017-05-26
REV0000020,ORD0000020,5,Fine,Average product.,2017-04-02,2018-02-11
REV0000021,ORD0000021,4,,Arrived on time.,2017-03-19,2018-06-22
REV0000022,ORD0000022,5,,Average product.,2018-01-30,2017-02-28
REV0000023,ORD0000023,5,,A bit disappointing.,2018-07-04,2018-06-19
REV0000024,ORD0000024,1,Great,A bit disappointing.,2018-06-01,2017-12-19
REV0000025,ORD0000025,5,,,2018-05-03,2018-06-14
REV0000026,ORD0000026,4,Bad,Exceeded expectations.,2018-01-17,2018-02-01
REV0000027,ORD0000027,4,,Would not buy again.,2018-08-27,2017-02-19
REV0000028,ORD0000028,5,,Would not buy again.,2018-07-13,2017-07-03
REV0000029,ORD0000029,3,Great,Very satisfied.,2018-02-25,2017-12-06
REV0000030,ORD0000030,4,,Not what I expected.,2018-08-11,2017-11-21
REV0000031,ORD0000031,4,OK,Not what I expected.,2017-09-27,2018-03-08
REV0000032,ORD0000032,4,,Exceeded expectations.,2018-07-11,2017-09-17
REV0000033,ORD0000033,5,Great,Would not buy again.,2017-08-17,2018-08-09
REV0000034,ORD0000034,5,,Would not buy again.,2017-11-06,2017-05-01
REV0000035,ORD0000035,4,Bad,Would not buy again.,2017-06-07,2017-06-15
REV0000036,ORD0000036,2,,,2017-09-15,2017-02-19
REV0000037,ORD0000037,5,Poor,Arrived on time.,2018-05-12,2017-02-20
REV0000038,ORD0000038,5,Bad,Average product.,2018-05-10,2017-03-16
REV0000039,ORD0000039,3,,Not what I expected.,2018-09-03,2018-09-02
REV0000040,ORD0000040,3,Great,Exceeded expectations.,2018-05-07,2018-02-04
