order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD0000000,CUST000212,delivered,2018-05-11,2018-05-12,2018-05-13,2018-05-20,2018-05-29
ORD0000001,CUST000712,delivered,2018-07-02,2018-07-03,2018-07-07,2018-07-14,2018-07-17
ORD0000002,CUST000357,delivered,2017-03-23,2017-03-24,2017-03-26,2017-03-31,2017-04-13
ORD0000003,CUST000454,delivered,2017-05-01,2017-05-01,2017-05-05,2017-05-08,2017-05-22
ORD0000004,CUST000731,shipped,2017-05-02,2017-05-03,2017-05-06,2017-05-10,2017-05-21
ORD0000005,CUST000537,canceled,2018-06-22,2018-06-23,2018-06-24,2018-07-05,2018-07-05
ORD0000006,CUST000157,delivered,2017-08-12,2017-08-12,2017-08-16,2017-08-30,2017-09-07
ORD0000007,CUST000109,delivered,2017-06-15,2017-06-15,2017-06-19,2017-06-30,2017-07-11
ORD0000008,CUST000189,delivered,2017-02-04,2017-02-05,2017-02-09,2017-02-23,2017-03-01
ORD0000009,CUST000799,delivered,2018-05-19,2018-05-19,2018-05-22,2018-05-25,2018-06-06
ORD0000010,CUST000390,delivered,2017-11-09,2017-11-09,2017-11-10,2017-11-18,2017-12-02
ORD0000011,CUST000231,delivered,2018-06-04,2018-06-04,2018-06-08,2018-06-21,2018-06-29
ORD0000012,CUST000483,delivered,2018-04-06,2018-04-07,2018-04-08,2018-04-16,2018-05-03
ORD0000013,CUST000299,delivered,2018-04-30,2018-05-01,2018-05-02,2018-05-08,2018-05-24
ORD0000014,CUST000027,delivered,2017-08-11,2017-08-12,2017-08-16,2017-08-28,2017-09-08
ORD0000015,CUST000129,delivered,2017-02-10,2017-02-11,2017-02-13,2017-02-22,2017-03-11
ORD0000016,CUST000601,delivered,2018-08-10,2018-08-11,2018-08-13,2018-08-25,2018-08-31
ORD0000017,CUST000489,delivered,2017-10-25,2017-10-26,2017-10-28,2017-11-08,2017-11-11
ORD0000018,CUST000740,shipped,2018-05-31,2018-05-31,2018-06-03,2018-06-13,2018-06-26
ORD0000019,CUST000273,delivered,2018-03-13,2018-03-13,2018-03-17,2018-03-31,2018-03-29
ORD0000020,CUST000692,canceled,2017-03-31,2017-03-31,2017-04-04,2017-04-07,2017-04-25
ORD0000021,CUST000627,delivered,2017-04-28,2017-04-29,2017-05-01,2017-05-06,2017-05-16
ORD0000022,CUST000244,delivered,2017-04-13,2017-04-14,2017-04-16,2017-04-29,2017-05-09
ORD0000023,CUST000709,delivered,2018-07-07,2018-07-07,2018-07-09,2018-07-13,2018-07-26
ORD0000024,CUST000430,delivered,2017-05-12,2017-05-13,2017-05-16,2017-05-25,2017-06-02
ORD0000025,CUST000117,delivered,2018-06-15,2018-06-16,2018-06-19,2018-06-30,2018-07-04
ORD0000026,CUST000606,delivered,2017-03-09,2017-03-10,2017-03-12,2017-03-20,2017-03-20
ORD0000027,CUST000739,shipped,2017-06-09,2017-06-10,2017-06-13,2017-06-20,2017-06-25
