product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00000,books,68,654,5,1079,52,22,24
PROD00001,automotive,57,358,5,4476,25,43,41
PROD00002,health,39,280,1,210,26,16,52
PROD00003,clothing,68,128,4,4116,44,39,34
PROD00004,sports,44,526,4,4621,66,13,33
PROD00005,health,29,388,5,363,19,33,53
PROD00006,books,57,470,1,2896,68,29,46
PROD00007,art,73,672,1,4899,46,14,44
PROD00008,beauty,61,514,3,3899,23,26,22
PROD00009,beauty,74,535,2,4314,24,46,30
PROD00010,electronics,40,534,5,4975,47,20,18
PROD00011,art,56,343,3,3377,48,30,39
PROD00012,garden,57,434,3,4974,35,22,27
PROD00013,clothing,48,122,4,2239,69,14,11
PROD00014,electronics,74,549,2,4406,59,20,20
PROD00015,food,37,829,1,4774,75,12,51
PROD00016,garden,21,724,5,1626,67,12,18
PROD00017,sports,68,615,4,4562,79,8,19
PROD00018,garden,51,734,3,802,41,27,49
PROD00019,furniture,66,828,1,930,44,40,12
PROD00020,automotive,75,848,5,3592,60,24,36
PROD00021,toys,36,496,4,2770,24,19,40
PROD00022,furniture,42,764,3,3369,46,31,16
PROD00023,books,70,427,4,2121,69,35,56
PROD00024,books,75,451,2,1659,37,21,17
PROD00025,books,37,184,1,646,49,41,42
PROD00026,art,53,557,2,4016,50,11,12
PROD00027,garden,24,203,1,1350,74,35,16
PROD00028,electronics,65,854,1,4427,65,39,42
PROD00029,garden,22,782,1,1408,76,20,59
PROD00030,electronics,55,707,5,2287,29,8,53
PROD00031,garden,41,392,5,2513,16,34,36
PROD00032,art,69,371,4,4744,56,20,36
PROD00033,beauty,31,590,5,2067,51,22,37
PROD00034,garden,54,944,5,2004,27,5,39
PROD00035,toys,66,983,2,2736,73,25,58
PROD00036,clothing,46,135,4,275,43,18,43
PROD00037,sports,73,910,4,1594,75,49,32
PROD00038,electronics,59,450,1,2143,63,6,11
PROD00039,furniture,76,134,3,1874,20,19,55
PROD00040,food,69,495,1,1953,66,41,45
PROD00041,health,51,158,1,2620,29,10,55
PROD00042,garden,33,340,3,4907,16,12,27
PROD00043,automotive,42,957,5,3026,69,28,14
PROD00044,art,25,982,2,1835,16,46,26
PROD00045,books,36,222,1,850,51,37,37
PROD00046,electronics,32,320,5,1574,28,40,51
PROD00047,furniture,34,564,2,3099,51,48,22
PROD00048,garden,22,751,2,2860,29,31,19
PROD00049,clothing,75,368,4,1127,10,42,40
PROD00050,beauty,63,994,1,2546,10,21,13
PROD00051,food,54,310,1,3008,79,30,11
PROD00052,books,31,375,1,4107,54,7,54
PROD00053,garden,41,131,3,4706,77,47,35
PROD00054,health,47,409,4,1449,29,10,37
PROD00055,garden,35,321,2,2831,67,24,25
