seller_id,seller_zip_code_prefix,seller_city,seller_state
SELL00000,41851,São Paulo,DF
SELL00001,62228,Porto Alegre,BA
SELL00002,20234,Curitiba,CE
SELL00003,33728,São Paulo,PE
SELL00004,31240,Recife,RS
SELL00005,58010,Curitiba,RJ
SELL00006,76356,São Paulo,PE
SELL00007,53459,Fortaleza,RJ
SELL00008,25799,Curitiba,BA
SELL00009,16291,Brasília,PE
SELL00010,96514,Manaus,BA
SELL00011,43989,Porto Alegre,PR
SELL00012,85665,Recife,MG
SELL00013,60099,Belo Horizonte,AM
SELL00014,57874,Salvador,PR
SELL00015,45693,Recife,BA
SELL00016,77869,Fortaleza,PR
SELL00017,94711,Recife,RS
SELL00018,63963,Rio de Janeiro,SP
SELL00019,29283,Fortaleza,PR
SELL00020,87408,Recife,MG
SELL00021,76144,Recife,PR
SELL00022,91475,Fortaleza,RS
SELL00023,35687,Porto Alegre,RS
SELL00024,19596,Fortaleza,SP
SELL00025,44819,Brasília,CE
SELL00026,34780,São Paulo,SP
SELL00027,11988,Belo Horizonte,PE
SELL00028,63786,Porto Alegre,RS
SELL00029,76681,Recife,AM
SELL00030,68853,Salvador,MG
SELL00031,16724,Fortaleza,MG
SELL00032,31965,Recife,RJ
SELL00033,80446,Recife,CE
SELL00034,29186,Recife,SP
SELL00035,52289,Salvador,RS
SELL00036,67701,Rio de Janeiro,AM
SELL00037,65129,Salvador,MG
SELL00038,89436,São Paulo,AM
SELL00039,75229,Salvador,PE
SELL00040,73551,Rio de Janeiro,RJ
SELL00041,60629,Rio de Janeiro,BA
SELL00042,77292,Porto Alegre,PR
SELL00043,68679,Manaus,RS
SELL00044,49131,Fortaleza,CE
SELL00045,35456,Curitiba,BA
SELL00046,82257,Fortaleza,SP
SELL00047,15474,Brasília,RS
SELL00048,17484,Brasília,BA
SELL00049,10501,Porto Alegre,MG
SELL00050,52655,São Paulo,PE
SELL00051,17749,Fortaleza,SP
SELL00052,18599,Curitiba,PR
SELL00053,76135,Fortaleza,AM
SELL00054,75779,Fortaleza,RJ
SELL00055,65421,Fortaleza,PR
SELL00056,79569,Brasília,CE
SELL00057,48141,Recife,CE
SELL00058,15868,São Paulo,CE
SELL00059,21789,Rio de Janeiro,DF
SELL00060,41522,Fortaleza,RJ
SELL00061,72761,Fortaleza,PR
SELL00062,61781,Belo Horizonte,MG
SELL00063,79707,São Paulo,PE
SELL00064,87200,Fortaleza,PR
SELL00065,12951,Fortaleza,SP
SELL00066,53625,Belo Horizonte,PE
SELL00067,17801,Belo Horizonte,RS
SELL00068,72031,Recife,AM
SELL00069,42286,Porto Alegre,BA
SELL00070,77668,Salvador,DF
SELL00071,68899,Belo Horizonte,PE
SELL00072,41606,Fortaleza,CE
SELL00073,84645,Manaus,RS
SELL00074,67517,Curitiba,AM
SELL00075,49494,Rio de Janeiro,PR
SELL00076,71191,Curitiba,SP
SELL00077,96999,Recife,PE
SELL00078,67222,Rio de Janeiro,RJ
SELL00079,75596,Belo Horizonte,CE
SELL00080,13565,Curitiba,PE
SELL00081,13806,Manaus,DF
SELL00082,66081,São Paulo,PE
SELL00083,27132,Recife,DF
SELL00084,22040,Fortaleza,CE
SELL00085,56090,São Paulo,BA
SELL00086,77968,Salvador,RS
SELL00087,18648,Porto Alegre,RJ
SELL00088,71101,São Paulo,RJ
SELL00089,56693,Curitiba,SP
SELL00090,72205,Salvador,RJ
SELL00091,34305,Rio de Janeiro,BA
SELL00092,92372,Curitiba,MG
SELL00093,93317,Manaus,AM
SELL00094,53134,Belo Horizonte,RJ
SELL00095,43134,Rio de Janeiro,MG
SELL00096,16878,Curitiba,DF
SELL00097,25191,Recife,PE
SELL00098,67611,Salvador,RS
SELL00099,93461,Curitiba,RJ
