month,mrr,new_mrr,expansion_mrr,churned_mrr,contraction_mrr,net_new_mrr,arr,total_customers,new_customers,churned_customers,arpa,ltv_estimate,cac_payback_months,nrr_pct
2021-01,25678.9,1150.18,317.81,573.15,215.94,678.9,308146.77,184,8,4,139.56,6087.4,15.0,100.83
2021-02,25362.36,780.0,195.69,996.57,295.66,-316.54,304348.33,186,7,5,136.36,3513.54,18.3,94.5
2021-03,26206.11,1216.36,503.13,595.19,280.56,843.75,314473.33,188,7,5,139.39,5939.94,16.5,101.86
2021-04,26315.72,685.42,512.86,971.34,117.34,109.61,315788.68,183,6,11,143.8,3879.69,16.0,98.22
2021-05,26619.85,634.87,482.42,597.57,215.59,304.13,319438.25,184,5,4,144.67,6371.05,11.4,99.9
2021-06,26870.83,1087.05,483.16,1194.64,124.6,250.98,322449.99,184,11,11,146.04,3254.12,16.0,97.8
2021-07,27203.39,743.09,425.56,524.9,311.19,332.56,326440.71,185,4,3,147.05,7527.55,12.5,99.71
2021-08,27670.23,590.11,410.47,444.01,89.73,466.84,332042.77,184,3,4,150.38,9213.61,17.2,101.26
2021-09,28396.0,955.81,470.96,510.92,190.08,725.77,340752.0,186,5,3,152.67,8268.0,12.6,101.79
2021-10,27688.61,622.28,164.63,1256.48,237.81,-707.39,332263.38,182,5,9,152.14,3438.19,19.1,92.83
2021-11,27700.62,808.88,155.17,728.21,223.84,12.0,332407.43,181,6,7,153.04,5819.12,11.2,97.17
2021-12,27717.57,528.07,235.74,598.42,148.43,16.95,332610.88,178,3,6,155.72,7208.05,9.0,98.22
2022-01,27620.24,635.22,597.53,1122.69,207.39,-97.33,331442.87,176,4,6,156.93,3874.44,19.6,97.01
2022-02,28495.23,1388.59,388.62,716.16,186.05,874.99,341942.81,177,9,8,160.99,6208.9,19.7,101.31
2022-03,29309.73,1090.81,642.05,610.03,308.32,814.5,351716.79,179,8,6,163.74,7648.52,14.4,101.89
2022-04,30393.87,1499.66,404.81,683.59,136.75,1084.14,364726.48,191,15,3,159.13,6822.91,13.9,102.28
2022-05,30590.72,931.94,214.33,628.88,320.54,196.85,367088.64,191,5,5,160.16,7740.59,9.2,98.23
2022-06,31446.92,1660.71,611.65,1217.1,199.08,856.2,377362.99,191,9,9,164.64,4138.18,12.6,100.17
2022-07,32292.97,1329.04,376.72,527.2,332.51,846.05,387515.63,194,8,5,166.46,9929.06,12.6,101.15
2022-08,33146.94,1723.72,644.34,1289.58,224.52,853.97,397763.23,207,20,7,160.13,4009.9,13.4,99.95
2022-09,32657.4,843.05,252.58,1234.92,350.25,-489.54,391888.78,199,5,13,164.11,4404.86,13.4,94.5
2022-10,32738.46,1705.19,217.44,1460.29,381.27,81.06,392861.5,196,10,13,167.03,3735.46,18.8,95.27
2022-11,33132.67,1001.79,202.02,598.67,210.93,394.21,397592.04,198,7,5,167.34,9150.83,9.2,99.35
2022-12,33824.8,1634.65,450.74,1077.54,315.73,692.13,405897.61,201,9,6,168.28,5174.43,19.6,99.24
2023-01,33056.06,536.63,349.78,1404.39,250.76,-768.74,396672.78,195,5,11,169.52,4082.85,17.5,93.87
2023-02,33389.9,1612.75,534.67,1477.79,335.79,333.83,400678.74,201,14,8,166.12,3715.83,17.4,97.14
2023-03,33250.38,680.69,430.51,1050.81,199.9,-139.51,399004.61,197,4,8,168.78,5363.15,18.6,97.13
2023-04,33724.31,1591.55,605.26,1418.17,304.72,473.92,404691.69,194,13,16,173.84,4075.77,16.8,98.06
2023-05,33513.23,572.49,183.53,694.38,272.71,-211.07,402158.82,193,4,5,173.64,8433.43,8.7,97.05
2023-06,34630.13,1370.37,420.74,512.59,161.62,1116.89,415561.54,204,14,3,169.76,11098.64,19.9,102.58
2023-07,35395.19,892.04,688.58,685.62,129.94,765.06,424742.3,204,6,6,173.51,8763.66,15.2,101.84
2023-08,35808.49,1752.97,503.71,1585.02,258.37,413.3,429701.84,204,13,13,175.53,3919.82,16.5,97.38
2023-09,35650.23,1178.94,381.85,1483.74,235.32,-158.26,427802.71,203,7,8,175.62,4238.32,17.5,95.82
2023-10,36541.21,1319.05,334.28,560.16,202.18,890.99,438494.54,209,12,6,174.84,11127.14,19.3,101.3
2023-11,37410.39,1587.24,769.0,1321.09,165.97,869.18,448924.74,208,9,10,179.86,4974.84,14.9,100.41
2023-12,38183.12,936.34,826.34,852.28,137.67,772.73,458197.46,209,9,8,182.69,8019.3,18.1,101.63
2024-01,38496.0,1598.71,289.41,1451.37,123.87,312.88,461951.99,207,9,11,185.97,4892.58,13.0,97.45
2024-02,38213.67,874.07,621.09,1627.89,149.6,-282.32,458564.1,195,5,17,195.97,4634.21,12.5,96.26
2024-03,38714.56,1056.13,626.84,1026.36,155.72,500.88,464574.72,197,8,6,196.52,7316.91,9.9,99.86
2024-04,38146.27,722.99,364.08,1252.72,402.64,-568.29,457755.26,193,4,8,197.65,6108.23,8.8,95.2
2024-05,38928.1,1231.93,747.67,873.09,324.68,781.83,467137.21,201,13,5,193.67,8461.76,9.3,100.87
2024-06,39314.37,1758.5,556.01,1640.57,287.68,386.27,471772.45,203,12,10,193.67,4595.42,17.0,97.47
2024-07,38906.89,877.17,692.86,1582.25,395.26,-407.48,466882.7,202,8,9,192.61,4785.77,11.4,95.7
2024-08,40280.92,1857.29,559.29,841.79,200.76,1374.03,483371.01,212,16,6,190.0,8781.81,9.6,102.29
2024-09,41384.52,1952.0,350.06,852.26,346.19,1103.6,496614.2,214,11,9,193.39,9140.08,8.9,100.63
2024-10,40883.1,713.59,891.92,1782.88,324.04,-501.41,490597.22,201,4,17,203.4,4721.32,11.6,95.85
2024-11,41617.66,2190.74,659.56,1666.4,449.35,734.55,499411.87,197,13,17,211.26,5182.95,12.1,98.23
2024-12,40923.24,1066.45,283.48,1762.04,282.3,-694.41,491078.9,195,8,10,209.86,4956.74,17.2,94.1
