track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
dYXnXg5FfNN6N1D5v3Nl1H,Rising City,Sofia Walker,69,138867,False,0.821,0.826,2,-8.593,1,0.026,0.278,0.077,0.089,0.434,88.243,4,hip-hop
vGPPOVi8o7TQgX3r4VYrRV,Neon Dream,Elizabeth Nelson,9,182498,True,0.597,0.744,2,-8.394,0,0.039,0.367,0.0,0.126,0.756,116.994,4,pop
487O8KhrFciULFrvOxjC6A,Velvet Wind,Linda Anderson,21,273574,False,0.485,0.405,1,-7.336,1,0.111,0.066,0.08,0.105,0.635,106.288,4,folk
fZiueJjMtcv4YbdHezXrAY,Winter Dream,David Anderson,0,356549,True,0.51,0.452,11,-7.684,1,0.048,0.316,0.002,0.235,0.57,96.584,4,jazz
oW34VqxipeKg2li43KYSC6,Rising Star,Sofia Scott,65,287491,False,0.77,0.615,0,-11.058,1,0.095,0.0,0.002,0.252,0.568,136.509,4,pop
O4fZzT43TyMDc9ORHkJy7x,Broken City,Linda Green,69,195857,False,0.43,0.358,9,-8.351,0,0.043,0.614,0.025,0.132,0.474,107.169,4,jazz
bxPWHNBLsKvAWWhLClrI20,Empty Rain,David Perez,39,356202,False,0.576,0.234,2,-12.847,1,0.037,0.077,0.025,0.238,0.469,103.913,4,blues
hh26hGAe2Eo3MIMKiKOhhd,Silent Soul,Joseph Roberts,16,345113,False,0.961,0.864,3,-8.663,1,0.008,0.064,0.024,0.389,0.457,129.339,4,electronic
KdzQiH5TvU31aDAymkhjzS,Silent Night,Charlotte Hall,22,166738,False,0.854,0.546,0,-4.68,1,0.049,0.237,0.003,0.424,0.658,87.709,4,soul
ZC5qJZF8vGr47MfNWD0Rbc,Dark Moon,David Wilson,70,308790,True,0.637,0.45,0,-4.784,1,0.06,0.175,0.044,0.194,0.453,94.258,4,r&b
W9gkpdVk1IeDRGfa2uf93L,Dark Wave,Charlotte Hernandez,20,186214,False,0.558,0.706,9,-2.008,1,0.154,0.093,0.004,0.284,0.598,120.313,4,blues
uAJHPDpstJrkAp8PaGyOCO,Wild Moon,William Wilson,66,224965,False,0.462,0.559,0,-7.813,1,0.073,0.402,0.013,0.038,0.635,97.065,4,folk
0YhuraSkQbpHfjeuS4LKlN,Rainy Soul,Joseph Baker,17,297658,False,0.962,1.0,3,-13.759,0,0.012,0.196,0.082,0.213,0.599,134.615,4,electronic
kOIHgJAxY79LFMYmLaUO8j,Empty Rain,Amelia Edwards,75,138188,False,0.533,0.513,10,-7.955,1,0.072,0.206,0.0,0.221,0.831,89.046,4,soul
jnGKdDWJD71Ju3iIhbNO1c,Velvet Shadow,Ava Thomas,12,323594,False,0.656,0.392,4,-1.761,1,0.006,0.316,0.0,0.344,0.63,123.603,4,jazz
luy0Bg0JfgXZ3AyPfP1DyX,Neon Moon,Robert Lee,35,135623,False,0.607,0.254,9,-1.859,0,0.073,0.108,0.064,0.0,0.701,128.561,4,jazz
fsLWHxwQIkAPxhp3zE0wcN,Dark Light,Elizabeth Collins,68,208419,False,0.497,0.607,7,-12.226,1,0.018,0.542,0.105,0.394,0.379,128.673,5,folk
BHkQaQfGwSauV6LZf1s3by,Rising Fire,Thomas White,43,250883,False,0.458,0.893,6,-19.652,1,0.064,0.23,0.015,0.303,0.653,141.014,4,rock
DubbP1EZxIkpCMeZy3ElzR,Blue Memory,William Brown,20,199538,False,0.718,0.677,4,-7.412,1,0.004,0.085,0.038,0.225,0.423,141.108,4,pop
mlp9ALsTxHLGZEJy3oWajG,Blue Love,Thomas Garcia,35,311988,True,0.608,0.71,1,-10.37,0,0.016,0.456,0.002,0.062,0.742,132.905,3,pop
