fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type
7.7,0.6,0.23,0.9,0.116,13,41,0.9969,3.03,0.28,10.5,5,red
8.5,0.39,0.34,1.7,0.11,14,5,0.9962,3.47,0.77,9.8,5,red
10.8,0.66,0.64,1.6,0.115,29,41,0.9979,3.18,0.79,12.9,6,red
7.3,0.49,0.17,1.4,0.035,17,9,1.0009,3.33,0.53,12.0,6,red
8.6,0.5,0.5,3.7,0.08,13,-8,0.9971,3.22,0.67,9.3,6,red
7.0,0.55,0.45,2.1,0.103,14,75,0.9955,3.36,0.59,11.0,6,red
4.1,0.68,0.13,2.4,0.076,-11,-30,0.9974,3.61,0.59,11.7,5,red
9.3,0.13,0.28,3.5,0.117,5,92,0.9955,3.25,0.62,10.9,6,red
10.1,0.3,0.28,3.7,0.138,-7,65,0.9958,3.23,0.64,10.3,6,red
9.0,0.71,0.01,1.6,0.048,35,96,0.9954,3.11,0.57,9.7,6,red
12.3,0.62,0.22,4.2,0.085,8,101,0.9985,3.26,0.7,10.9,5,red
7.7,0.45,0.11,2.5,0.062,20,83,0.9984,3.01,0.92,9.4,6,red
6.8,0.54,0.23,1.7,0.067,3,32,0.9964,3.54,0.74,10.0,6,red
10.3,0.64,0.24,3.8,0.01,9,26,0.9939,3.2,0.63,9.8,6,red
10.4,0.81,0.26,3.0,0.106,10,50,0.995,3.16,0.87,10.9,6,red
10.2,0.45,0.16,2.9,0.222,19,79,0.9966,3.28,0.86,11.8,5,red
6.5,0.77,0.07,2.0,0.107,12,109,0.9989,3.41,0.81,9.8,6,red
7.1,0.63,-0.07,2.5,0.195,6,13,0.991,3.27,0.73,9.9,7,red
5.5,0.36,0.45,1.5,0.148,-8,73,0.9972,3.49,0.73,11.7,6,red
11.7,0.42,0.27,2.2,0.052,37,48,0.998,3.24,0.77,9.8,6,red
6.7,0.75,0.46,1.9,0.107,8,48,0.998,3.18,0.86,7.3,6,red
6.2,0.78,0.24,2.8,0.124,9,68,0.9981,3.3,0.54,12.3,7,red
8.1,0.52,0.27,4.7,0.121,7,-38,0.9987,3.28,0.64,11.4,5,red
8.5,0.73,0.22,2.3,0.053,28,47,0.9963,3.46,0.81,11.2,6,red
9.4,0.59,0.2,3.6,0.097,6,6,0.9981,3.44,0.68,10.8,7,red
8.1,0.52,0.31,2.7,0.166,8,71,0.9932,3.23,0.68,10.3,5,red
7.1,0.56,0.21,4.1,0.014,15,57,0.9959,3.06,0.81,8.4,6,red
7.6,0.28,0.45,4.9,0.136,26,102,0.9974,3.4,0.5,10.1,7,red
7.3,0.48,0.53,1.8,0.143,13,96,0.9958,3.11,0.82,10.1,5,red
10.7,0.44,0.52,0.1,0.006,14,27,0.9948,3.29,0.51,10.2,6,red
8.3,0.71,0.56,0.8,0.057,12,56,0.9955,3.39,0.6,11.0,5,red
9.4,0.57,0.05,3.9,0.074,8,100,0.998,3.6,0.39,12.0,5,red
7.9,0.49,0.5,2.9,0.128,33,62,0.9965,3.66,0.58,10.3,7,red
5.2,0.73,0.29,1.1,0.087,5,70,0.9966,3.38,0.76,10.1,5,red
11.1,0.26,0.29,4.7,0.061,17,101,0.9974,2.99,0.69,12.0,4,red
9.3,0.36,0.13,2.1,0.091,7,96,0.9972,3.13,0.62,9.5,6,red
9.0,0.76,0.2,2.0,0.107,20,54,0.9995,3.28,0.73,10.3,6,red
4.7,0.65,-0.15,2.1,0.079,13,83,0.9989,3.25,0.74,10.4,5,red
8.1,0.24,0.38,4.3,0.163,16,77,0.9975,3.33,0.48,9.5,6,red
10.9,0.57,0.23,1.4,0.089,14,103,0.9962,3.33,0.85,10.0,6,red
10.5,0.3,0.17,4.3,0.122,2,51,0.9993,3.12,0.76,10.0,7,red
7.9,0.45,0.52,3.3,0.037,13,90,0.9999,3.41,0.41,11.2,6,red
10.4,0.61,0.27,4.4,0.104,-6,35,0.9938,3.16,0.94,10.0,7,red
11.0,0.52,0.09,3.6,0.063,16,64,0.9966,3.34,0.61,10.1,6,red
8.0,0.52,0.27,3.0,0.063,8,78,0.9964,3.6,0.48,10.9,5,red
10.5,0.38,0.6,3.5,0.159,11,71,0.9949,3.15,0.44,9.8,5,red
10.5,0.74,0.25,2.6,0.056,14,59,0.9958,3.33,0.39,9.4,5,red
9.7,0.62,0.42,1.5,0.063,15,48,0.996,3.25,0.58,13.2,6,red
9.9,0.39,0.13,3.4,0.006,-11,72,0.9988,3.15,0.53,10.3,7,red
6.8,0.55,0.36,2.4,0.045,9,66,0.9941,3.33,0.47,10.6,5,red
9.6,0.47,0.31,4.3,0.007,16,52,0.9972,3.19,0.61,10.1,8,red
8.1,0.43,0.27,4.2,0.142,30,71,0.9953,3.44,0.92,8.7,6,red
6.8,0.56,0.18,3.3,0.104,40,0,0.9991,3.41,0.54,9.8,5,red
10.9,0.83,0.22,3.9,0.125,34,63,0.9969,3.58,0.6,9.2,5,red
8.1,0.37,-0.09,3.2,0.109,6,-7,0.9985,3.43,0.76,10.9,6,red
8.7,0.63,-0.04,3.2,0.042,19,20,0.9969,3.41,0.97,10.8,7,red
8.5,0.68,-0.03,1.6,0.125,25,59,0.9936,3.0,0.69,11.0,6,red
5.7,0.62,-0.02,2.9,0.078,20,47,0.9957,3.45,0.74,9.3,5,red
7.8,0.69,0.22,3.1,0.114,13,-7,1.0,3.43,0.8,8.2,7,red
9.6,0.52,0.17,3.0,-0.041,17,-14,0.9978,3.19,0.74,7.9,5,red
8.3,0.62,0.07,2.9,0.031,18,37,1.0005,3.59,0.38,10.8,5,red
7.7,0.55,0.5,2.8,0.054,8,-12,0.9997,3.46,0.53,9.9,6,red
8.9,0.3,0.22,5.4,0.101,17,3,0.9956,3.34,0.78,9.0,7,red
10.1,0.34,0.44,2.7,0.013,1,28,0.9942,3.43,0.57,10.9,7,red
5.5,0.72,-0.01,3.5,0.194,39,76,0.9988,3.38,0.44,11.3,4,red
8.1,0.45,0.35,2.5,0.146,11,9,0.9987,3.34,0.61,10.3,7,red
8.3,0.47,0.46,3.0,0.148,20,-24,0.9968,3.28,0.75,9.7,5,red
11.3,0.67,0.34,1.3,0.155,17,91,0.994,3.5,0.75,10.1,6,red
10.4,0.51,0.18,1.7,0.113,16,75,0.9957,3.09,0.67,11.6,6,red
6.0,0.66,0.21,1.8,0.034,21,58,0.997,3.34,0.35,11.5,6,red
10.6,0.51,0.33,0.6,0.109,27,45,0.9982,3.54,0.69,10.1,6,red
8.0,0.34,0.28,2.7,0.064,16,115,0.9948,3.33,0.44,10.5,7,red
5.6,0.71,0.48,1.3,0.076,23,57,0.9987,3.43,0.75,15.2,6,red
6.0,0.38,0.09,1.0,0.127,20,49,0.9982,3.31,0.72,12.6,7,red
10.6,0.76,0.45,5.5,0.061,1,41,0.9983,3.16,0.57,10.4,5,red
9.1,0.63,0.33,4.1,0.058,15,61,0.9977,3.45,0.43,11.9,7,red
6.6,0.44,0.31,5.4,0.132,13,22,0.9926,3.54,0.85,10.8,4,red
11.0,0.64,0.23,2.5,0.049,22,83,0.9973,3.22,0.71,11.9,7,red
9.5,0.45,0.47,2.1,0.072,22,89,0.996,3.4,0.5,9.6,5,red
7.9,0.39,0.1,3.1,0.083,16,88,0.9978,3.36,0.91,11.2,6,red
8.8,0.57,0.05,3.1,0.114,19,45,0.9937,3.25,0.67,11.5,5,red
6.8,0.67,0.27,2.1,0.121,17,59,0.9929,3.49,0.55,10.3,5,red
11.7,0.58,0.14,1.5,0.056,9,3,0.9978,3.27,0.84,9.9,5,red
6.3,0.4,0.32,3.4,0.008,28,5,0.995,3.15,0.8,10.6,7,red
6.1,0.29,0.63,0.4,0.147,21,72,0.9927,3.25,0.76,8.9,6,red
8.6,0.5,0.28,3.4,-0.019,35,77,0.9947,3.29,0.7,9.9,7,red
13.2,0.33,0.31,2.2,0.106,13,-11,0.9964,3.21,0.47,9.8,6,red
