person_id,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket,state,county_fips,household_size,housing_type,health_insurance,veteran_status,disability_status
CEN-70000,88,Federal-gov,11th,7,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,45,United-States,<=50K,IL,20476,1,Own,Yes,No,No
CEN-70001,67,Private,10th,6,Separated,Adm-clerical,Other-relative,White,Male,0,0,18,United-States,<=50K,MI,34930,4,With Family,No,No,No
CEN-70002,90,Self-emp-inc,Assoc-acdm,12,Separated,Adm-clerical,Husband,White,Female,0,0,27,United-States,<=50K,OK,19318,5,Rent,No,No,No
CEN-70003,26,Self-emp-not-inc,Assoc-acdm,12,Widowed,Adm-clerical,Wife,White,Male,0,0,32,Philippines,>50K,SC,18661,5,Other,Yes,No,No
CEN-70004,69,Private,Assoc-acdm,12,Separated,Tech-support,Not-in-family,White,Female,0,0,37,United-States,<=50K,NC,11925,3,Other,No,Yes,Yes
CEN-70005,47,Federal-gov,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K,OH,12079,1,Own,Yes,No,Yes
CEN-70006,83,Private,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Male,0,0,18,United-States,<=50K,MN,14249,2,Own,Yes,No,No
CEN-70007,75,Self-emp-not-inc,Assoc-voc,11,Never-married,Sales,Own-child,Black,Female,0,0,35,England,>50K,PA,50635,3,With Family,Yes,No,No
CEN-70008,24,Local-gov,Masters,14,Never-married,Tech-support,Unmarried,White,Female,0,0,27,United-States,<=50K,AZ,27817,7,With Family,Yes,No,No
CEN-70009,58,Private,Masters,14,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,9766,0,25,United-States,<=50K,CT,40977,2,Rent,Yes,No,No
CEN-70010,22,Local-gov,Bachelors,13,Separated,Transport-moving,Unmarried,Amer-Indian-Eskimo,Female,0,0,53,United-States,<=50K,OR,12782,1,With Family,Yes,No,Yes
CEN-70011,35,Self-emp-inc,Assoc-acdm,12,Never-married,Other-service,Wife,White,Female,0,0,22,United-States,<=50K,CT,34477,5,Rent,No,No,No
CEN-70012,20,State-gov,Masters,14,Never-married,Other-service,Husband,Other,Male,0,0,32,United-States,<=50K,MO,11859,7,Own,No,No,No
CEN-70013,73,Federal-gov,Assoc-voc,11,Married-civ-spouse,Transport-moving,Own-child,White,Female,8585,368,36,United-States,<=50K,NY,17422,4,Own,No,Yes,No
CEN-70014,68,Federal-gov,Prof-school,15,Divorced,Transport-moving,Husband,Black,Female,0,0,32,United-States,<=50K,LA,02315,2,Own,No,No,No
CEN-70015,23,Self-emp-inc,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,58,United-States,<=50K,LA,02485,5,Own,Yes,No,No
CEN-70016,34,State-gov,Doctorate,16,Separated,Adm-clerical,Not-in-family,White,Male,0,0,27,United-States,<=50K,UT,12570,3,Other,Yes,No,No
CEN-70017,41,Self-emp-not-inc,11th,7,Separated,Craft-repair,Other-relative,White,Male,0,0,53,United-States,<=50K,LA,48335,6,With Family,Yes,Yes,Yes
CEN-70018,25,Self-emp-not-inc,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,32,United-States,<=50K,TX,55023,3,Rent,No,Yes,No
CEN-70019,69,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,44,United-States,>50K,MA,51678,5,With Family,Yes,No,Yes
CEN-70020,39,Self-emp-not-inc,Masters,14,Widowed,Farming-fishing,Own-child,White,Male,0,296,42,United-States,>50K,PA,04042,3,With Family,Yes,No,Yes
CEN-70021,80,Federal-gov,10th,6,Separated,Transport-moving,Wife,White,Male,0,0,43,United-States,<=50K,AL,07401,2,Other,No,No,No
CEN-70022,55,State-gov,10th,6,Separated,Adm-clerical,Not-in-family,White,Male,4880,0,51,United-States,<=50K,OH,22678,5,With Family,Yes,No,No
CEN-70023,22,State-gov,Some-college,10,Widowed,Farming-fishing,Own-child,Black,Male,0,0,34,United-States,<=50K,OR,49410,1,Own,No,No,No
CEN-70024,89,Self-emp-inc,10th,6,Never-married,Transport-moving,Wife,White,Male,0,0,47,United-States,<=50K,AL,04944,4,With Family,No,No,Yes
CEN-70025,88,Self-emp-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,33,United-States,<=50K,NC,34207,4,Other,No,No,No
CEN-70026,29,Self-emp-inc,Some-college,10,Separated,Prof-specialty,Husband,White,Female,0,0,34,Germany,<=50K,NJ,15963,4,Other,Yes,No,Yes
CEN-70027,85,Federal-gov,Bachelors,13,Widowed,Tech-support,Other-relative,White,Male,0,0,39,United-States,<=50K,AL,47307,3,Rent,Yes,No,No
CEN-70028,24,Self-emp-not-inc,11th,7,Divorced,Craft-repair,Husband,White,Female,0,0,36,United-States,>50K,OR,27591,5,Rent,Yes,No,No
CEN-70029,75,State-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,48,Japan,<=50K,UT,41795,5,With Family,No,No,Yes
CEN-70030,81,Local-gov,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K,IN,37436,4,With Family,Yes,No,Yes
CEN-70031,35,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,44,Jamaica,>50K,WI,24245,7,Own,Yes,No,No
CEN-70032,88,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,15,United-States,<=50K,UT,31791,2,Other,Yes,Yes,No
CEN-70033,45,State-gov,10th,6,Never-married,Adm-clerical,Other-relative,White,Female,0,0,38,United-States,<=50K,GA,34651,1,Other,Yes,No,No
CEN-70034,82,Self-emp-inc,Prof-school,15,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,44,El-Salvador,<=50K,MN,05362,6,Other,Yes,No,No
CEN-70035,38,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,39,United-States,<=50K,SC,37039,6,With Family,Yes,No,No
