station_id,date,temp_celsius,temp_fahrenheit,humidity_pct,precipitation_inches,wind_speed_kmh,wind_direction,pressure_hpa,visibility_km,conditions,uv_index
WX-2,2023-01-01,-9.1,15.6,74,0.21,23.7,W,1023.1,13.3,Windy,3
WX-5,2023-01-01,-11.8,10.8,28,0.25,5.5,NE,1008.1,6.6,Rain,6
WX-6,2023-01-01,-10.3,13.5,81,0,17.1,NW,1006.4,10.0,Haze,3
WX-7,2023-01-01,-7.3,18.9,55,0.12,17.8,SE,1006.0,5.9,Thunderstorm,5
WX-3,2023-01-01,-12.9,8.8,62,0,17.5,SW,1013.8,8.8,Thunderstorm,5
WX-5,2023-01-01,-14.7,5.5,89,0,15.0,SW,1037.1,11.2,Rain,4
WX-10,2023-01-02,-5.6,21.9,50,0.08,21.3,W,1014.8,12.0,Windy,10
WX-1,2023-01-02,-11.3,11.7,29,0.29,17.1,NE,1037.9,5.4,Fog,5
WX-4,2023-01-02,-6.4,20.5,70,0,12.8,SE,1025.2,3.3,Haze,11
WX-9,2023-01-02,-5.6,21.9,73,0.23,8.8,S,1009.0,13.7,Drizzle,6
WX-1,2023-01-03,-8.1,17.4,10,0,0,W,1004.3,13.1,Drizzle,8
WX-2,2023-01-03,-12.6,9.3,29,0,21.4,NW,999.8,17.5,Cloudy,2
WX-10,2023-01-03,-18.9,-2.0,66,0.23,10.7,NE,995.5,9.0,Thunderstorm,0
WX-3,2023-01-03,-12.6,9.3,88,0,13.5,NW,1013.1,7.7,Partly Cloudy,10
WX-7,2023-01-03,-11.2,11.8,91,0,17.6,S,1015.9,9.5,Drizzle,4
WX-4,2023-01-04,-6.4,20.5,38,0,8.6,SE,1008.4,7.9,Snow,1
WX-1,2023-01-04,-15.5,4.1,44,0.31,11.9,NE,1012.8,9.3,Clear,5
WX-10,2023-01-04,-6.1,21.0,71,0,8.0,NW,1007.6,9.9,Clear,1
WX-3,2023-01-04,-10.2,13.6,31,0.1,9.8,NW,1007.5,9.0,Thunderstorm,9
WX-5,2023-01-05,-9.4,15.1,98,0.16,12.2,W,1002.3,14.9,Clear,3
WX-5,2023-01-05,-13.5,7.7,55,0,9.5,NW,1007.4,11.6,Fog,3
WX-7,2023-01-05,-7.5,18.5,22,0,12.3,SE,1012.8,5.9,Rain,4
WX-6,2023-01-05,-14.0,6.8,76,0.27,15.5,N,1010.9,3.8,Clear,7
WX-9,2023-01-06,-13.6,7.5,58,0.06,4.0,N,1027.3,8.9,Thunderstorm,7
WX-3,2023-01-06,-6.2,20.8,14,0.22,15.6,NE,1010.8,17.0,Snow,7
WX-10,2023-01-06,-7.1,19.2,10,0,23.2,N,1013.0,5.3,Snow,11
WX-9,2023-01-06,-6.8,19.8,36,0,9.5,N,1017.6,10.8,Haze,1
WX-9,2023-01-07,-14.4,6.1,89,0.16,24.4,SE,1021.8,14.2,Windy,3
WX-7,2023-01-07,-4.5,23.9,33,0,9.0,W,1000.0,4.7,Thunderstorm,7
WX-8,2023-01-07,-6.4,20.5,87,0.38,27.1,N,1018.7,12.9,Cloudy,5
WX-2,2023-01-07,-7.6,18.3,48,0.46,12.4,NW,1009.6,10.6,Snow,1
WX-8,2023-01-08,-9.9,14.2,15,0.07,14.4,NE,1028.5,0.5,Drizzle,2
WX-9,2023-01-08,-6.0,21.2,16,0,1.9,NW,1009.3,3.0,Haze,7
WX-3,2023-01-08,-12.0,10.4,11,0.12,19.9,SE,1017.3,16.3,Clear,11
WX-8,2023-01-08,-15.9,3.4,47,0.1,34.0,E,1023.1,10.8,Windy,8
WX-7,2023-01-09,-6.1,21.0,68,0,23.7,SE,1018.6,5.2,Snow,4
WX-7,2023-01-09,-7.6,18.3,75,0.04,19.0,NE,1029.8,9.0,Cloudy,4
WX-9,2023-01-09,-8.4,16.9,41,0,14.9,NW,1000.6,8.2,Partly Cloudy,4
WX-1,2023-01-09,-15.1,4.8,82,0.34,19.5,E,1030.6,13.0,Snow,1
WX-1,2023-01-09,-12.2,10.0,92,0,6.5,SW,1003.6,11.8,Cloudy,8
WX-8,2023-01-09,-10.1,13.8,63,0.2,12.1,N,1023.4,11.2,Clear,2
WX-3,2023-01-10,-14.9,5.2,44,0.15,17.1,W,1026.3,13.6,Haze,7
WX-1,2023-01-10,-4.8,23.4,64,0.37,8.2,W,1011.2,7.5,Thunderstorm,7
WX-3,2023-01-10,-9.2,15.4,73,0,10.1,NW,1020.0,7.1,Cloudy,3
WX-8,2023-01-10,-8.8,16.2,22,0.01,15.8,SE,1027.6,8.5,Cloudy,0
WX-9,2023-01-11,-12.2,10.0,63,0.04,10.9,W,1015.2,8.8,Windy,5
WX-1,2023-01-11,-9.1,15.6,72,0.39,1.6,W,1011.3,13.7,Partly Cloudy,9
WX-4,2023-01-11,-9.1,15.6,79,0.22,21.8,S,1015.6,13.9,Cloudy,8
WX-10,2023-01-11,0.2,32.4,83,0,22.3,S,1041.9,10.9,Partly Cloudy,11
WX-8,2023-01-12,-10.1,13.8,84,0.36,26.4,S,1016.2,9.7,Rain,6
WX-5,2023-01-12,-13.3,8.1,47,0.13,13.4,SE,1016.9,7.1,Snow,8
WX-2,2023-01-12,-12.7,9.1,28,0,7.2,SE,1018.8,10.2,Cloudy,8
