order_id,order_date,customer_id,product_name,num_items,order_value_usd,shipping_cost,is_returning_customer,product_tags,country,promo_code,payment_method,delivery_status
ECO-20000,2023-12-29,CUST-2249,Headphone Hook,3,69.63,7.28,False,office|gadgets|accessories,IE,,Apple Pay,Returned
ECO-20001,2025-10-19,CUST-1138,USB Hub,7,362.0,0.0,True,gadgets|accessories|home,IE,,Apple Pay,Shipped
ECO-20002,2024-09-17,CUST-1015,Mechanical Keyboard,3,381.61,0.0,False,ergonomic,KR,HOLIDAY30,Apple Pay,Delivered
ECO-20003,2024-10-04,CUST-7352,Screen Cleaner,6,711.79,0.0,False,home|productivity,DE,FLASH20,PayPal,Delivered
ECO-20004,2024-08-29,CUST-3308,Portable SSD,3,76.95,0.0,True,office,JP,,Credit Card,Shipped
ECO-20005,2023-05-11,CUST-9714,Ergonomic Chair,1,49.81,4.24,True,ergonomic|home,NO,,Credit Card,Cancelled
ECO-20006,2025-07-03,CUST-7656,Ring Light,3,376.66,0.0,False,office|gadgets|ergonomic,NZ,,Credit Card,Delivered
ECO-20007,2023-04-27,CUST-7918,Portable SSD,4,530.1,0.0,True,accessories|gadgets|tech,UK,,Debit Card,Delivered
ECO-20008,2023-11-27,CUST-7488,Ergonomic Chair,6,222.45,0.0,True,gadgets,UK,WELCOME15,PayPal,Shipped
ECO-20009,2024-05-15,CUST-1031,Headphone Hook,4,347.91,0.0,True,accessories|gadgets,NO,,Credit Card,Cancelled
ECO-20010,2025-03-26,CUST-8493,Portable SSD,7,230.73,0.0,True,accessories,IE,,Google Pay,Returned
ECO-20011,2024-02-22,CUST-7676,Monitor Stand,4,496.15,0.0,False,office|gadgets|home,NL,,Apple Pay,Cancelled
ECO-20012,2023-08-03,CUST-5992,USB Hub,4,283.07,0.0,True,electronics,FR,HOLIDAY30,PayPal,Delivered
ECO-20013,2024-04-07,CUST-9324,Laptop Sleeve,3,71.64,5.63,False,ergonomic,DK,,Google Pay,Cancelled
ECO-20014,2024-10-28,CUST-9077,Screen Cleaner,1,66.85,7.39,True,tech|electronics|gadgets,IT,,Credit Card,Delivered
ECO-20015,2024-06-29,CUST-3087,Bluetooth Adapter,4,471.38,0.0,False,office|electronics,NZ,,Debit Card,Returned
ECO-20016,2025-12-28,CUST-5897,Headphone Hook,4,342.97,0.0,False,tech,FR,FLASH20,Apple Pay,Processing
ECO-20017,2025-03-28,CUST-6798,Ring Light,7,818.44,0.0,True,gadgets,KR,,Debit Card,Delivered
ECO-20018,2024-12-04,CUST-5470,Portable SSD,6,247.75,0.0,True,home|office,NO,,Apple Pay,Shipped
ECO-20019,2025-08-31,CUST-7750,Portable SSD,3,351.23,0.0,False,ergonomic,NO,FLASH20,Apple Pay,Delivered
ECO-20020,2023-01-08,CUST-9159,Phone Stand,8,423.83,0.0,False,home|electronics|accessories,CA,HOLIDAY30,PayPal,Shipped
ECO-20021,2023-08-19,CUST-5734,Bluetooth Adapter,7,522.8,0.0,False,productivity,NO,HOLIDAY30,Google Pay,Delivered
ECO-20022,2025-02-18,CUST-9744,Wireless Mouse,5,593.48,0.0,False,gadgets|tech,DK,,Google Pay,Returned
ECO-20023,2023-01-21,CUST-2937,Mechanical Keyboard,6,870.48,0.0,True,accessories|electronics,UK,FLASH20,Apple Pay,Shipped
ECO-20024,2023-05-06,CUST-3935,Phone Stand,1,127.58,0.0,False,office|productivity,BR,,Google Pay,Delivered
ECO-20025,2023-03-26,CUST-9861,Desk Pad,6,465.27,0.0,True,ergonomic|accessories|gadgets,DE,HOLIDAY30,Debit Card,Returned
ECO-20026,2024-04-29,CUST-7071,Wireless Mouse,1,30.91,3.6,True,electronics,UK,WELCOME15,Apple Pay,Returned
ECO-20027,2023-07-28,CUST-1283,Headphone Hook,6,601.84,0.0,False,office|home,IN,,Apple Pay,Shipped
ECO-20028,2025-06-03,CUST-9235,Smart Plug,8,717.82,0.0,True,office|home|electronics,AU,FLASH20,Credit Card,Delivered
ECO-20029,2023-08-20,CUST-3013,Mechanical Keyboard,4,279.53,0.0,True,home|accessories,IN,,Google Pay,Delivered
ECO-20030,2025-03-16,CUST-6618,Portable SSD,8,387.17,0.0,False,accessories|ergonomic,UK,FLASH20,PayPal,Delivered
ECO-20031,2023-08-28,CUST-8146,Smart Plug,6,824.54,0.0,True,productivity|ergonomic,AU,,PayPal,Delivered
ECO-20032,2023-01-17,CUST-5831,Bluetooth Adapter,6,258.17,0.0,True,ergonomic|accessories,SG,FLASH20,Debit Card,Shipped
ECO-20033,2024-10-28,CUST-8161,Mouse Pad,6,561.72,0.0,True,electronics,IE,,Debit Card,Delivered
ECO-20034,2025-09-28,CUST-5709,Mouse Pad,2,291.45,0.0,False,office,AU,,Credit Card,Delivered
ECO-20035,2025-03-18,CUST-2497,Monitor Stand,3,306.53,0.0,False,accessories,KR,SUMMER25,PayPal,Returned
ECO-20036,2024-07-08,CUST-6259,Mouse Pad,4,385.79,0.0,False,accessories,NO,SAVE10,PayPal,Processing
ECO-20037,2023-10-14,CUST-2894,LED Strip,6,145.18,0.0,False,gadgets|home,CA,SUMMER25,Credit Card,Delivered
ECO-20038,2024-11-19,CUST-1772,Headphone Hook,1,84.07,0.0,False,office|accessories|electronics,KR,SAVE10,Debit Card,Cancelled
ECO-20039,2024-04-16,CUST-6842,Webcam,6,596.45,0.0,False,home|tech,KR,,Debit Card,Shipped
ECO-20040,2025-07-29,CUST-4328,Mechanical Keyboard,4,185.58,0.0,False,ergonomic,NZ,HOLIDAY30,Credit Card,Delivered
