respondent_id,department,job_level,tenure_years,engagement_score,satisfaction_score,manager_score,worklife_balance,growth_opportunity,recognition,compensation_fairness,team_collaboration,overall_recommend,response_date,attrition_risk
RESP-30000,Finance,Director,16.8,2.89,4.1,3.03,3.69,2.73,1,2.94,3.88,2,2025-06-28,Medium
RESP-30001,Design,VP,5.8,2.64,4.1,4.11,3.91,4.33,3.23,3.86,4.39,7,2023-05-23,Medium
RESP-30002,Product,Team Lead,7.8,2.6,3.22,3.2,2.65,2.93,2.31,1.2,4.42,7,2025-10-30,Medium
RESP-30003,Finance,Senior IC,17.5,3.39,2.77,3.66,2.9,3.93,3.96,2.53,3.73,6,2025-04-15,Low
RESP-30004,Product,Manager,8.3,4.01,4.2,3.63,2.89,1.8,2.75,3.79,2.35,8,2024-11-03,Low
RESP-30005,Sales,Individual Contributor,18.1,2.37,2.62,3.81,3.02,2.27,3.4,3.27,2.73,6,2025-04-14,Medium
RESP-30006,Sales,Director,3.1,2.58,2.73,2.51,3.34,2.01,4.06,2.78,4.67,6,2025-03-14,Medium
RESP-30007,Finance,Senior IC,16.5,4.75,3.24,2.79,3.37,3.86,3.34,2.54,3.49,10,2025-11-02,Low
RESP-30008,Finance,Individual Contributor,14.6,2.5,4.81,2.39,3.23,3.34,3.56,4.06,3.28,5,2025-08-02,Medium
RESP-30009,Legal,Team Lead,3.4,2.6,2.6,4.13,3.53,3.29,3.45,3.63,4.26,7,2024-11-07,Medium
RESP-30010,Operations,Individual Contributor,15.6,3.81,5,3.65,3.93,3.95,2.89,1.31,3.83,2,2025-10-26,Low
RESP-30011,Legal,Manager,17.7,2.72,2.23,4.51,3.84,2.14,5,4.96,2.94,1,2024-04-23,Medium
RESP-30012,Product,VP,1.2,4.65,3.84,4.02,1.9,1.63,5,2.53,5,3,2024-02-27,Low
RESP-30013,Legal,Senior IC,8.1,3.92,3.26,3.98,3.78,3.34,2.05,3.68,3.57,1,2025-10-05,Low
RESP-30014,HR,Director,6.4,4.32,1.9,3.37,1.96,1.43,2.62,3.8,3.48,9,2025-07-01,Low
RESP-30015,Finance,Manager,11.7,3.85,3.2,4.26,2.43,2.54,4.39,2.55,2.89,3,2024-01-18,Low
RESP-30016,Finance,VP,13.9,4.84,4.16,3.43,4.17,3.04,3.16,3.81,1.99,6,2023-02-07,Low
RESP-30017,Finance,Individual Contributor,10.7,3.66,3.4,2.9,3.38,2.7,3.82,4.99,3.42,2,2025-10-23,Low
RESP-30018,Legal,Director,11.1,2.94,3.16,4.16,3.91,3.68,3.84,2.59,3.54,3,2023-09-19,Medium
RESP-30019,Marketing,Director,4.2,3.59,3.81,2.67,3.39,3.05,4.75,2.59,4.0,2,2024-08-03,Low
RESP-30020,Sales,Team Lead,11.3,3.79,2.64,4.58,3.77,3.72,1.18,2.27,3.82,1,2024-02-21,Low
RESP-30021,Marketing,Individual Contributor,6.9,4.52,4.59,3.35,3.1,3.34,3.07,2.49,3.43,1,2024-01-03,Low
RESP-30022,Product,Team Lead,14.7,3.38,3.95,3.89,2.77,3.5,2.54,3.7,3.49,4,2024-10-16,Low
RESP-30023,HR,Manager,9.2,4.62,3.18,4.17,3.97,3.74,3.49,4.07,2.86,5,2023-03-13,Low
RESP-30024,Design,Manager,0.7,4.05,3.7,3.22,5,3.96,2.72,2.3,4.1,5,2024-05-16,Low
RESP-30025,Marketing,Director,19.7,2.69,3.09,3.53,2.23,4.35,3.7,1.99,4.11,9,2023-09-03,Medium
RESP-30026,HR,Team Lead,2.4,2.55,2.4,3.28,3.82,2.76,4.94,2.64,3.78,7,2024-06-25,Medium
RESP-30027,Customer Support,VP,1.7,3.07,3.49,2.74,4.13,2.59,1.43,2.87,2.68,3,2025-08-06,Medium
RESP-30028,Customer Support,Team Lead,15.4,3.26,2.96,2.7,2.87,3.54,3.4,2.24,3.24,9,2024-01-19,Low
RESP-30029,Customer Support,Team Lead,4.5,3.89,4.57,2.61,2.63,5,4.5,3.21,3.25,7,2023-05-17,Low
RESP-30030,HR,Manager,18.2,3.96,4.96,2.49,3.67,3.84,4.51,3.28,2.81,5,2024-11-23,Low
RESP-30031,Marketing,Manager,16.8,3.19,3.41,3.64,3.61,3.12,1.31,3.11,1.92,7,2025-04-20,Medium
RESP-30032,Customer Support,Individual Contributor,14.5,3.38,2.71,3.01,1.72,2.97,1,2.85,2.76,8,2024-07-28,Low
RESP-30033,Legal,Team Lead,8.2,4.54,2.32,3.94,3.93,3.37,3.56,3.15,3.61,3,2024-02-11,Low
RESP-30034,Marketing,Director,2.0,4.21,3.44,3.36,2.19,3.97,4.18,2.71,3.23,8,2024-05-15,Low
RESP-30035,Customer Support,Individual Contributor,6.5,3.85,4.42,2.65,2.75,3.16,1.88,2.25,2.78,2,2025-02-11,Low
RESP-30036,Sales,Individual Contributor,16.0,2.17,2.77,3.59,2.41,3.9,3.32,1.94,2.72,3,2025-03-20,Medium
RESP-30037,Engineering,Senior IC,13.5,3.69,2.03,3.23,3.29,3.05,1.24,3.49,2.99,3,2024-09-09,Low
RESP-30038,HR,VP,6.0,3.79,1.93,3.48,3.42,2.92,4.44,2.93,4.13,10,2024-02-11,Low
RESP-30039,Design,Senior IC,7.7,3.64,3.1,3.41,1.92,4.55,4.77,4.46,3.71,9,2024-10-26,Low
RESP-30040,Engineering,Individual Contributor,5.1,3.4,2.45,2.69,3.66,3.37,2.95,1.06,2.95,3,2023-09-28,Low
RESP-30041,Engineering,Senior IC,6.6,2.96,2.75,4.33,4.37,5,1.36,3.75,3.2,10,2023-08-28,Medium
RESP-30042,Legal,VP,12.5,3.86,3.95,3.5,3.48,1.21,3.62,3.29,2.35,5,2024-09-17,Low
RESP-30043,Sales,Team Lead,18.2,3.59,4.33,3.66,3.71,3.01,2.65,1.82,3.11,3,2024-11-15,Low
RESP-30044,Customer Support,Manager,8.1,3.26,3.04,2.89,3.39,4.4,1.34,3.74,3.56,2,2023-10-28,Low
RESP-30045,Sales,Director,10.8,4.04,3.25,4.24,2.31,2.15,4.09,3.61,3.28,7,2023-08-10,Low
RESP-30046,Operations,Senior IC,16.1,3.55,1,2.68,2.55,3.6,3.39,3.57,2.94,2,2025-03-11,Low
RESP-30047,Engineering,Director,8.2,3.72,4.95,3.13,4.7,4.12,2.78,2.71,2.12,2,2025-03-20,Low
RESP-30048,Legal,Manager,10.8,2.88,3.43,3.7,4.08,3.05,4.19,2.29,3.09,9,2023-08-23,Medium
RESP-30049,Marketing,Director,11.9,3.6,2.57,4.4,1.14,2.24,4.49,2.58,3.1,10,2024-02-04,Low
RESP-30050,Finance,Individual Contributor,16.2,3.28,3.68,5,2.7,2.53,2.28,2.29,3.34,4,2024-03-07,Low
RESP-30051,Finance,Director,15.9,3.4,4.3,4.18,4.88,1.75,3.57,1.8,2.79,3,2025-09-13,Low
RESP-30052,Operations,Team Lead,8.1,2.62,3.63,4.11,3.04,4.4,4.47,3.33,3.48,2,2024-01-26,Medium
RESP-30053,HR,Director,19.6,3.36,2.75,3.83,3.85,4.8,4.1,3.35,3.32,2,2023-11-12,Low
RESP-30054,Engineering,Individual Contributor,9.4,3.27,3.28,3.75,5,2.79,3.87,5,3.16,6,2024-07-18,Low
RESP-30055,HR,Team Lead,1.4,3.69,3.28,3.43,3.8,3.02,2.32,1.9,3.71,4,2024-11-04,Low
RESP-30056,Design,Team Lead,13.1,3.93,4.73,3.36,3.34,3.78,3.84,3.53,2.76,1,2023-04-19,Low
RESP-30057,Operations,Senior IC,1.3,1.86,2.03,3.89,2.78,3.04,4.28,2.0,3.46,2,2023-02-19,High
RESP-30058,Legal,Team Lead,6.2,3.5,2.69,3.48,4.79,1.73,3.75,4.91,2.69,5,2023-03-25,Low
RESP-30059,Marketing,Team Lead,6.9,3.71,4.93,3.89,5,3.31,2.64,2.5,4.15,5,2024-05-29,Low
RESP-30060,Sales,Senior IC,17.5,3.43,2.85,4.89,4.69,3.8,4.31,3.08,3.37,4,2023-05-07,Low
RESP-30061,HR,VP,19.2,4.14,3.34,3.86,3.03,3.41,3.13,3.38,3.8,1,2023-08-29,Low
RESP-30062,HR,Team Lead,10.2,3.95,2.14,3.65,2.72,4.35,3.39,2.05,2.52,10,2024-08-31,Low
RESP-30063,Legal,VP,6.2,4.67,4.03,4.1,3.08,1.94,2.5,1.05,2.69,2,2023-04-30,Low
RESP-30064,Engineering,Team Lead,18.7,4.15,2.37,3.43,4.4,3.25,3.8,2.54,3.82,7,2024-08-20,Low
RESP-30065,Product,Individual Contributor,9.5,3.24,4.2,3.53,3.84,2.25,2.58,3.42,4.05,8,2023-06-15,Low
RESP-30066,Design,Team Lead,3.6,2.97,3.76,3.72,2.98,3.41,4.24,2.99,4.57,10,2023-10-29,Medium
RESP-30067,Customer Support,Director,17.9,2.78,1.87,3.86,4.94,1.42,2.36,4.67,4.68,1,2024-04-28,Medium
RESP-30068,Sales,Senior IC,18.4,4.35,2.14,2.82,2.88,2.72,2.3,2.6,3.6,3,2023-02-12,Low
RESP-30069,Legal,VP,9.6,1.97,4.23,4.59,2.17,2.88,3.44,3.46,3.94,2,2025-08-27,Medium
RESP-30070,Design,VP,13.7,3.75,3.94,2.53,3.13,3.05,4.64,1,3.24,10,2025-04-25,Low
RESP-30071,Customer Support,Senior IC,18.3,4.75,4.51,3.39,4.91,1.59,3.73,3.09,3.47,1,2023-05-16,Low
RESP-30072,Legal,Director,4.0,2.57,2.69,3.2,4.0,2.96,2.15,4.51,3.94,10,2024-11-11,Medium
RESP-30073,Customer Support,VP,11.3,3.24,3.29,4.17,3.3,4.21,4.88,2.61,3.62,9,2023-06-14,Low
