timestamp,building_id,energy_kwh,temperature_f,humidity_pct,occupancy,building_type,floor_area_sqft,hvac_mode,is_weekend
2024-01-01 00:00:00,BLD-1,22.67,11.5,56,1,Data Center,69880,Off,False
2024-01-01 01:00:00,BLD-1,21.88,10.5,41,1,Data Center,69880,Auto,False
2024-01-01 02:00:00,BLD-3,8.83,2.6,44,1,Warehouse,14407,Auto,False
2024-01-01 03:00:00,BLD-5,50.01,12.4,33,1,School,79525,Cooling,False
2024-01-01 04:00:00,BLD-4,18.42,6.3,84,0,Office,18430,Auto,False
2024-01-01 05:00:00,BLD-1,52.57,9.1,18,0,Data Center,69880,Heating,False
2024-01-01 06:00:00,BLD-2,42.42,7.5,44,0,Retail,87908,Off,False
2024-01-01 07:00:00,BLD-1,42.49,15.1,92,0,Data Center,69880,Auto,False
2024-01-01 08:00:00,BLD-2,227.42,19.1,83,0,Retail,87908,Off,False
2024-01-01 09:00:00,BLD-5,144.68,4.9,70,0,School,79525,Heating,False
2024-01-01 10:00:00,BLD-2,175.7,10.9,82,1,Retail,87908,Auto,False
2024-01-01 11:00:00,BLD-2,197.92,17.6,94,0,Retail,87908,Off,False
2024-01-01 12:00:00,BLD-4,44.3,17.0,76,0,Office,18430,Auto,False
2024-01-01 13:00:00,BLD-5,163.49,7.0,44,0,School,79525,Heating,False
2024-01-01 14:00:00,BLD-5,128.08,8.0,29,1,School,79525,Heating,False
2024-01-01 15:00:00,BLD-1,164.85,7.1,67,1,Data Center,69880,Auto,False
2024-01-01 16:00:00,BLD-3,27.23,8.3,19,0,Warehouse,14407,Off,False
2024-01-01 17:00:00,BLD-1,124.3,13.1,76,0,Data Center,69880,Off,False
2024-01-01 18:00:00,BLD-1,202.46,14.6,94,0,Data Center,69880,Auto,False
2024-01-01 19:00:00,BLD-2,55.06,8.2,84,0,Retail,87908,Auto,False
2024-01-01 20:00:00,BLD-3,7.93,3.0,77,1,Warehouse,14407,Auto,False
2024-01-01 21:00:00,BLD-5,19.83,6.2,75,0,School,79525,Cooling,False
2024-01-01 22:00:00,BLD-2,56.62,-5.7,70,1,Retail,87908,Cooling,False
2024-01-01 23:00:00,BLD-5,33.1,9.1,58,1,School,79525,Cooling,False
2024-01-02 00:00:00,BLD-5,61.8,9.0,77,0,School,79525,Heating,False
2024-01-02 01:00:00,BLD-5,56.36,12.8,60,0,School,79525,Heating,False
2024-01-02 02:00:00,BLD-5,79.9,16.1,79,1,School,79525,Auto,False
2024-01-02 03:00:00,BLD-4,8.9,9.7,48,1,Office,18430,Heating,False
2024-01-02 04:00:00,BLD-2,53.08,10.9,15,1,Retail,87908,Auto,False
2024-01-02 05:00:00,BLD-5,31.84,9.2,22,0,School,79525,Cooling,False
2024-01-02 06:00:00,BLD-2,40.97,3.3,30,0,Retail,87908,Heating,False
2024-01-02 07:00:00,BLD-1,27.77,12.5,87,0,Data Center,69880,Auto,False
2024-01-02 08:00:00,BLD-4,52.71,4.3,36,1,Office,18430,Cooling,False
2024-01-02 09:00:00,BLD-2,151.42,7.9,29,1,Retail,87908,Cooling,False
2024-01-02 10:00:00,BLD-3,36.65,6.7,45,0,Warehouse,14407,Off,False
2024-01-02 11:00:00,BLD-4,54.88,7.7,43,1,Office,18430,Off,False
2024-01-02 12:00:00,BLD-2,222.71,3.2,17,0,Retail,87908,Off,False
2024-01-02 13:00:00,BLD-2,149.16,9.8,22,1,Retail,87908,Cooling,False
2024-01-02 14:00:00,BLD-3,25.61,8.6,43,0,Warehouse,14407,Auto,False
2024-01-02 15:00:00,BLD-1,200.75,19.2,79,0,Data Center,69880,Cooling,False
2024-01-02 16:00:00,BLD-5,161.43,8.2,93,1,School,79525,Off,False
2024-01-02 17:00:00,BLD-4,48.26,5.5,55,1,Office,18430,Off,False
2024-01-02 18:00:00,BLD-4,31.6,9.3,93,0,Office,18430,Heating,False
2024-01-02 19:00:00,BLD-3,10.94,4.8,54,1,Warehouse,14407,Cooling,False
2024-01-02 20:00:00,BLD-2,69.42,12.9,39,1,Retail,87908,Cooling,False
2024-01-02 21:00:00,BLD-3,8.09,15.6,18,1,Warehouse,14407,Cooling,False
2024-01-02 22:00:00,BLD-4,7.71,14.0,48,0,Office,18430,Cooling,False
2024-01-02 23:00:00,BLD-1,46.69,9.4,75,0,Data Center,69880,Heating,False
2024-01-03 00:00:00,BLD-3,12.39,1.2,79,1,Warehouse,14407,Auto,False
2024-01-03 01:00:00,BLD-3,6.06,4.3,21,0,Warehouse,14407,Heating,False
