trip_id,pickup_datetime,dropoff_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,passenger_count,trip_distance_miles,fare_amount,tip_amount,total_amount,payment_type,trip_duration_min
TRIP-400000,2024-10-16 17:39:35,2024-10-16 17:57:35,40.737723,-73.924535,40.759391,-73.966466,4,4.66,19.34,3.37,22.71,Cash,18.5
TRIP-400001,2025-08-09 18:11:38,2025-08-09 19:39:38,40.822534,-74.001009,40.660257,-73.949034,1,14.58,60.38,10.56,70.94,Debit Card,88.1
TRIP-400002,2024-05-01 14:20:52,2024-05-01 15:24:52,40.758857,-73.925399,40.839008,-74.003934,6,9.86,40.56,11.61,52.17,Credit Card,64.1
TRIP-400003,2025-09-11 02:29:28,2025-09-11 03:01:28,40.840693,-73.945983,40.802202,-73.978711,5,4.9,17.36,0.39,17.75,Credit Card,32.1
TRIP-400004,2024-02-27 19:04:26,2024-02-27 20:33:26,40.808255,-73.932782,40.711109,-74.012579,1,11.45,36.82,0.28,37.1,Mobile,89.2
TRIP-400005,2024-02-02 19:13:36,2024-02-02 20:18:36,40.742819,-74.017065,40.668623,-73.945883,2,9.88,32.66,6.27,38.93,Mobile,65.6
TRIP-400006,2024-03-18 10:22:56,2024-03-18 11:17:56,40.746311,-73.957532,40.819164,-73.954477,3,7.11,28.7,4.18,32.88,Cash,55.9
TRIP-400007,2024-05-04 19:18:08,2024-05-04 20:17:08,40.824557,-73.997345,40.670232,-73.982373,4,11.83,43.43,1.42,44.85,Credit Card,59.9
TRIP-400008,2025-04-29 14:57:53,2025-04-29 16:10:53,40.750556,-74.011461,40.811847,-73.912148,3,10.95,45.56,5.59,51.15,Debit Card,73.6
TRIP-400009,2024-01-13 07:50:53,2024-01-13 09:15:53,40.681165,-74.006119,40.835717,-73.969323,2,12.91,48.66,6.9,55.56,Cash,85.1
TRIP-400010,2024-05-29 18:32:09,2024-05-29 19:16:09,40.796229,-73.906117,40.681923,-73.908175,1,8.69,37.6,8.87,46.47,Cash,44.0
TRIP-400011,2024-10-20 04:32:44,2024-10-20 05:02:44,40.756125,-73.932972,40.703365,-73.902722,2,6.05,20.35,0.55,20.9,Cash,30.8
TRIP-400012,2025-10-16 21:33:41,2025-10-16 21:57:41,40.786624,-73.921138,40.74213,-73.97222,1,7.15,25.81,1.47,27.28,Credit Card,24.8
TRIP-400013,2024-11-05 15:25:50,2024-11-05 16:08:50,40.665494,-73.953555,40.716298,-73.917416,4,7.37,34.74,3.58,38.32,Cash,43.8
TRIP-400014,2024-02-19 20:02:28,2024-02-19 21:24:28,40.65164,-73.946057,40.795664,-73.919441,2,12.27,52.24,7.46,59.7,Mobile,82.3
TRIP-400015,2024-06-30 15:11:49,2024-06-30 15:40:49,40.770689,-73.910396,40.78105,-74.006751,1,7.61,34.65,6.41,41.06,Mobile,29.8
TRIP-400016,2024-11-07 06:18:21,2024-11-07 06:57:21,40.744676,-73.939614,40.688547,-73.928216,6,5.44,24.05,2.22,26.27,Credit Card,39.1
TRIP-400017,2024-02-29 07:42:38,2024-02-29 09:04:38,40.812813,-73.937785,40.68183,-73.980991,4,11.84,54.04,0.85,54.89,Cash,82.7
TRIP-400018,2025-05-15 04:22:56,2025-05-15 05:01:56,40.807801,-73.927066,40.806659,-74.01831,5,5.96,20.64,3.96,24.6,Credit Card,39.2
TRIP-400019,2024-11-21 13:36:49,2024-11-21 14:16:49,40.708077,-73.962018,40.799352,-73.931404,2,8.43,39.43,5.12,44.55,Cash,40.6
TRIP-400020,2025-08-04 05:33:48,2025-08-04 06:44:48,40.651706,-73.99742,40.771129,-74.015358,6,10.87,47.04,8.25,55.29,Credit Card,71.3
TRIP-400021,2025-04-01 13:00:03,2025-04-01 13:36:03,40.713007,-73.96915,40.686989,-73.987236,5,3.71,14.83,2.51,17.34,Mobile,36.2
TRIP-400022,2025-08-09 15:46:34,2025-08-09 16:33:34,40.698262,-73.939482,40.792336,-73.902634,6,10.28,29.5,2.28,31.78,Cash,47.2
TRIP-400023,2024-04-27 08:00:25,2024-04-27 09:08:25,40.846202,-73.983406,40.754144,-74.017308,2,9.35,30.56,1.45,32.01,Credit Card,68.0
TRIP-400024,2025-07-08 13:32:28,2025-07-08 14:06:28,40.729812,-73.902321,40.779798,-73.91136,2,4.37,17.96,1.61,19.57,Credit Card,34.5
TRIP-400025,2025-11-22 09:37:04,2025-11-22 10:09:04,40.724838,-73.95263,40.690664,-73.961688,6,4.6,20.43,0.13,20.56,Cash,32.1
TRIP-400026,2024-02-21 12:48:16,2024-02-21 13:59:16,40.675403,-74.017727,40.712721,-73.924244,6,8.64,27.27,7.84,35.11,Debit Card,71.3
TRIP-400027,2024-05-30 01:13:01,2024-05-30 01:27:01,40.664926,-73.935563,40.653659,-73.955932,2,2.76,11.2,2.41,13.61,Credit Card,14.4
TRIP-400028,2025-11-23 20:38:46,2025-11-23 21:41:46,40.788609,-73.990408,40.666799,-73.984537,1,9.45,45.29,7.69,52.98,Cash,63.1
TRIP-400029,2025-10-30 05:16:59,2025-10-30 05:55:59,40.811033,-73.95398,40.736421,-73.968126,1,7.12,31.83,0.92,32.75,Cash,39.6
TRIP-400030,2025-10-19 18:24:57,2025-10-19 19:14:57,40.757262,-73.946935,40.808939,-74.011563,3,7.68,37.7,10.99,48.69,Mobile,50.3
TRIP-400031,2024-08-17 16:48:02,2024-08-17 17:12:02,40.781394,-73.915482,40.744258,-73.92261,4,4.68,17.64,0.49,18.13,Credit Card,24.3
TRIP-400032,2024-05-04 19:39:39,2024-05-04 20:03:39,40.799435,-74.011712,40.802812,-73.920111,5,6.7,23.31,6.41,29.72,Cash,24.9
