user_id,movie_id,rating,timestamp,movie_title,genres,year,tag,imdb_id
USR-3948,MOV-0094,4,1734853331,Crimson Phoenix,Western|Action|Musical,1972,classic,tt2640169
USR-1243,MOV-0149,4.5,1731143908,Lost Journey,Musical,2023,intense,tt7364202
USR-4343,MOV-0127,2.5,1622540180,Lost Frontier,Musical,2024,overrated,tt9867051
USR-3638,MOV-0217,1,1620261597,The Dream,Drama|Fantasy|Western,2009,underrated,tt5542736
USR-110,MOV-0195,5,1674440531,Rise of Phoenix,Animation|Mystery|Adventure,2009,thought-provoking,tt2957038
USR-2703,MOV-0089,0.5,1753034093,Midnight Phoenix,Thriller|Animation,2020,overrated,tt1737894
USR-287,MOV-0182,5,1667444414,Lost Knight,Animation|Mystery,1985,classic,tt7210396
USR-2660,MOV-0108,5,1728943103,Midnight Legend,Thriller,1983,boring,tt7366070
USR-1705,MOV-0190,0.5,1595343350,Last Frontier,Animation,1985,underrated,tt8251510
USR-4006,MOV-0119,1.5,1607118519,Lost Dream,Thriller|Animation,1982,classic,tt6889640
USR-2085,MOV-0010,3.5,1624455433,A Flame,Drama|Crime|Documentary,2017,rewatchable,tt4843861
USR-138,MOV-0126,2.5,1672253864,Midnight Horizon,Animation,1984,funny,tt4967808
USR-356,MOV-0139,1,1580431317,Golden Shadow,Thriller,2025,must-see,tt1507629
USR-3124,MOV-0190,2,1597792160,Last Frontier,Animation,1985,intense,tt8251510
USR-1464,MOV-0024,2,1620364306,Golden Phoenix,Drama|Horror,1989,rewatchable,tt7252317
USR-2466,MOV-0214,5,1603294399,The Odyssey,Action,1987,dark,tt3005794
USR-2499,MOV-0048,3,1663376200,Dark Shadow,Comedy,1996,thought-provoking,tt5312530
USR-510,MOV-0130,1.5,1642540263,Iron Horizon,Musical|Thriller|Crime,2024,underrated,tt9810856
USR-3058,MOV-0147,5,1741339986,Return of the Bridge,Action,1977,visually stunning,tt3943507
USR-2073,MOV-0184,1,1578133974,Eternal Horizon,Horror|Documentary,1979,visually stunning,tt4224386
USR-4294,MOV-0084,2,1749255262,Iron Storm,Sci-Fi,2002,underrated,tt3678392
USR-282,MOV-0112,2,1608445691,Silver Flame,Adventure|Western,2022,funny,tt5752187
USR-3690,MOV-0052,2,1601998389,The Shadow,Thriller,1997,overrated,tt3802192
USR-2988,MOV-0111,1.5,1759084181,Last Knight,Action,1974,thought-provoking,tt2389261
USR-4282,MOV-0107,1.5,1706182511,Golden Odyssey,Mystery|Romance|Thriller,2012,visually stunning,tt2426169
USR-2068,MOV-0070,3,1727879900,Secret Bridge,Fantasy|Documentary|Action,1992,dark,tt2478898
USR-2223,MOV-0166,2,1708543419,Dark Phoenix,Romance|Animation|Action,1994,boring,tt2066254
USR-4774,MOV-0160,3,1653998719,Lost Horizon,Western,2005,dark,tt5681437
USR-4065,MOV-0195,1.5,1694055377,Rise of Phoenix,Animation|Mystery|Adventure,2009,slow,tt2957038
USR-4851,MOV-0034,4.5,1721769236,Iron Tower,Fantasy|Mystery,2023,inspiring,tt6579408
USR-4877,MOV-0049,3.5,1580902369,The Bridge,Thriller|Mystery,1975,visually stunning,tt8999326
USR-1623,MOV-0077,3.5,1754220295,Midnight Dream,Adventure,2002,intense,tt7565446
USR-2955,MOV-0154,3,1589207051,Last Horizon,Western|Thriller|Drama,1977,visually stunning,tt3233115
USR-2294,MOV-0193,4,1634676467,Silent Storm,Thriller|Horror|Crime,2020,heartwarming,tt8671382
USR-2063,MOV-0221,2,1747019287,Dark Kingdom,Western|Romance|Crime,1974,overrated,tt3885711
USR-28,MOV-0063,1,1724805652,Golden Flame,Musical|Horror,2005,masterpiece,tt2382497
USR-830,MOV-0043,2.5,1725877563,Golden Knight,Sci-Fi|Adventure,1978,classic,tt9136653
USR-2410,MOV-0162,1.5,1656652808,Crimson Dream,Drama|Mystery|Crime,1977,masterpiece,tt8755671
USR-889,MOV-0079,5,1644564826,Eternal Odyssey,Fantasy|Western|Thriller,1992,funny,tt1917110
USR-987,MOV-0182,4.5,1705225225,Lost Knight,Animation|Mystery,1985,visually stunning,tt7210396
USR-2070,MOV-0039,4,1609539350,Silent Flame,Horror|Thriller,1996,funny,tt4338257
USR-3694,MOV-0052,2,1682440274,The Shadow,Thriller,1997,dark,tt3802192
USR-251,MOV-0202,2,1620582561,Silent Horizon,Fantasy|Western,2006,classic,tt1820221
USR-2814,MOV-0151,2.5,1583559920,Secret Legend,Mystery,1978,masterpiece,tt5697449
USR-659,MOV-0154,2,1675570124,Last Horizon,Western|Thriller|Drama,1977,inspiring,tt3233115
USR-4037,MOV-0096,4,1650394559,Iron Odyssey,Animation|Horror,2004,underrated,tt9681842
USR-99,MOV-0200,3.5,1616809683,Crimson Storm,Western,1982,underrated,tt9331305
USR-2569,MOV-0029,4,1738599799,Silent Bridge,Comedy|Sci-Fi|Thriller,2022,heartwarming,tt7335042
USR-1650,MOV-0221,2,1596521217,Dark Kingdom,Western|Romance|Crime,1974,thought-provoking,tt3885711
USR-2852,MOV-0007,4.5,1695471805,Iron Knight,Fantasy|Comedy|Drama,1999,heartwarming,tt9890973
USR-983,MOV-0062,4.5,1676309960,A Journey,Animation|Documentary|Horror,1983,boring,tt4399941
USR-53,MOV-0182,4,1694908982,Lost Knight,Animation|Mystery,1985,funny,tt7210396
USR-23,MOV-0132,3,1696719646,Golden Bridge,Animation,2022,intense,tt5316332
USR-431,MOV-0125,2,1685688168,Iron Ocean,Comedy|Romance,1970,slow,tt4509052
USR-1146,MOV-0224,2.5,1645240905,Midnight Storm,Western|Musical,2010,inspiring,tt2594933
