company_id,company_name,plan,mrr_usd,usage_events,account_age_days,region,industry,contract_months,signup_date,churn_date,churned,nps_score,support_tickets,last_login_date,seats
CO-6000,Zenith Solutions,Enterprise,4245.85,6182,301,Europe,Finance,1,2025-03-05,,False,40,6,2025-04-19,497
CO-6001,Zenith Corp,Starter,39.72,4829,1006,Middle East,Media,24,2023-03-31,,False,-23,27,2023-04-20,277
CO-6002,Nova Digital,Enterprise,1549.93,36510,653,North America,Education,3,2024-03-18,,False,83,40,2024-06-16,238
CO-6003,Nova Labs,Professional,200.89,19995,1242,North America,Manufacturing,3,2022-08-07,,False,-14,16,2023-04-16,114
CO-6004,Pulse Cloud,Starter,45.33,40065,454,Europe,Media,3,2024-10-03,,False,3,37,2025-12-27,31
CO-6005,Pulse Digital,Enterprise,4712.6,49241,1070,Latin America,Retail,1,2023-01-26,,False,95,44,2025-08-15,116
CO-6006,Forge Corp,Starter,37.22,15914,748,Europe,Government,6,2023-12-14,,False,77,0,2025-06-22,351
CO-6007,Acme Solutions,Professional,116.52,10765,534,Middle East,Government,12,2024-07-15,,False,-99,13,2025-05-07,131
CO-6008,Vertex Tech,Professional,363.86,13432,1168,Asia Pacific,Manufacturing,12,2022-10-20,,False,-49,6,2025-11-05,492
CO-6009,Nova Tech,Starter,88.69,19646,937,North America,Non-profit,12,2023-06-08,,False,-77,49,2023-12-20,15
CO-6010,Forge Corp,Enterprise,4603.38,30291,243,Europe,Non-profit,1,2025-05-02,,False,56,41,2025-12-25,443
CO-6011,Nova Labs,Enterprise,720.44,15008,1616,Latin America,Healthcare,1,2021-07-29,,False,73,9,2024-09-08,304
CO-6012,Nova Digital,Free,0.0,37108,1707,North America,Education,3,2021-04-29,2023-03-16,True,48,16,2023-11-25,74
CO-6013,Spark Systems,Starter,98.97,34081,1175,Europe,Education,6,2022-10-13,,False,-23,10,2023-04-07,320
CO-6014,Acme Analytics,Enterprise,1628.03,27229,526,Latin America,Manufacturing,12,2024-07-23,,False,-19,18,2025-09-13,6
CO-6015,Apex Corp,Free,0.0,15416,2102,North America,Finance,1,2020-03-30,,False,-18,22,2023-06-10,309
CO-6016,Nimbus Corp,Starter,38.63,30837,1966,Middle East,Education,3,2020-08-13,,False,-51,8,2020-09-03,30
CO-6017,Nova Digital,Enterprise,1050.0,21452,2172,Europe,Retail,3,2020-01-20,,False,-84,6,2024-06-15,118
CO-6018,Forge Analytics,Starter,98.9,20198,1609,North America,Education,24,2021-08-05,,False,-74,28,2022-07-11,58
CO-6019,Spark Cloud,Professional,174.17,40305,1776,Middle East,Finance,6,2021-02-19,2022-11-20,True,-49,23,2025-02-21,476
CO-6020,Apex Solutions,Professional,141.96,1038,255,Europe,Media,6,2025-04-20,2027-01-12,True,42,17,2025-07-14,59
CO-6021,Spark Solutions,Professional,122.5,5441,1252,North America,Media,3,2022-07-28,,False,3,7,2025-06-30,417
CO-6022,Wave Corp,Starter,35.04,13223,1741,North America,Media,24,2021-03-26,2021-10-10,True,39,33,2025-03-10,188
CO-6023,Vertex Labs,Starter,37.47,44090,1779,Middle East,Finance,12,2021-02-16,2021-06-27,True,4,40,2023-03-09,161
CO-6024,Acme Systems,Starter,83.22,49430,1759,Latin America,Consulting,12,2021-03-08,,False,-22,19,2021-07-02,223
CO-6025,Acme Tech,Starter,59.45,18390,1800,Europe,Manufacturing,6,2021-01-26,2021-03-29,True,-96,36,2022-04-18,226
CO-6026,Spark Cloud,Starter,45.44,42554,1570,North America,Technology,12,2021-09-13,2023-04-24,True,-83,46,2024-07-15,312
CO-6027,Pulse Labs,Enterprise,1326.37,16555,2146,Middle East,Healthcare,24,2020-02-15,,False,-62,46,2025-03-08,106
CO-6028,Forge AI,Enterprise,2363.38,44616,2111,North America,Healthcare,24,2020-03-21,,False,-87,1,2023-03-02,213
CO-6029,Zenith Corp,Enterprise,3967.16,15408,1529,Middle East,Education,1,2021-10-24,,False,-3,5,2023-07-05,223
CO-6030,Nimbus Tech,Starter,95.03,48822,465,Latin America,Education,3,2024-09-22,,False,-74,20,2025-07-18,242
CO-6031,Pulse Cloud,Professional,354.75,5413,1776,Europe,Finance,24,2021-02-19,,False,-83,2,2021-12-02,440
CO-6032,Zenith Solutions,Professional,259.56,40724,975,Europe,Government,12,2023-05-01,,False,66,30,2024-08-29,178
CO-6033,Spark Labs,Professional,123.02,4935,1005,North America,Education,12,2023-04-01,,False,22,6,2023-08-23,220
CO-6034,Forge Corp,Enterprise,4296.93,15101,1195,Europe,Finance,6,2022-09-23,,False,38,10,2025-01-07,249
CO-6035,Wave Corp,Starter,31.44,3207,1120,Middle East,Finance,12,2022-12-07,,False,81,2,2025-12-18,51
CO-6036,Pulse Digital,Enterprise,2047.79,45699,1453,Asia Pacific,Retail,24,2022-01-08,,False,-20,13,2022-07-08,57
CO-6037,Nova Digital,Enterprise,3270.69,20129,1571,Latin America,Media,24,2021-09-12,,False,3,43,2025-05-19,125
CO-6038,Wave AI,Enterprise,1737.81,4816,1940,Asia Pacific,Non-profit,12,2020-09-08,,False,79,38,2021-04-15,93
CO-6039,Nimbus Tech,Enterprise,4446.47,29497,2180,Europe,Media,6,2020-01-12,2021-08-31,True,-69,38,2024-11-25,384
CO-6040,Zenith Inc,Starter,69.52,11454,739,Latin America,Healthcare,3,2023-12-23,,False,-82,15,2025-03-13,476
CO-6041,Apex Analytics,Professional,219.04,13140,964,Europe,Finance,12,2023-05-12,,False,48,32,2025-09-22,161
CO-6042,Spark Solutions,Professional,129.58,4129,1367,Europe,Healthcare,6,2022-04-04,,False,70,26,2025-11-27,476
CO-6043,Apex Cloud,Professional,399.95,44620,1970,North America,Consulting,12,2020-08-09,2022-04-01,True,8,41,2022-06-25,211
CO-6044,Acme AI,Enterprise,4896.81,49581,269,North America,Consulting,12,2025-04-06,,False,-81,18,2025-12-07,20
CO-6045,Acme Corp,Professional,221.42,28958,391,Asia Pacific,Retail,12,2024-12-05,,False,16,46,2025-01-20,337
CO-6046,Spark Analytics,Starter,38.5,46994,683,Europe,Media,24,2024-02-17,2024-08-17,True,-61,11,2025-04-28,196
CO-6047,Pulse Systems,Enterprise,1841.69,6734,2125,Latin America,Media,3,2020-03-07,,False,-11,27,2023-02-10,365
CO-6048,Pulse Tech,Enterprise,1199.33,3006,2004,Middle East,Education,6,2020-07-06,,False,53,24,2020-11-22,251
CO-6049,Spark Solutions,Starter,69.82,6997,934,Asia Pacific,Consulting,12,2023-06-11,,False,-52,38,2024-07-29,226
CO-6050,Vertex AI,Professional,485.47,8039,1513,Europe,Manufacturing,1,2021-11-09,,False,71,29,2025-01-14,113
CO-6051,Forge Corp,Free,0.0,23478,2026,Europe,Manufacturing,12,2020-06-14,,False,-38,13,2024-05-01,6
CO-6052,Nova Labs,Professional,382.04,25250,871,Asia Pacific,Technology,1,2023-08-13,2024-03-20,True,40,2,2025-10-05,317
CO-6053,Spark Inc,Enterprise,3044.72,39319,1529,Asia Pacific,Consulting,12,2021-10-24,,False,-44,41,2024-12-12,184
CO-6054,Spark AI,Enterprise,4106.13,18665,1115,Latin America,Government,1,2022-12-12,,False,-93,49,2023-12-15,440
CO-6055,Vertex Tech,Professional,302.53,14061,1135,Middle East,Technology,1,2022-11-22,,False,-100,13,2025-03-07,210
CO-6056,Apex Corp,Enterprise,4065.66,11086,1672,North America,Finance,3,2021-06-03,,False,25,41,2023-11-02,302
