post_id,platform,post_date,post_type,content_category,likes,comments,shares,impressions,reach,engagement_rate,follower_count,hashtag_count,sentiment,link_clicks,video_views
POST-80000,LinkedIn,2025-07-13,Video,Entertainment,10105,15,349,262730,175998,3.98,2106170,15,Positive,24,0
POST-80001,Facebook,2024-02-24,Image,Promotional,13242,1281,357,304566,203023,4.89,1261829,1,Positive,46,0
POST-80002,YouTube,2024-11-07,Carousel,User Generated,24003,768,602,144018,125141,17.62,4061375,10,Negative,113,272155
POST-80003,Instagram,2025-04-14,Video,Behind the Scenes,35175,509,997,984900,897156,3.72,840568,0,Neutral,554,369617
POST-80004,TikTok,2024-10-09,Text,Promotional,37330,2905,1265,1119900,752902,3.71,221150,14,Positive,321,270344
POST-80005,LinkedIn,2025-03-09,Story,News,27950,2433,397,363350,210181,8.47,4364653,1,Neutral,409,0
POST-80006,Facebook,2025-05-25,Image,Educational,19922,540,88,219142,151836,9.38,2048319,11,Positive,349,0
POST-80007,LinkedIn,2025-08-01,Reel,Entertainment,33984,2502,117,373824,228082,9.79,2953376,16,Neutral,451,0
POST-80008,YouTube,2023-06-06,Image,Product Launch,31496,2122,917,346456,265123,9.97,4281487,20,Positive,276,50725
POST-80009,TikTok,2025-07-20,Live,Product Launch,22174,460,37,665220,587880,3.41,3988758,5,Positive,207,105985
POST-80010,Twitter,2025-06-10,Video,Product Launch,11371,667,401,136452,77070,9.12,267596,1,Negative,16,0
POST-80011,TikTok,2024-12-23,Reel,Tutorial,28503,2719,9,570060,402249,5.48,186979,1,Positive,303,225721
POST-80012,Facebook,2025-10-03,Story,Educational,21219,1252,367,572913,407639,3.99,4742813,4,Neutral,355,0
POST-80013,TikTok,2025-10-03,Story,Promotional,25898,107,200,388470,272080,6.75,1854559,15,Neutral,139,373336
POST-80014,TikTok,2023-12-24,Reel,Tutorial,39939,773,1286,279573,237536,15.02,4514497,19,Negative,188,220333
POST-80015,LinkedIn,2024-03-06,Text,Educational,42877,1932,1110,1157679,948928,3.97,2373692,25,Neutral,797,0
POST-80016,YouTube,2023-08-31,Video,News,9712,46,459,116544,80237,8.77,3333774,20,Neutral,157,348870
POST-80017,Facebook,2024-10-31,Image,Entertainment,31184,3095,423,530128,313472,6.55,3285329,18,Positive,608,0
