date,ticker,open,high,low,close,volume,adjusted_close,dividend
2022-01-03,AAPL,67.58,68.67,67.09,67.3,77532474,67.26,0.0
2022-01-03,MSFT,294.75,300.04,292.03,292.66,55477786,292.59,0.0
2022-01-03,GOOGL,328.49,332.91,326.69,327.09,18336926,326.93,0.0
2022-01-03,AMZN,146.87,150.29,144.32,148.03,66505971,147.76,0.0
2022-01-03,TSLA,390.25,393.75,389.12,390.18,19329230,389.8,0.0
2022-01-03,META,59.57,59.93,59.46,59.84,18772458,59.84,0.0
2022-01-03,NVDA,261.35,264.45,258.04,259.66,21900948,259.37,0.0
2022-01-03,JPM,323.24,329.09,318.71,321.47,43994859,321.24,0.0
2022-01-03,JNJ,188.53,190.71,188.1,189.29,78638646,188.97,0.38
2022-01-03,V,248.3,250.52,245.6,247.71,61424412,247.45,0.0
2022-01-03,PG,425.82,434.15,421.24,422.22,57326379,421.65,0.0
2022-01-03,UNH,232.19,237.72,228.87,233.72,33015446,233.7,0.0
2022-01-03,HD,424.89,428.52,424.71,426.73,8890504,426.3,0.0
2022-01-03,DIS,370.56,371.09,368.86,370.79,20649208,370.47,0.0
2022-01-03,NFLX,170.24,171.92,168.66,169.85,20046835,169.84,0.0
2022-01-03,PYPL,439.95,445.03,439.69,443.61,4993112,443.57,0.0
2022-01-03,INTC,427.11,430.87,422.44,430.77,37905342,430.0,0.0
2022-01-03,AMD,396.6,402.52,390.83,394.89,35650160,394.21,0.0
2022-01-03,CRM,253.95,256.78,248.94,252.26,6015792,252.1,0.0
2022-01-03,ORCL,349.85,354.53,346.78,348.27,63298413,347.74,0.0
2022-01-04,AAPL,65.6,66.54,65.46,66.07,39321384,66.01,0.0
2022-01-04,MSFT,289.29,293.61,283.61,290.74,39066326,290.45,0.0
2022-01-04,GOOGL,336.16,338.65,332.8,333.55,56153088,333.29,0.0
2022-01-04,AMZN,148.16,149.93,147.86,148.6,18771777,148.54,0.0
2022-01-04,TSLA,395.09,396.78,384.17,391.21,35398696,391.11,0.0
2022-01-04,META,60.15,61.15,59.58,60.38,23917989,60.35,0.0
2022-01-04,NVDA,259.87,264.11,253.69,258.6,14323077,258.19,0.0
2022-01-04,JPM,323.97,324.85,323.4,323.46,65019041,323.14,0.0
2022-01-04,JNJ,191.17,193.23,187.35,192.29,45624081,192.23,0.0
2022-01-04,V,242.6,248.25,241.73,244.24,17163493,243.89,0.0
2022-01-04,PG,438.5,443.13,435.73,439.89,55289497,439.5,0.0
2022-01-04,UNH,231.83,234.68,229.44,232.93,24770059,232.5,0.0
2022-01-04,HD,435.52,438.91,431.37,431.6,33870281,430.95,0.0
2022-01-04,DIS,372.14,377.13,365.36,373.11,28075420,372.92,0.0
2022-01-04,NFLX,170.68,170.82,167.38,169.9,72339294,169.79,0.0
2022-01-04,PYPL,423.38,427.05,419.46,426.52,23267625,426.47,0.0
2022-01-04,INTC,445.82,448.97,437.2,441.82,36838355,441.44,0.0
2022-01-04,AMD,393.3,398.96,388.78,390.96,44924793,390.55,0.0
2022-01-04,CRM,251.86,254.82,245.99,249.82,77355932,249.5,0.0
2022-01-04,ORCL,340.3,345.86,338.87,343.35,17219572,343.21,0.0
2022-01-05,AAPL,63.46,64.5,62.93,63.97,41679623,63.86,0.0
2022-01-05,MSFT,283.51,290.94,282.76,285.93,8848160,285.44,0.0
2022-01-05,GOOGL,332.68,335.11,327.62,334.37,32040674,333.92,0.0
2022-01-05,AMZN,147.5,147.99,146.13,146.61,70782535,146.6,0.0
2022-01-05,TSLA,391.16,396.92,389.06,395.06,12020252,394.85,0.0
2022-01-05,META,60.94,61.38,60.12,60.61,51452129,60.56,0.0
2022-01-05,NVDA,261.56,263.8,255.12,259.56,31381568,259.17,0.0
2022-01-05,JPM,315.22,318.7,312.15,318.37,27650172,318.33,0.0
2022-01-05,JNJ,190.12,192.09,189.93,190.69,11146560,190.37,0.0
2022-01-05,V,241.42,245.21,238.73,242.52,54441717,242.34,0.0
2022-01-05,PG,438.52,442.01,436.48,441.75,35700762,441.21,0.0
2022-01-05,UNH,234.34,240.19,231.88,236.0,20191767,235.81,0.0
2022-01-05,HD,446.11,455.97,440.75,449.85,23762303,449.31,0.0
2022-01-05,DIS,378.24,384.47,368.91,375.37,69639890,374.83,0.0
2022-01-05,NFLX,165.04,167.23,163.94,166.44,52835197,166.24,0.0
2022-01-05,PYPL,414.6,419.88,411.98,415.41,67121687,414.74,0.0
2022-01-05,INTC,458.31,467.4,450.63,454.66,32383862,454.27,0.0
2022-01-05,AMD,398.22,403.83,395.94,396.63,19895358,396.29,0.0
2022-01-05,CRM,251.53,253.5,246.64,251.5,58387165,251.1,0.0
2022-01-05,ORCL,357.54,361.27,350.7,355.01,30864261,354.73,0.0
2022-01-06,AAPL,63.22,64.02,62.58,63.22,1541033,63.1,0.0
2022-01-06,MSFT,297.85,302.35,291.6,295.44,13364419,295.15,0.0
2022-01-06,GOOGL,336.98,342.59,333.63,339.37,72816122,339.12,0.0
2022-01-06,AMZN,143.58,146.75,143.04,144.66,25819753,144.55,0.0
2022-01-06,TSLA,396.53,399.1,388.92,397.47,66670206,397.04,0.0
2022-01-06,META,60.4,60.67,60.28,60.66,49892828,60.61,0.0
2022-01-06,NVDA,256.14,260.36,255.59,257.07,12725280,257.04,0.0
2022-01-06,JPM,319.55,323.33,313.26,322.24,18531186,321.84,0.0
2022-01-06,JNJ,196.88,197.53,193.62,194.95,20870619,194.65,0.0
2022-01-06,V,238.3,239.3,237.56,238.16,73357913,237.88,0.0
2022-01-06,PG,444.95,446.91,441.59,446.21,74153790,445.4,0.0
2022-01-06,UNH,235.45,240.7,231.86,237.67,27439792,237.45,0.0
2022-01-06,HD,451.76,463.95,445.6,455.23,36374328,455.18,0.0
2022-01-06,DIS,368.87,372.58,367.8,369.3,57975981,368.85,0.0
2022-01-06,NFLX,171.72,174.45,170.71,170.75,35225753,170.51,0.0
2022-01-06,PYPL,413.5,416.93,404.92,412.77,37981558,412.19,0.0
2022-01-06,INTC,463.56,470.64,453.07,461.21,15046902,460.91,0.0
2022-01-06,AMD,403.67,405.77,393.65,399.85,35578681,399.32,0.0
2022-01-06,CRM,251.07,253.44,245.75,250.09,43287474,249.71,0.0
2022-01-06,ORCL,353.59,353.94,352.7,353.27,61044551,353.14,0.0
2022-01-07,AAPL,63.41,63.66,61.96,63.19,64743142,63.07,0.0
2022-01-07,MSFT,298.22,301.06,296.87,297.73,23877854,297.32,0.0
2022-01-07,GOOGL,335.74,341.69,328.07,333.45,45963945,332.96,0.0
2022-01-07,AMZN,146.13,148.7,143.5,145.75,71266702,145.51,0.0
2022-01-07,TSLA,388.31,392.37,385.64,388.99,58186601,388.41,0.0
2022-01-07,META,60.34,61.44,60.05,60.86,26113428,60.77,0.0
2022-01-07,NVDA,254.23,257.39,250.55,253.55,7426932,253.05,0.0
2022-01-07,JPM,316.14,320.54,313.29,319.04,79074141,318.4,0.0
