shipment_id,order_id,origin_city,origin_state,dest_city,dest_state,carrier,ship_date,delivery_date,delivery_days,weight_kg,length_cm,width_cm,height_cm,shipping_cost_usd,delivery_status,tracking_number,priority,insurance_value,damage_reported
SHP-50000,ORD-13719,Lowell,MA,Reading,PA,OnTrac,2022-09-28,2022-10-11,13,85.31,73.1,20.8,39.5,234.22,Delayed,1ZE5W9RUCWTRRJFNVH,Overnight,324.73,Yes
SHP-50001,ORD-22092,Worcester,MA,Tacoma,WA,DHL,2023-08-20,2023-08-25,5,104.69,105.6,47.7,39.1,187.49,Returned,1ZG4ZS9Y58XO5B8AZH,Express,4680.47,Yes
SHP-50002,ORD-42228,Toledo,OH,Madison,AZ,Old Dominion,2022-05-09,2022-05-10,1,108.54,180.8,72.1,35.2,252.73,In Transit,1ZKGFNDGQU8CU8TPD8,Economy,2681.07,Yes
SHP-50003,ORD-38971,Durham,NC,Greensboro,NC,XPO Logistics,2024-06-06,2024-06-11,5,33.06,61.9,50.9,9.3,43.13,Delivered,1ZX53NBYZFUEULSRCJ,Express,1173.17,No
SHP-50004,ORD-25488,Tacoma,WA,Albany,NY,OnTrac,2025-03-31,2025-04-06,6,76.55,25.5,41.8,65.9,57.4,Delivered,1Z6305RTMJFK621COQ,Express,3415.1,No
SHP-50005,ORD-50648,Austin,TX,Cambridge,MA,OnTrac,2025-02-13,2025-02-21,8,142.33,112.7,17.8,58.9,356.6,Returned,1ZPL0OL44TCO6PK27X,Standard,4529.22,No
SHP-50006,ORD-23453,Rockford,IL,Lowell,MA,OnTrac,2023-12-12,2023-12-13,1,140.19,175.9,66.1,14.1,368.84,Delivered,1ZMNURDQR527XSYEZM,Economy,608.88,No
SHP-50007,ORD-19760,Worcester,MA,NJ City,NJ,USPS,2024-01-19,2024-01-26,7,121.63,112.1,12.6,30.5,231.9,Delivered,1ZK6LXNMGNZFL0870B,Express,1452.89,No
SHP-50008,ORD-43575,Jacksonville,FL,New York,NY,UPS,2024-02-27,2024-03-04,6,70.67,120.6,69.9,56.8,156.41,Out for Delivery,1ZX5DTHHSQCCYA4WRO,Express,3731.15,No
SHP-50009,ORD-12622,Worcester,MA,Fort Worth,TX,DHL,2024-01-26,2024-02-08,13,39.57,70.5,62.6,24.2,89.82,Delayed,1ZM75WVLMBYGJGWW6Q,Standard,344.98,Yes
SHP-50010,ORD-54035,San Antonio,TX,Riverside,AZ,XPO Logistics,2023-08-23,2023-09-04,12,8.6,168.5,66.9,76.8,25.42,Returned,1ZI8BZF1X6BUUVFFGK,Overnight,4089.01,No
SHP-50011,ORD-23973,Cambridge,MA,Naperville,IL,USPS,2025-03-06,2025-03-08,2,10.24,71.2,57.9,8.2,26.56,Delivered,1ZD9F1UWR8CALHS5Z5,Economy,2030.83,No
SHP-50012,ORD-41421,Rockford,IL,Houston,TX,DHL,2025-10-20,2025-10-31,11,37.98,114.3,70.8,62.1,102.89,Delivered,1ZQXJKDWFCZO91XH16,Economy,1258.91,Yes
SHP-50013,ORD-50767,VA City,VA,Pittsburgh,PA,DHL,2023-12-08,2023-12-10,2,59.39,30.0,43.6,76.1,100.32,Delivered,1ZPG9ZVG92X0LB2JBG,Standard,164.3,No
SHP-50014,ORD-51517,Springfield,VA,Springfield,NJ,UPS,2025-10-29,2025-11-01,3,74.72,115.1,69.1,15.2,184.43,Returned,1ZJORWBTKSH274Y4D5,Standard,1581.52,No
SHP-50015,ORD-50982,Cambridge,MA,Springfield,VA,USPS,2024-07-09,2024-07-21,12,118.08,139.1,58.9,30.1,156.67,In Transit,1ZZP1UJMF2APEAXR6C,Standard,1801.53,No
SHP-50016,ORD-12705,San Antonio,TX,Athens,GA,FedEx,2024-08-15,2024-08-19,4,96.07,85.0,64.9,63.0,240.24,Delivered,1ZEOLAEKAYJ14VHO3G,Express,985.56,No
SHP-50017,ORD-53417,Los Angeles,CA,Reading,PA,UPS,2022-12-17,2022-12-21,4,108.83,12.5,47.3,39.1,325.17,Delayed,1ZVNFHMLE9YLALRUT9,Standard,2668.97,Yes
SHP-50018,ORD-25216,Fort Worth,TX,Philadelphia,PA,FedEx,2025-08-29,2025-09-08,10,55.09,76.0,98.5,15.9,66.27,In Transit,1ZQ03UEUIDOH3U917W,Standard,2664.0,No
SHP-50019,ORD-13047,Cleveland,OH,Springfield,MI,DHL,2024-09-19,2024-09-21,2,23.56,103.9,79.2,47.0,73.08,Out for Delivery,1ZSHI0OYC0N6VEV113,Express,3151.09,No
SHP-50020,ORD-12606,Macon,GA,Dallas,TX,Amazon Logistics,2022-09-25,2022-09-30,5,16.76,105.6,54.0,74.1,33.34,In Transit,1Z4OT1Z3GVBXH1099R,Overnight,1562.9,Yes
SHP-50021,ORD-44662,Fairview,NJ,San Antonio,TX,DHL,2023-09-22,2023-10-04,12,63.42,50.8,30.6,38.7,171.15,Delivered,1Z7LI9BKCJN1C08XO1,Standard,4718.04,Yes
SHP-50022,ORD-21947,Rochester,NY,Cleveland,OH,USPS,2024-01-21,2024-02-02,12,77.62,195.2,82.3,64.7,237.21,Delivered,1ZM5SMPME3YMK3TM0H,Economy,1085.33,No
SHP-50023,ORD-38003,Spokane,WA,Jacksonville,FL,Amazon Logistics,2023-12-20,2023-12-22,2,82.24,48.3,72.7,47.6,178.54,Delayed,1ZBAYKSQ1QKGNP2O8X,Overnight,3469.6,No
SHP-50024,ORD-16897,Seattle,WA,Cincinnati,OH,XPO Logistics,2024-02-21,2024-02-24,3,32.92,16.4,6.5,12.7,57.28,Delivered,1ZU46E8RK05PFP6EEU,Express,4389.85,No
SHP-50025,ORD-53390,Erie,PA,Fairview,MI,UPS,2022-11-21,2022-11-30,9,44.59,84.3,48.3,56.6,108.17,Delayed,1Z5GRWQQGFW241MFOP,Standard,4165.66,No
SHP-50026,ORD-22160,Chicago,IL,Toledo,OH,OnTrac,2022-09-19,2022-09-30,11,119.85,97.5,18.6,43.7,88.97,Delivered,1ZGL07HWX6NI5CCYBZ,Express,3562.18,No
