id,age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,housing,n_household_members,savings_usd,broadband_access,employment_status,commute_time_min,county_fips,rent_usd
1,27,Private,Preschool,Married,Transport-moving,Other-relative,White,Male,24465,0,35,United-States,<=50K,Rent,4,5164,Y,Student,50,12208,0
2,87,Private,1st-4th,S,,Not-in-family,White,Female,0,3007,19,United-States,<=50K,Mortgage,1,0,Yes,Self-employed,44,44650,3442
3,40,Private,5th-6th,Never-married,Tech-support,Not-in-family,White,Female,0,0,47,United-States,30135,Mortgage,6,3627,yes,Retired,51,27526,3837
4,54,Private,Bachelors,Single,,Unmarried,White,Male,0,0,28,United-States,22082,Rent,2,0,Yes,Self-employed,50,10002,1290
5,73,Private,1st-4th,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,0,55,United-States,50932,Rent,3,143,no,Self-employed,95,49630,0
6,71,State-gov,12th,Married,Sales,Unmarried,White,Male,0,0,26,United-States,86805,Own,7,0,N,Employed,110,37667,0
7,22,Private,Preschool,M,Farming-fishing,Husband,Black,Male,0,0,20,United-States,<=50K,Rent,6,0,no,Employed,31,10552,0
8,67,Private,10th,Married-civ-spouse,Priv-house-serv,Wife,White,Female,36860,0,23,United-States,<=50K,Mortgage,1,13867,Y,Employed,70,55554,926
9,42,Private,Bachelors,Never-married,Sales,Wife,Black,Male,0,0,64,United-States,<=50K,Mortgage,3,0,Y,Retired,76,56435,0
10,36,Private,5th-6th,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,3,United-States,>50K,Mortgage,4,27754,No,Employed,72,34769,0
11,79,Self-emp-not-inc,Masters,Divorced,Priv-house-serv,Wife,White,Female,0,0,44,United-States,39057,Mortgage,3,0,no,Employed,47,48803,0
12,60,Private,H.S.,Married,Prof-specialty,Husband,White,Female,0,0,6,United-States,13962,Rent,3,11639,Yes,Employed,35,33295,0
13,85,Private,10th,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0,0,39,United-States,<=50K,Rent,3,7094,yes,Student,109,31140,0
14,79,Private,Doctorate,M,Transport-moving,Own-child,White,Female,0,0,16,United-States,>50K,Own,2,119,Yes,Unemployed,54,24152,0
15,72,Private,5th-6th,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,27,United-States,21748,Mortgage,3,809,Y,Student,55,34823,1049
16,99,Private,Bachelors,Married,Armed-Forces,Husband,White,Female,0,0,57,United-States,<=50K,Own,2,1058,yes,Retired,78,06672,1961
