station_id,date,tmax,tmin_f,precip_in,wind_speed_kmh,humidity_pct,visibility_mi,snow_in,weather_event,station_city,data_source
STN0005,2020-12-27,19.2,-0.6,0.18,0.7,73.0,8.8,0.0,Rain,Dallas,WMO
STN0039,2020-03-02,66.6,50.8,0.05,15.9,63.9,8.7,0.0,Fog,Dallas,Regional
STN0033,2023-02-19,65.6,54.7,0.09,4.7,64.0,7.0,0.0,Clear,Chicago,WMO
STN0022,2023-06-01,20.6,50.7,0.02,5.7,44.3,15.0,0.0,Fog,Seattle,Estimated
STN0022,2023-11-11,111.3,93.8,0.16,11.1,61.4,6.1,0.0,None,Dallas,Estimated
STN0043,2024-10-01,92.3,79.2,0.11,10.2,54.8,12.4,0.0,Clear,Chicago,WMO
STN0005,2022-06-27,82.3,73.7,0.36,41.6,55.8,11.5,0.0,Clear,Phoenix,Estimated
STN0035,2024-02-23,43.8,35.7,0.15,16.9,52.3,10.8,0.0,Rain,Portland,Regional
STN0011,2023-07-31,53.7,34.1,0.01,8.0,61.5,8.6,0.0,Thunderstorm,Boston,WMO
STN0005,2021-05-21,17.2,50.4,0.19,6.2,46.4,4.6,0.0,Clear,Miami,WMO
STN0027,2024-03-23,47.9,38.0,0.17,4.3,62.2,5.6,0.0,Clear,Miami,Regional
STN0049,2020-04-07,76.0,60.7,0.12,0.3,55.4,6.7,0.0,Clear,Boston,Estimated
STN0037,2022-12-29,22.7,52.0,0.08,20.9,45.2,10.1,0.0,None,Denver,Regional
STN0039,2024-09-13,41.1,33.0,0.05,4.6,26.9,11.7,0.0,Clear,Dallas,Regional
STN0036,2023-04-18,91.3,82.5,0.05,13.6,79.1,9.9,0.0,None,Atlanta,NOAA
STN0040,2024-09-07,67.3,53.5,Trace,-10,75.4,9.8,0.0,Thunderstorm,Dallas,WMO
STN0026,2020-04-12,27.0,9.5,0.17,16.6,47.5,12.1,0.0,Rain,Dallas,Regional
STN0007,2022-08-30,17.7,49.2,0.1,5.5,74.3,2.7,0.2,None,Boston,NOAA
STN0042,2023-11-26,71.2,50.6,0.08,24.0,43.6,2.4,0.0,Clear,Chicago,WMO
STN0023,2023-03-18,86.4,77.8,0.07,7.2,56.5,4.4,0.0,Rain,Seattle,WMO
STN0026,2024-05-26,57.6,44.8,0.1,0.7,52.5,11.8,0.0,Clear,Phoenix,WMO
STN0019,2022-04-24,83.2,70.3,0.05,4.3,57.0,3.0,0.0,Snow,Minneapolis,Estimated
STN0010,2023-05-31,69.1,56.3,0.25,8.5,73.6,9.0,0.0,None,Portland,WMO
STN0047,2022-02-05,36.1,21.3,0.32,24.5,54.8,6.3,0.0,Fog,Atlanta,WMO
STN0040,2024-05-11,33.9,14.8,0.01,6.9,55.9,9.5,0.0,Thunderstorm,Minneapolis,WMO
STN0033,2020-08-06,89.7,77.2,0.34,0.6,75.4,8.6,0.0,Rain,Boston,Estimated
STN0021,2021-04-09,32.9,72.9,0.14,7.7,63.1,9.8,0.3,None,Minneapolis,WMO
STN0042,2020-06-25,22.3,62.0,0.22,9.3,51.3,7.8,0.0,None,Miami,NOAA
STN0028,2023-07-06,97.9,82.0,0.35,7.8,66.3,11.1,0.0,Fog,Portland,WMO
,2021-02-28,88.2,74.9,0.02,63.6,79.9,13.4,0.0,Fog,Denver,Estimated
STN0023,2021-08-02,80.0,64.5,T,5.9,81.0,12.8,0.0,Hail,Phoenix,Regional
,2024-03-07,45.0,35.5,0.07,17.0,38.2,7.9,0.0,Fog,Seattle,NOAA
