employee_id,q01_engagement,q02_engagement,q03_engagement,q04_engagement,q05_engagement,q06_engagement,q07_engagement,q08_engagement,q09_engagement,q10_engagement,q01_satisfaction,q02_satisfaction,q03_satisfaction,q04_satisfaction,q05_satisfaction,q06_satisfaction,q07_satisfaction,q08_satisfaction,q09_satisfaction,q10_satisfaction,q01_mgr_effectiveness,q02_mgr_effectiveness,q03_mgr_effectiveness,q04_mgr_effectiveness,q05_mgr_effectiveness,q01_additional,q02_additional,q03_additional,q04_additional,q05_additional,q06_additional,q07_additional,q08_additional,q09_additional,q10_additional,would_recommend,likely_to_stay,department,tenure_years,age_group,work_location,survey_date
EMP_00000,5,2,3,5,4,4,4,4,4,4,3,,3,3,7,6,3,3,3,6,9,4,9,7,1,4,5,5,3,3,4,3,4,2,4,yes,4,Legal,1.6,18-24,Hybrid,2024-02-14
EMP_00001,3,5,3,5,3,3,3,5,2,5,5,6,6,7,5,3,,4,,2,4,10,7,6,10,5,1,4,3,5,4,4,3,3,5,yes,3,Legal,1.8,55+,Remote,2024-01-06
EMP_00002,3,2,5,3,3,5,2,2,5,4,5,3,5,5,,,7,6,3,,3,1,7,10,7,5,4,5,5,2,1,4,3,4,3,Maybe,7,Sales,11.7,25-34,On-site,2024-02-17
EMP_00003,5,N/A,2,4,5,2,4,4,3,4,4,4,3,6,5,7,6,3,6,5,7,10,2,4,4,2,4,4,3,2,3,5,4,3,2,Maybe,2,Finance,2.9,35-44,Hybrid,2024-02-05
EMP_00004,4,4,3,3,4,5,2,2,2,2,5,4,6,,6,5,5,4,6,5,4,7,5,8,6,2,2,3,3,3,2,4,5,5,5,Yes,4,HR,0.1,18-24,On-site,2024-02-25
EMP_00005,3,4,5,2,3,3,4,3,4,4,,6,7,,5,3,5,7,5,7,1,7,7,7,8,5,4,4,3,2,5,2,3,3,3,0,3,Marketing,4.1,18-24,Remote,2024-01-15 10:00:00
EMP_00006,3,3,4,5,4,3,4,2,3,5,3,,2,,4,4,4,6,,6,7,10,6,6,3,5,5,3,5,5,5,4,5,4,4,Maybe,3,HR,5.7,18-24,Remote,2024-02-24
EMP_00007,3,5,5,4,3,1,4,NA,3,5,6,2,6,5,,3,6,1,5,4,7,7,9,7,9,1,5,4,3,2,3,3,4,4,3,Maybe,7,Engineering,5.3,25-34,Hybrid,2024-01-15 10:00:00
EMP_00008,1,3,4,2,5,5,5,2,3,3,4,5,4,4,6,3,7,4,,6,10,4,9,6,4,4,3,3,3,5,4,3,2,5,2,1,5,Finance,6.5,18-24,Hybrid,2024-01-14
EMP_00009,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,no,7,Legal,0.5,55+,Hybrid,2024-02-03
EMP_00010,NA,4,4,3,3,1,3,3,3,4,4,5,6,5,3,7,4,3,4,7,2,7,7,4,7,5,1,4,5,5,1,2,3,3,4,0,5,Engineering,8.5,35-44,On-site,2024-02-10
EMP_00011,3,1,4,4,4,2,?,5,3,5,3,5,3,4,,7,3,7,7,3,7,8,6,5,7,5,3,4,2,3,4,3,3,4,3,Yes,5,Marketing,16.2,25-34,Hybrid,2024-01-02
EMP_00012,4,5,4,2,5,3,4,4,3,3,,,4,4,7,1,2,6,5,5,1,4,10,6,4,5,2,2,3,3,2,3,2,1,3,yes,3,Product,2.6,35-44,On-site,2024-02-16
EMP_00013,5,5,5,4,6,5,5,3,5,2,6,7,5,4,5,3,3,6,4,6,6,6,10,2,8,3,5,5,4,4,2,4,4,4,3,no,2,Engineering,0.4,18-24,Remote,2024-01-15 10:00:00
EMP_00014,3,?,3,2,n/a,3,4,2,4,5,4,,,3,4,2,4,3,3,5,8,6,9,6,9,4,4,3,5,3,4,5,3,4,5,Yes,3,Product,1.3,35-44,Hybrid,2024-01-01
EMP_00015,3,5,1,4,5,5,5,7,4,4,5,6,7,3,5,,5,4,4,2,4,5,8,7,9,3,2,4,4,4,1,4,3,2,1,Yes,6,Operations,0.7,18-24,On-site,2024-02-08
EMP_00016,2,3,3,NA,4,3,4,3,5,3,5,6,2,3,1,5,6,5,4,3,4,5,5,6,7,4,2,4,3,4,2,5,3,3,1,Maybe,4,HR,0.0,35-44,Remote,2024-01-15 10:00:00
EMP_00017,4,0,2,5,4,5,4,n/a,?,2,3,4,5,4,4,5,3,5,,5,10,8,9,10,8,2,4,3,4,2,4,4,4,2,3,0,1,Engineering,1.8,45-54,On-site,2024-01-17
EMP_00018,3,3,2,2,4,5,3,5,3,2,4,3,7,4,3,6,4,4,,2,5,10,8,9,5,5,5,2,5,5,4,5,3,5,4,1,6,Marketing,1.7,18-24,Remote,2024-01-31
EMP_00019,3,3,5,?,4,4,3,5,N/A,4,3,4,3,4,2,7,3,6,4,2,9,8,8,8,7,2,3,3,4,3,5,4,2,3,5,1,5,Operations,1.5,18-24,Hybrid,2024-01-15 10:00:00
EMP_00020,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Maybe,6,Marketing,9.5,18-24,Remote,2024-01-15 10:00:00
EMP_00021,4,4,3,3,2,2,Don't know,5,5,2,7,6,6,6,3,4,3,,6,4,2,2,7,6,3,3,3,3,5,5,4,4,1,5,3,yes,7,Sales,0.6,18-24,Hybrid,2024-01-15 10:00:00
EMP_00022,3,5,3,0,3,3,5,5,3,4,,6,6,5,4,3,6,4,5,5,10,5,5,2,10,1,2,4,3,2,3,4,4,5,3,0,2,Finance,1.2,55+,Hybrid,2024-01-01
EMP_00023,5,Don't know,2,5,3,4,4,2,3,3,7,5,7,3,2,3,,,3,6,8,8,7,9,9,1,5,3,3,3,5,3,4,5,3,yes,7,Product,2.5,25-34,On-site,2024-01-15 10:00:00
EMP_00024,2,4,5,4,2,0,4,4,3,2,,4,1,7,3,2,7,6,,7,5,3,6,7,9,3,3,3,2,3,3,5,2,5,4,1,4,Marketing,0.7,45-54,Hybrid,2024-01-15 10:00:00
EMP_00025,3,4,5,3,4,3,4,4,5,3,2,4,6,7,7,,5,5,5,6,7,5,4,7,3,4,3,5,4,2,2,4,3,3,3,1,5,Sales,6.2,25-34,On-site,2024-01-14
EMP_00026,4,5,5,5,3,2,4,3,3,4,5,6,3,7,,4,4,6,2,6,2,7,5,8,8,4,3,4,4,3,1,5,5,3,5,1,6,Operations,2.1,18-24,Remote,2024-02-22
EMP_00027,4,2,1,3,3,4,3,2,5,4,4,3,4,7,5,5,,3,4,,4,5,4,5,6,3,2,3,4,3,1,2,4,4,2,Maybe,5,Finance,1.2,25-34,Hybrid,2024-02-21
EMP_00028,3,4,4,5,5,5,4,5,5,2,6,4,5,2,5,2,5,4,3,3,5,7,6,7,7,2,4,5,1,4,3,5,5,3,3,0,1,Product,5.9,18-24,Hybrid,2024-01-10
EMP_00029,5,4,3,3,3,3,3,3,5,3,4,5,3,3,7,6,4,5,5,6,4,9,8,6,8,4,3,4,2,5,5,5,3,4,3,Yes,1,Marketing,3.7,35-44,Hybrid,2024-01-15 10:00:00
EMP_00030,3,5,5,4,3,3,3,3,4,4,2,3,3,5,6,3,2,4,4,,6,2,7,2,4,3,5,2,3,5,4,3,1,2,3,Maybe,2,Operations,3.7,45-54,Hybrid,2024-01-15 10:00:00
EMP_00031,2,3,3,3,4,5,5,2,3,4,3,2,,6,4,7,5,5,4,2,5,3,10,10,6,2,4,3,4,3,4,2,2,4,3,Yes,2,Product,2.5,55+,Remote,2024-02-15
EMP_00032,2,5,4,2,4,Don't know,1,Don't know,2,4,1,6,7,7,4,3,4,4,4,7,5,5,7,9,8,4,5,3,3,4,4,3,5,3,3,Maybe,7,HR,20.2,18-24,Hybrid,2024-01-14
EMP_00033,4,5,5,2,3,4,2,4,5,2,3,6,4,5,6,6,7,3,4,6,6,3,3,4,4,3,1,3,4,2,3,2,3,2,3,no,7,HR,0.3,55+,Hybrid,2024-01-15 10:00:00
EMP_00034,4,3,2,3,5,5,3,4,4,2,3,6,,1,6,3,4,5,2,5,5,8,4,10,9,2,4,5,4,4,2,4,4,5,4,0,1,HR,5.9,55+,Remote,2024-02-24
EMP_00035,3,4,5,5,4,N/A,4,5,4,3,1,4,3,5,4,5,3,3,,3,7,1,6,10,7,4,1,3,3,1,4,3,4,4,3,no,2,Product,10.8,35-44,Remote,2024-01-15 10:00:00
EMP_00036,?,4,2,3,4,4,3,5,4,4,7,2,4,2,2,5,,3,3,2,6,4,7,1,7,4,3,5,4,4,1,5,4,5,4,0,5,Engineering,9.2,55+,On-site,2024-01-15 10:00:00
