building_id,timestamp,kwh_consumed,peak_demand_kw,outdoor_temp_f,occupancy_pct,floor_area_sqft,building_type,meter_id,data_quality_flag
bldg001,2023-01-01 00:00:00,160.099,168.36,37.4,0.04,34780,Hospital,MTR-3103,OK
bldg001,2023-01-01 02:00:00,166.918,178.55,85.4,0.3,7056,Hospital,MTR-4501,OK
bldg001,2023-01-01 03:00:00,196.109,243.05,31.8,0.15,8194,Office,MTR-9595,OK
bldg001,2023-01-01 04:00:00,231.048,248.11,92.2,0.0,24625,Warehouse,MTR-9243,OK
bldg001,2023-01-01 05:00:00,267.143,325.32,48.8,0.11,8048,Hotel,MTR-3762,OK
bldg001,2023-01-01 06:00:00,300.441,375.6,75.8,0.22,42957,Hospital,MTR-4326,OK
bldg001,2023-01-01 07:00:00,347.027,370.35,89.8,0.0,8201,School,MTR-3724,OK
bldg001,2023-01-01 08:00:00,358.498,426.08,107.0,0.23,44683,Retail,MTR-3556,OK
bldg001,2023-01-01 09:00:00,407.021,467.02,16.1,0.09,17237,School,MTR-1617,OK
bldg001,2023-01-01 10:00:00,419.16,439.98,103.6,0.07,23865,Hospital,MTR-9305,OK
bldg001,2023-01-01 11:00:00,428.358,560.47,34.1,0.06,30230,Office,MTR-4160,OK
bldg001,2023-01-01 12:00:00,479.41,587.49,74.3,0.2,16895,Office,MTR-4992,OK
bldg001,2023-01-01 13:00:00,475.288,582.05,83.6,0.0,28627,Office,MTR-1982,OK
bldg001,2023-01-01 14:00:00,397.954,463.69,65.7,0.09,38435,Warehouse,MTR-9826,OK
bldg001,2023-01-01 15:00:00,410.088,568.02,74.3,0.01,14513,Warehouse,MTR-4828,ESTIMATED
bldg001,2023-01-01 16:00:00,386.698,496.59,55.8,0.0,11639,Hospital,MTR-6546,OK
bldg001,2023-01-01 17:00:00,357.644,364.69,68.9,0.13,45337,School,MTR-2457,OK
bldg001,2023-01-01 18:00:00,322.828,347.75,43.6,0.28,3950,Retail,MTR-8843,ERROR
bldg001,2023-01-01 19:00:00,263.228,340.54,52.6,0.1,45545,Office,MTR-7890,OK
bldg001,2023-01-01 20:00:00,215.643,222.84,71.1,0.24,39487,Hotel,MTR-2842,OK
bldg001,2023-01-01 21:00:00,185.462,253.18,90.7,0.1,23434,Warehouse,MTR-6639,OK
bldg001,2023-01-01 22:00:00,169.853,225.62,71.2,0.28,48009,Hotel,MTR-8114,OK
bldg001,2023-01-01 23:00:00,168.121,225.34,30.4,0.03,10294,Warehouse,MTR-7795,OK
bldg001,2023-01-02 00:00:00,167.023,184.72,65.1,0.0,14357,Warehouse,MTR-4617,ESTIMATED
bldg001,2023-01-02 01:00:00,178.083,193.78,72.2,0.04,21178,Office,MTR-6380,OK
bldg001,2023-01-02 02:00:00,189.801,214.83,87.4,0.0,30421,Hospital,MTR-1726,ESTIMATED
bldg001,2023-01-02 03:00:00,238.245,298.81,66.4,0.0,49109,Warehouse,MTR-7439,OK
bldg001,2023-01-02 04:00:00,281.91,393.41,41.8,0.21,21084,Office,MTR-5497,OK
bldg001,2023-01-02 05:00:00,286.527,368.31,45.9,0.03,5121,Office,MTR-6478,OK
bldg001,2023-01-02 06:00:00,371.787,499.78,89.9,0.25,11129,Retail,MTR-3923,OK
bldg001,2023-01-02 07:00:00,395.698,409.04,55.5,0.0,31968,Hospital,MTR-1901,OK
bldg001,2023-01-02 08:00:00,423.974,439.56,45.7,0.38,23013,Office,MTR-7480,OK
bldg001,2023-01-02 09:00:00,502.984,559.48,80.6,0.97,27265,Office,MTR-8935,OK
bldg001,2023-01-02 10:00:00,494.171,495.39,37.5,0.32,33963,Hotel,MTR-5712,ESTIMATED
bldg001,2023-01-02 11:00:00,548.968,551.17,90.6,0.46,16652,Office,MTR-8036,OK
bldg001,2023-01-02 12:00:00,508.459,548.09,87.1,0.53,25774,Hotel,MTR-1002,OK
bldg001,2023-01-02 13:00:00,521.158,612.81,54.6,0.46,35204,Warehouse,MTR-6892,OK
bldg001,2023-01-02 14:00:00,497.509,615.99,65.3,0.51,44617,Office,MTR-9521,OK
bldg001,2023-01-02 15:00:00,515.151,538.46,65.1,0.61,4323,School,MTR-7060,OK
bldg001,2023-01-02 16:00:00,423.282,536.49,92.0,0.62,31911,Office,MTR-3076,ESTIMATED
bldg001,2023-01-02 17:00:00,376.169,468.56,99.7,0.91,31101,Hospital,MTR-1772,ESTIMATED
bldg001,2023-01-02 18:00:00,354.701,407.59,37.9,0.64,41696,Retail,MTR-5030,OK
bldg001,2023-01-02 19:00:00,300.238,351.72,52.8,0.0,5980,Warehouse,MTR-7991,OK
bldg001,2023-01-02 20:00:00,273.271,361.74,51.7,0.0,6882,Retail,MTR-6421,ESTIMATED
bldg001,2023-01-02 21:00:00,226.6,279.12,67.8,0.11,49921,Retail,MTR-1093,OK
bldg001,2023-01-02 22:00:00,187.054,203.27,54.2,0.08,18972,Retail,MTR-1665,OK
bldg001,2023-01-02 23:00:00,184.306,242.92,49.1,0.07,6689,Retail,MTR-2066,OK
bldg001,2023-01-03 00:00:00,171.464,189.48,64.6,0.37,20856,Office,MTR-2122,OK
bldg001,2023-01-03 01:00:00,168.873,174.31,28.4,0.24,34539,Office,MTR-3821,OK
bldg001,2023-01-03 02:00:00,211.699,271.58,45.8,0.0,19845,School,MTR-8345,OK
bldg001,2023-01-03 03:00:00,219.989,253.73,87.3,0.48,31282,Hotel,MTR-6779,OK
bldg001,2023-01-03 04:00:00,258.211,319.11,73.3,0.13,15271,Retail,MTR-4809,OK
bldg001,2023-01-03 05:00:00,328.778,420.47,72.2,0.16,31571,Retail,MTR-1233,ESTIMATED
bldg001,2023-01-03 06:00:00,380.407,490.81,80.8,0.03,4629,Hotel,MTR-1365,OK
bldg001,2023-01-03 07:00:00,381.6,529.07,48.2,0.28,40753,Warehouse,MTR-2706,OK
bldg001,2023-01-03 08:00:00,474.789,521.76,89.6,0.8,47164,Hotel,MTR-6978,OK
bldg001,2023-01-03 09:00:00,509.947,658.07,64.7,0.41,47304,Office,MTR-8464,ERROR
bldg001,2023-01-03 10:00:00,486.065,621.38,46.2,0.7,23893,School,MTR-5184,OK
bldg001,2023-01-03 11:00:00,486.339,504.06,68.1,0.61,46885,School,MTR-4357,OK
bldg001,2023-01-03 12:00:00,517.28,651.54,61.9,0.65,14200,Hotel,MTR-8908,OK
bldg001,2023-01-03 13:00:00,509.957,620.85,74.3,0.65,38310,Hotel,MTR-9722,OK
bldg001,2023-01-03 14:00:00,543.204,552.89,46.2,0.96,26338,Warehouse,MTR-9466,OK
bldg001,2023-01-03 15:00:00,494.869,673.84,57.8,0.33,42355,Retail,MTR-6958,OK
bldg001,2023-01-03 16:00:00,431.228,509.03,55.4,0.57,37200,Retail,MTR-9284,OK
bldg001,2023-01-03 17:00:00,376.361,520.49,68.5,0.79,21331,School,MTR-5215,OK
bldg001,2023-01-03 18:00:00,335.787,462.12,87.0,0.59,29100,Retail,MTR-7006,OK
bldg001,2023-01-03 19:00:00,284.868,329.69,64.8,0.0,9189,Retail,MTR-9032,OK
bldg001,2023-01-03 20:00:00,260.722,310.51,72.3,0.0,23140,School,MTR-9214,OK
bldg001,2023-01-03 21:00:00,236.606,299.69,18.1,0.17,49118,Hotel,MTR-9742,OK
bldg001,2023-01-03 22:00:00,203.082,233.34,108.2,0.28,23175,Hotel,MTR-4591,OK
bldg001,2023-01-03 23:00:00,196.565,206.38,81.8,0.09,34960,Hotel,MTR-2379,OK
bldg001,2023-01-04 00:00:00,163.575,164.0,31.1,0.19,2668,School,MTR-8143,OK
bldg001,2023-01-04 01:00:00,184.454,195.89,94.9,0.28,45831,Hotel,MTR-1324,OK
bldg001,2023-01-04 02:00:00,211.061,268.42,69.0,0.32,31475,School,MTR-4430,OK
bldg001,2023-01-04 03:00:00,234.828,320.47,64.7,0.03,5528,School,MTR-6904,OK
bldg001,2023-01-04 04:00:00,285.873,347.55,62.1,0.39,12968,Office,MTR-4402,OK
bldg001,2023-01-04 05:00:00,331.249,351.33,105.3,0.0,34846,Warehouse,MTR-9976,OK
bldg001,2023-01-04 06:00:00,343.798,355.58,28.6,0.09,21392,School,MTR-5299,OK
bldg001,2023-01-04 07:00:00,430.371,579.18,53.2,0.15,29587,Office,MTR-2961,OK
bldg001,2023-01-04 08:00:00,426.335,562.06,60.8,0.62,49483,Warehouse,MTR-1002,ESTIMATED
bldg001,2023-01-04 09:00:00,450.266,535.99,58.9,0.56,7067,Warehouse,MTR-3458,OK
bldg001,2023-01-04 10:00:00,549.058,706.84,50.6,0.62,49849,School,MTR-9017,OK
bldg001,2023-01-04 11:00:00,541.22,692.57,67.7,0.43,42111,Office,MTR-9981,OK
bldg001,2023-01-04 12:00:00,519.673,644.48,44.9,0.49,15104,School,MTR-7548,OK
bldg001,2023-01-04 13:00:00,507.031,687.65,53.7,0.63,15428,Hotel,MTR-3125,OK
bldg001,2023-01-04 14:00:00,533.251,674.08,69.1,0.85,12688,Hotel,MTR-2346,OK
bldg001,2023-01-04 15:00:00,485.422,635.32,35.6,0.46,8650,Hotel,MTR-1572,OK
bldg001,2023-01-04 16:00:00,422.694,431.06,84.8,0.85,32585,School,MTR-5579,ESTIMATED
bldg001,2023-01-04 17:00:00,401.873,433.16,48.5,0.26,20629,School,MTR-7682,OK
bldg001,2023-01-04 18:00:00,376.206,512.51,71.5,0.4,30680,School,MTR-9141,OK
bldg001,2023-01-04 19:00:00,324.034,429.55,59.8,0.0,26898,Hospital,MTR-3976,OK
bldg001,2023-01-04 20:00:00,265.965,366.31,42.4,0.11,24911,School,MTR-6269,OK
bldg001,2023-01-04 21:00:00,232.277,314.16,55.1,0.26,28396,Warehouse,MTR-9561,OK
bldg001,2023-01-04 22:00:00,217.072,230.44,52.5,0.0,43750,Warehouse,MTR-8811,OK
bldg001,2023-01-04 23:00:00,185.941,231.07,54.2,0.48,7303,Retail,MTR-9534,OK
bldg001,2023-01-05 00:00:00,177.634,190.07,79.1,0.12,22032,Hotel,MTR-8717,OK
bldg001,2023-01-05 01:00:00,195.527,232.11,55.1,0.32,46661,Hotel,MTR-1932,OK
bldg001,2023-01-05 02:00:00,197.02,198.57,46.3,0.22,7800,Hospital,MTR-8107,ESTIMATED
bldg001,2023-01-05 03:00:00,230.868,281.19,53.7,0.0,17879,Hotel,MTR-8587,OK
bldg001,2023-01-05 04:00:00,263.881,323.71,42.6,0.17,45736,Warehouse,MTR-7231,OK
bldg001,2023-01-05 05:00:00,312.442,422.78,33.8,0.06,27961,School,MTR-1187,OK
bldg001,2023-01-05 06:00:00,353.927,387.24,31.0,0.35,40411,Hospital,MTR-2034,OK
bldg001,2023-01-05 07:00:00,405.186,438.54,26.1,0.03,26579,Retail,MTR-2274,ESTIMATED
bldg001,2023-01-05 08:00:00,458.023,502.64,68.8,0.6,49605,School,MTR-3860,OK
bldg001,2023-01-05 09:00:00,444.421,545.43,62.4,0.63,7351,Retail,MTR-3497,OK
bldg001,2023-01-05 10:00:00,517.124,715.9,86.8,0.55,34173,Retail,MTR-3000,ERROR
bldg001,2023-01-05 11:00:00,511.371,584.79,84.6,0.52,16100,Hospital,MTR-2179,OK
bldg001,2023-01-05 12:00:00,565.496,756.05,53.2,0.66,4256,Retail,MTR-5490,ESTIMATED
bldg001,2023-01-05 13:00:00,511.301,575.04,88.8,0.46,5831,Hospital,MTR-8042,OK
bldg001,2023-01-05 14:00:00,495.208,525.68,61.9,0.42,9799,Hospital,MTR-5131,OK
bldg001,2023-01-05 15:00:00,477.777,502.06,91.7,0.73,36778,School,MTR-2440,OK
bldg001,2023-01-05 16:00:00,421.026,495.2,75.0,0.63,5705,Warehouse,MTR-7276,OK
bldg001,2023-01-05 17:00:00,405.543,419.59,60.6,0.34,39027,School,MTR-8633,OK
bldg001,2023-01-05 18:00:00,348.855,393.44,62.3,0.83,26944,Hotel,MTR-6331,ERROR
bldg001,2023-01-05 19:00:00,296.862,363.38,67.5,0.26,39623,Hotel,MTR-1495,ESTIMATED
bldg001,2023-01-05 20:00:00,266.402,358.5,31.0,0.18,44131,Hospital,MTR-8752,OK
bldg001,2023-01-05 21:00:00,234.606,281.0,68.1,0.1,24992,Office,MTR-6678,ESTIMATED
bldg001,2023-01-05 22:00:00,200.2,278.11,98.6,0.11,21557,Hospital,MTR-4479,OK
bldg001,2023-01-05 23:00:00,180.65,250.72,54.2,0.26,3100,Hospital,MTR-5761,OK
bldg001,2023-01-06 00:00:00,180.014,202.65,51.2,0.14,46951,Warehouse,MTR-7573,ERROR
bldg001,2023-01-06 01:00:00,196.15,250.79,87.4,0.02,49788,Office,MTR-3688,OK
bldg001,2023-01-06 02:00:00,200.837,226.38,60.8,0.02,22301,Hotel,MTR-5488,OK
bldg001,2023-01-06 03:00:00,237.338,287.19,61.3,0.0,22045,Hotel,MTR-7294,ESTIMATED
bldg001,2023-01-06 04:00:00,276.37,308.57,74.2,0.0,24559,School,MTR-9742,OK
bldg001,2023-01-06 05:00:00,289.795,345.97,100.2,0.11,13363,Warehouse,MTR-5225,OK
bldg001,2023-01-06 06:00:00,358.774,461.84,49.1,0.05,19703,Office,MTR-6928,OK
bldg001,2023-01-06 07:00:00,387.62,439.2,61.4,0.22,5359,School,MTR-5820,OK
bldg001,2023-01-06 08:00:00,467.32,487.88,79.1,0.3,3064,Hotel,MTR-4531,OK
bldg001,2023-01-06 09:00:00,468.087,479.56,65.4,0.45,12877,School,MTR-9787,OK
