Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
88627.2,-0.710663,-0.15447,0.296231,-0.929489,-0.699087,0.067322,0.165733,2.140528,0.500644,0.914987,-0.695933,0.6802,-0.660726,-0.147429,-1.743305,0.260831,1.258257,-1.080234,-0.743976,0.571679,-0.145698,-0.749858,0.816543,-0.039442,-0.93945,-1.578843,0.650872,-0.018159,161.38,0
102455.8,-1.347957,0.735039,0.345349,0.168154,-1.465225,-0.616932,0.24599,-0.335067,-0.585024,0.98472,-0.315247,-1.688273,0.214827,-1.164456,-0.4016,-0.192895,0.324545,0.170735,-0.284596,0.085313,1.163599,1.770963,-1.685583,0.41393,1.535441,-0.677239,0.502592,-0.230928,20.33,0
31172.4,0.295857,0.267268,0.295788,-0.613905,-0.052211,0.466863,-0.040544,1.370641,0.075425,-0.975336,-1.859183,-1.344729,-0.457594,-1.526752,-1.596425,1.042452,-0.264377,0.287852,0.128253,0.095756,1.646569,-0.823893,-1.616197,-0.245721,-1.960915,0.473276,-0.576311,0.162055,33.21,0
23257.5,-1.744129,0.1166,-0.124918,1.869625,0.193206,-0.744103,-0.699416,1.479585,1.068767,-0.242606,-0.338857,-0.102742,-0.596738,0.134886,-1.149996,1.205075,0.575878,1.120184,-0.895242,1.61287,0.501207,-1.049014,0.792272,0.778773,0.010375,1.333559,-1.059169,0.449556,1.31,0
150070.7,0.278104,-0.153173,1.888317,-0.015408,-0.906989,1.014518,-1.130166,0.082936,0.686413,-1.352465,0.239996,0.477881,0.228214,-0.681926,1.555676,0.73345,-1.209643,0.138034,0.912436,-0.060847,-0.596744,-0.035362,-0.416496,-0.902048,0.598486,1.417689,1.104348,-0.332148,23.49,0
29698.8,2.335488,-0.046928,0.9697,0.752392,0.256955,-0.682261,0.880476,0.281023,1.446426,1.072128,0.562671,0.478948,-0.069517,0.365751,-1.361528,-0.387488,-0.650323,-0.665718,-0.059489,0.154314,0.077083,1.19474,-0.55132,-1.126835,1.178902,-1.225826,1.031163,0.26599,409.76,0
81211.5,0.172634,-0.136255,0.717011,1.09277,-1.713273,-0.663495,-1.265204,-1.540107,0.084569,-0.32418,0.720452,-1.970392,-1.872226,-1.198857,0.717534,1.154115,-0.093109,0.078553,-0.502961,-0.195452,2.291043,0.144033,0.321396,-0.155072,-1.623868,-0.435535,-0.564538,-1.078294,11.74,0
73365.3,-1.270771,-0.159597,2.19626,1.330345,1.863894,-0.801047,1.882029,1.16557,0.316771,-1.097405,0.880676,0.15396,-0.607187,-0.405725,0.008536,0.072722,0.257542,1.259602,-1.311973,-0.248111,-0.301368,-1.089108,0.592497,1.770529,0.63739,0.409598,-0.735572,-0.497205,47.82,0
7175.7,-1.186852,-0.296781,-0.796783,0.367014,0.818864,-0.07857,0.973752,-0.837242,-0.840079,-1.096776,-1.395497,0.258841,2.718909,-0.181184,-0.427116,-0.301163,0.135204,0.526713,1.190873,-0.116922,0.229763,-0.274971,1.273844,-0.390936,-1.024923,-1.816337,-1.029634,-0.052952,146.38,0
99566.6,-1.520345,0.307276,-1.12319,-0.345711,-0.546137,-1.258691,-0.478998,-0.27758,2.0521,0.989529,-0.515319,0.517659,-0.141063,0.387254,-0.027273,1.607474,0.382111,0.455027,-0.559964,2.796005,-0.639821,0.224889,0.287624,-1.006056,-1.22332,-0.198529,0.631143,-0.627153,175.77,0
152283.8,-1.023144,0.140484,0.6027,-0.446885,0.42887,-0.548956,0.70096,1.724105,1.024363,0.80199,0.268127,0.223961,1.886071,-0.027838,0.961789,0.726679,0.739637,-1.503646,0.221013,-0.264986,-0.382653,-1.078221,0.544801,0.944138,-0.032479,1.256552,-0.381725,0.233885,7.31,0
