trip_id,pickup_datetime,dropoff_datetime,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance_mi,duration_min,fare_usd,driver_rating,payment_method,surge_multiplier,city
TRIP_0000000,2024-05-17,2024-05-17 00:06:00.000000000,40.88455,-73.952001,40.89637,-73.929589,0.95,6.0,6.262499999999999,4.9,credit_card,1.0,Queens
TRIP_0000001,2024-02-17,2024-02-17 00:25:54.000000000,40.889208,-73.902473,40.989855,-73.906145,3.05,25.9,16.9025,4.6,cash,1.0,Queens
TRIP_0000002,2024-06-27,2024-06-27 00:43:30.000000000,40.565517,-74.027953,40.533124,-74.033313,5.38,43.5,27.14,4.6,cash,2.0,Jersey City
TRIP_0000003,2024-02-20,2024-02-20 00:11:24.000000000,40.63578,-74.135015,40.55122,-74.235429,0.34,11.4,7.085,4.2,cash,1.25,Newark
TRIP_0000004,2024-03-10,2024-03-10 01:07:24.000000000,40.510121,-73.909663,40.629955,-73.902562,8.33,67.4,40.667500000000004,,credit_card,1.0,Jersey City
TRIP_0000005,2024-03-10,2024-03-10 00:08:30.000000000,40.510106,-73.889675,40.425258,-73.913086,0.93,8.5,7.1025,4.8,app_pay,1.75,Newark
TRIP_0000006,2024-05-07,2024-05-07 00:07:18.000000000,40.536629,-73.709852,40.505628,-73.746373,0.1,7.3,5.2299999999999995,4.3,cash,1.0,Brooklyn
TRIP_0000007,2024-03-18,2024-03-18 00:44:15.015907236,40.919364,-73.821168,41.01347,-73.802109,0,44.25026512059408,9.4125,4.6,credit_card,1.75,Brooklyn
TRIP_0000008,2024-03-17,2024-03-17 00:06:18.000000000,40.786582,-73.971059,40.766861,-74.021015,0.39,6.3,5.387499999999999,5.0,credit_card,1.0,Brooklyn
TRIP_0000009,2024-03-26,2024-03-26 00:15:00.000000000,40.863637,-73.756671,40.837544,-73.773032,3.1,15.0,13.175,5.0,credit_card,1.0,Newark
TRIP_0000010,2024-01-02,2024-01-02 00:28:30.000000000,40.611165,-73.783077,40.504443,-73.758348,4.01,28.5,19.4925,4.8,cash,1.0,Queens
TRIP_0000011,2024-04-27,2024-04-27 00:05:24.000000000,40.647726,-73.769346,40.674338,-73.780153,0.71,5.4,5.632499999999999,,cash,1.0,Queens
TRIP_0000012,2024-01-13,2024-01-13 00:21:24.000000000,40.663919,-74.193868,40.758482,-74.271738,1.65,21.4,12.877499999999998,4.5,venmo,1.25,New York
TRIP_0000013,2024-03-17,2024-03-17 00:29:12.000000000,40.676803,-74.163908,40.636431,-74.16615,3.27,29.2,18.4425,4.6,credit_card,1.0,Queens
TRIP_0000014,2024-05-03,2024-05-03 00:32:06.000000000,40.635051,-74.223588,40.611931,-74.20641,4.8,32.1,22.134999999999998,4.5,cash,1.0,New York
TRIP_0000015,2024-03-09,2024-03-09 00:08:00.000000000,40.562358,-73.816759,40.58982,-73.837972,0.4,8.0,6.0,4.9,cash,1.0,New York
TRIP_0000016,2024-04-25,2024-04-25 00:08:12.000000000,40.723685,-73.83789,40.785221,-73.790856,0.85,8.2,6.8575,,venmo,1.0,Newark
TRIP_0000017,2024-04-29,2024-04-29 00:05:24.000000000,40.766108,-74.213106,40.688324,-74.152381,0.13,5.4,4.6175,4.8,credit_card,1.5,New York
TRIP_0000018,2024-02-19,2024-02-19 00:09:42.000000000,40.654245,-74.037979,40.655529,-73.954635,0.1,9.7,6.069999999999999,5.0,credit_card,1.25,Queens
TRIP_0000019,2024-05-24,2024-05-24 00:07:00.000000000,40.567475,-73.876329,40.508417,-73.817719,0.95,7.0,6.612499999999999,4.4,credit_card,1.0,Queens
TRIP_0000020,2024-04-20,2024-04-20 00:09:36.000000000,40.737804,-73.984373,40.718491,-73.953341,0.69,9.6,7.0675,4.4,credit_card,1.25,Jersey City
TRIP_0000021,2024-06-11,2024-06-11 01:07:06.000000000,40.694685,-74.017528,40.695039,-74.109345,8.44,67.1,40.754999999999995,,credit_card,1.0,Brooklyn
TRIP_0000022,2024-04-07,2024-04-07 00:14:00.000000000,40.729328,-74.198226,40.742658,-74.136626,1.27,14.0,9.622499999999999,4.9,cash,1.5,Newark
TRIP_0000023,2024-06-04,2024-06-04 00:12:54.000000000,40.527946,-74.241229,40.439751,-74.346205,0.8,12.9,8.415,5.0,app_pay,1.0,Queens
