device_id,timestamp,sensor_type,temperature_c,humidity_pct,pressure_hpa,vibration_ms2,machine_status,battery_pct,firmware_version
dev_001,2024-01-01 00:16:31,vibration,28,78.5,1002.76,5.0454,warning,81.1,v1.2.1
dev_017,2024-01-01 00:35:04,pressure,17,48.6,1007.93,1.7377,normal,94.5,v2.0.0
dev_046,2024-01-01 00:37:57,pressure,27,70.3,1020.69,2.3034,normal,52.9,v1.2.1
dev_017,2024-01-01 01:07:54,pressure,16,25.3,1028.33,1.8667,normal,69.3,v1.2.1
dev_040,2024-01-01 01:15:50,combined,9,33.8,1010.32,0.9671,normal,78.4,v1.2.1
dev_046,2024-01-01 01:30:59,vibration,33,73.8,1022.73,1.8378,normal,69.3,v1.3.0
dev_048,2024-01-01 01:49:47,vibration,27,58.0,1018.98,1.253,normal,68.5,v1.2.1
dev_046,2024-01-01 01:53:22,pressure,29,54.2,1015.95,1.8541,normal,98.8,v1.2.1
dev_036,2024-01-01 01:58:16,vibration,32,39.0,1013.12,1.9058,normal,67.1,v1.3.0
dev_036,2024-01-01 01:58:53,vibration,23,30.6,1016.51,1.603,normal,85.4,v1.3.0
dev_047,2024-01-25 11:20:16,temperature,19,51.5,1006.64,2.1706,normal,67.7,v1.2.1
dev_041,2024-01-01 03:10:15,pressure,33,71.5,1026.86,1.4157,normal,100.0,v1.2.1
dev_050,2024-01-01 03:17:08,temperature,22,85.7,1025.71,0.7531,normal,90.1,v1.2.1
dev_028,2024-01-06 19:10:26,pressure,32,55.1,1003.84,2.6219,normal,63.0,v2.0.0
dev_024,2024-01-01 03:21:41,humidity,14,40.5,1016.2,2.7033,normal,100.0,v1.2.1
dev_044,2024-01-01 03:35:22,temperature,14,46.4,1010.3,2.9484,normal,100.0,v1.2.1
dev_003,2024-01-01 03:54:40,temperature,18,67.0,1013.44,1.7493,normal,60.2,v2.0.0
dev_044,2024-01-01 04:04:24,combined,25,35.5,1024.32,4.6643,normal,90.4,v1.3.0
dev_015,2024-01-01 04:14:06,humidity,30,63.4,1013.42,1.3871,normal,100.0,v1.3.0
dev_017,2024-01-01 04:27:18,combined,27,69.6,1010.05,6.9185,normal,40.0,v2.0.0
dev_031,2024-01-01 04:29:27,humidity,20,60.6,1031.13,1.7246,warning,65.7,v1.2.1
dev_029,2024-01-01 04:39:15,temperature,12,59.4,1009.69,0.7993,warning,84.9,v2.0.0
dev_035,2024-01-01 04:46:36,vibration,13,77.8,1023.25,2.0913,warning,78.4,v1.2.1
dev_016,2024-01-01 04:47:24,combined,40,66.6,1040.27,4.6954,normal,100.0,v2.0.0
dev_010,2024-01-01 05:00:11,vibration,31,63.4,1014.41,2.1103,normal,59.6,v1.3.0
