campaign_id,campaign_name,channel,objective,start_date,end_date,budget_usd,actual_spend_usd,impressions,clicks,conversions,ctr,revenue_generated,roi_pct,target_audience
CMP-5380,Campaign_380,,TRAFFIC,06/09/2023,01-Jul-2023,,,805663,17276,1239,2.14%,433022.59,1414.07,"18-24,25-34"
CMP-5855,Campaign_855,TIKTOK,ENGAGEMENT,02/08/2021,04/02/2021,$15969,$15969,3538968,245133,9220,0.0693,2225653.67,13837.62,All
CMP-5355,Campaign_355,LI,Brand Awareness,2021-11-09,12/14/2021,"$43,063.87","$43,063.87",3093832,109622,21534,3.54%,1800455.88,4080.9,
CMP-5357,Campaign_357,TikTok,Traffic,20-Oct-2022,28-Oct-2022,"$43,740.09","$43,740.09",4168582,331844,27252,,9466105.81,21541.72,18-24
CMP-5362,,linkedin,Engagement,14-Nov-2022,21-Jan-2023,"35,666.52","35,666.52",1958323,181310,32284,0.0926,7507994.17,20950.54,45-54
CMP-5486,Campaign_486,linkedin,AWARENESS,2022-06-30,09/27/2022,$2699,$2699,3818410,388116,61814,0.1016,14412722.49,533864.73,
CMP-5677,Campaign_677,LI,TRAFFIC,2021-08-01,10/14/2021,$2125,$2125,0,0,0,,0.0,-100.0,ALL
CMP-5595,Campaign_595,LI,,11/02/2022,2023-01-12,"$30,486.30","$30,486.30",2211136,253512,45586,0.1147,4411340.94,14369.91,45-54
CMP-5551,Campaign_551,LinkedIn,awareness,2021-08-23,23-Oct-2021,,,1796423,126655,12172,,3775395.45,10449.54,55+
CMP-5030,Campaign_30,LinkedIn,,2021-01-29,03/16/2021,"7,187.57","7,187.57",25848,1031,13,,3887.88,-45.91,ALL
CMP-5590,Campaign_590,FB,Conversions,08/01/2021,09/20/2021,"$48,408.97","$48,408.97",3407581,159447,24912,4.68%,7698757.68,15803.58,35-44
CMP-5521,Campaign_521,meta,conversions,2022-07-07,11-Aug-2022,"$2,196.56","$2,196.56",743337,59326,13461,7.98%,3816875.59,173666.05,"18-24,25-34"
CMP-5215,,instagram,conversions,2022-09-11,2022-10-27,$8294,$8294,4214041,464472,14736,11.02%,1462704.83,17535.1,
CMP-5063,Campaign_63,Instagram,engagement,04/13/2023,2023-06-12,$10697,$10697,475042,45591,7795,0.096,1279239.97,11858.84,"18-24,25-34"
CMP-5316,Campaign_316,organic,TRAFFIC,30-Jul-2021,05/23/2021,$35271,$35271,1093959,40019,1325,3.66%,141710.72,301.78,ALL
CMP-5039,Campaign_39,ig,Brand Awareness,27-Dec-2022,03/17/2023,"1,052.50","1,052.50",0,0,0,,0.0,-100.0,all
CMP-5235,Campaign_235,Email Marketing,CONVERSIONS,2023-03-14,2023-05-28,"19,892.85","19,892.85",4807639,468689,73946,9.75%,21283113.52,106888.76,55+
CMP-5863,Campaign_863,TIKTOK,Traffic,28-Jan-2022,03/09/2022,"$43,671.34","$43,671.34",4633114,528746,35968,,8607840.42,19610.5,All
CMP-5424,Campaign_424,ig,CONVERSIONS,22-May-2022,06/21/2022,"28,163.44","28,163.44",4517131,374298,69623,,3270446.52,11512.38,55+
CMP-5072,Campaign_72,facebook,AWARENESS,2023-02-27,28-Apr-2023,24732.56,24732.56,1163958,97411,1893,0.0837,83963.18,239.48,45-54
CMP-5356,Campaign_356,Google,awareness,2022-05-11,2022-02-25,43387.11,43387.11,3098638,234953,26632,7.58%,,20661.98,45-54
CMP-5168,Campaign_168,e-mail,,03/25/2021,13-Apr-2021,47696.35,47696.35,0,0,0,,0.0,-100.0,18-24
CMP-5830,Campaign_830,LinkedIn,conversions,04/06/2023,04/28/2023,"$36,063.17","$36,063.17",1117963,31219,5090,2.79%,819876.58,2173.45,35-44
CMP-5621,Campaign_621,Meta,awareness,29-Aug-2021,2021-10-03,$38721,$38721,258149,13623,1931,5.28%,94872.0,-334.81187499919565,"18-24,25-34"
CMP-5070,Campaign_70,meta,traffic,18-Oct-2021,2021-11-04,$530.96,$530.96,2883479,325307,65362,0.1128,16391204.52,3086988.39,"18-24,25-34"
CMP-5067,Campaign_67,IG,CONVERSIONS,24-Jul-2022,2022-09-23,"28,271.33","28,271.33",1430299,32992,3414,,1092489.72,3764.3,all
CMP-5306,Campaign_306,GOOGLE,traffic,11-Dec-2022,03-Feb-2023,"$4,186.94","$4,186.94",1522652,-87761,13768,,1241167.96,29543.8,ALL
CMP-5829,Campaign_829,google,ENGAGEMENT,02/02/2023,04/09/2023,"$44,768.45","$44,768.45",4569638,399190,26456,8.74%,8130900.01,18062.12,all
CMP-5720,Campaign_720,Google Ads,awareness,02/28/2021,21-Feb-2021,49534.94,49534.94,4157531,256005,35189,6.16%,6575286.83,13174.04,35-44
CMP-5638,Campaign_638,Organic,CONVERSIONS,01/18/2022,16-Feb-2022,"$21,540.22","$21,540.22",1606525,38204,4144,2.38%,897293.98,4065.67,"18-24,25-34"
CMP-5321,,Email,Awareness,2021-08-23,10/03/2021,,,3914823,-348536,58196,,12553710.46,52928.33,"18-24,25-34"
CMP-5786,Campaign_786,google,traffic,2022-06-10,08/06/2022,"$45,974.50","$45,974.50",3451079,54267,6915,0.0157,1690347.02,3576.71,25-34
CMP-5548,Campaign_548,Instagram,TRAFFIC,29-Nov-2021,2022-01-27,"$49,684.69","$49,684.69",3786116,215160,31824,,10565945.31,21166.0,55+
CMP-5342,Campaign_342,google,Awareness,20-Dec-2021,13-Mar-2022,"$36,996.85","$36,996.85",4584711,51688,1116,,91176.71,146.44,18-24
CMP-5275,Campaign_275,organic,CONVERSIONS,08-May-2022,2022-08-02,,,4642631,415357,100031,0.0895,30643921.58,-163.41392001287903,"18-24,25-34"
CMP-5501,Campaign_501,TIKTOK,CONVERSIONS,11-Sep-2022,2022-10-30,$15467,$15467,3885712,117155,17432,0.0302,4671446.31,30102.0,55+
CMP-5294,Campaign_294,Email Marketing,Brand Awareness,21-Mar-2023,19-May-2023,$8118,$8118,431959,47269,629,0.1094,187049.56,2204.05,25-34
CMP-5499,Campaign_499,SEO,,2021-04-27,2021-07-01,"$28,455.17","$28,455.17",1204734,86599,13332,0.0719,,1910.04,
CMP-5630,Campaign_630,Google Ads,Engagement,01/05/2023,2023-02-26,"38,584.40","38,584.40",3788053,342755,74948,9.05%,15342318.41,39663.01,all
CMP-5023,Campaign_23,LinkedIn,engagement,01-Feb-2023,03/26/2023,$21598,$21598,1463661,172361,20062,11.78%,6872110.06,31718.12,ALL
