listing_id,address,city,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,garage,sale_price,list_price,days_on_market,hoa_monthly,school_rating,pool,sale_date
LST-81556,9760 Maple Ln,San Jose,45115,Multi-Family,6.0,2.5,4926,1.718 acres,1991,TRUE,$517.0k,"$535,568",206,455.09,3.0,Y,2020-05-24
LST-81157,1336 Pine St,AUSTIN,43971,Condominium,5.0,5.0,"4,525 sq ft",,2015,,$578K,"$610,837",118,,,N,2021-03-31
LST-80352,1539 Cedar Ln,Austin,69205,Single Family,1.0,1.0,1037,"63,771 sq ft",1941,,979000,"$1,024,954",9,,3.0,1,12/11/2020
LST-81018,5489 Oak Rd,austin,35081,Town House,2.0,3.0,4239 sqft,1.278,1941,False,806000,,254,,6.0,Y,10/25/2021
LST-81393,2890 Main Dr,San Jose,70091,condo,6.0,2.0,"1,437 sq ft","80,281 sq ft",1973,N,,"$481,634",30,279.29,,,07/07/2020
LST-81391,2897 Pine Rd,austin,19787,townhouse,3.0,3.0,"1,939 sq ft","31,319 sq ft",1958,,$619K,"$651,727",184,631.18,5.0,No,2022-03-08
LST-80239,803 Elm Ave,Charlotte,7126,townhouse,6.0,2.0,2536,"14,984 sq ft",2023,,$520.0k,"$547,339",104,574.17,3.0,Yes,2020-11-25
LST-80810,6408 Maple Rd,Austin,94940,Town House,3.0,3.5,4000 sqft,"49,222 sq ft",1964,,"$1,250,000","$1,369,293",43,273.03,9.0,0,2023-04-18
LST-80620,5566 Oak Blvd,"Nashville, TN",81643,townhouse,1.0,2.0,,,1996,No,"$765,000","$731,683",84,,10.0,Y,12/21/2021
LST-80720,9291 Maple Ln,Raleigh,60814,townhouse,5.0,1.0,,2.348,1950,3,"$1,207,000",,188,312.45,7.0,,2020-04-04
LST-81785,3449 Main Ave.,San José,22075,Multi Family,2.0,2.5,690 SF,,1999,,"$788,000","$850,700",252,181.84,3.0,Yes,03/18/2022
LST-80998,8796 Elm Dr,Charlotte,55950,Single Family,4.0,2.0,4098 sqft,1.788,2019,FALSE,$961K,"$1,017,859",221,,4.0,No,2022-01-26
LST-80303,7820 Pine Ln,san jose,74400,townhouse,6.0,3.0,2663 sqft,"91,955 sq ft",1997,,"$671,000","$671,080",209,,1.0,1,12/31/2022
LST-81205,8557 Cedar St.,Phoenix AZ,14095,Single-Family,5.0,1.0,3148 sqft,"71,569 sq ft",1979,0,"$262,000","$283,504",126,540.77,9.0,Y,11/05/2022
LST-80479,8613 Elm St,San Jose,60189,Town House,4.0,5.0,2566,"107,549 sq ft",1940,,"$885,000","$936,207",63,604.38,5.0,,2021-03-25
LST-80650,4581 Cedar Rd,Nashville,11867,,5.0,2.0,"2,916 sq ft",,1993,0,521000,"$567,070",40,556.73,1.0,1,09/30/2020
LST-80736,9213 Cedar Blvd,Denver,69196,Single Family,3.0,4.0,"2,853 sq ft",,1974,,"$1,069,000","$1,082,015",219,204.46,,N,04/28/2020
LST-80926,9947 Main Ave,AUSTIN,41751,Single Family,2.0,4.0,"1,443 sq ft",0.965 acres,1956,True,$1057K,"$1,178,474",184,242.33,8.0,Yes,08/23/2022
LST-81355,805 Main Ln,raleigh,54374,multifamily,5.0,4.5,,,1995,N,,"$852,905",230,534.17,1.0,0,2020-04-26
LST-80055,3978 Main St.,SAN JOSE,8917,Single-Family,4.0,4.0,2633,0.296 acres,1949,No,"$989,000","$1,054,875",229,188.88,7.0,1,07/26/2021
LST-81034,7607 Pine Ave.,phoenix,39930,Townhouse,2.0,4.5,868 sq ft,1.868 acres,2045,No,$715.0k,"$742,103",72,167.29,3.0,0,
LST-80721,9096 Pine Blvd,"Nashville, TN",75923,townhouse,4.0,3.5,"1,115 sq ft","75,925 sq ft",1962,False,"$358,000","$355,347",189,605.76,9.0,Y,2020-04-28
LST-80486,9917 Oak St.,phoenix,54338,multifamily,6.0,3.0,2236 sqft,0.868,2005,1,$1118K,"$1,248,033",282,344.17,6.0,0,2023-09-20
LST-80984,7029 Oak Ave.,San José,80992,Multi Family,1.0,4.0,967 sq ft,"74,269 sq ft",1953,yes,,"$1,231,007",23,624.09,4.0,N,05/16/2023
LST-80693,7391 Elm St.,San José,81077,TOWNHOUSE,4.0,1.5,4586 SF,2.284 acres,1986,N,$895K,"$890,403",223,538.72,5.0,0,
LST-81239,174 Main Ave,San Jose,41131,,1.0,3.5,,1.168,2018,No,190000,"$182,415",192,584.81,1.0,1,2021-06-04
LST-81079,1576 Pine St,phoenix,54033,Single Family,6.0,2.0,2632,"77,798 sq ft",1996,True,$620K,"$633,450",289,,2.0,Yes,2021-12-11
LST-80756,9240 Main Blvd,phoenix,16859,SFH,6.0,2.0,"4,296 sq ft",,1954,no,"$208,000","$220,223",297,84.08,9.0,No,2021-08-30
LST-80643,4004 Oak Dr,Phoenix,69814,Condominium,3.0,5.0,,1.004,1972,,$604.0k,"$588,981",103,13.18,5.0,No,04/13/2023
