account_id,company_name,industry,plan,signup_date,churn_date,churned,mrr_usd,seats,monthly_active_users,usage_events,support_tickets_90d,nps_score,account_age_days,contract_type,region
ACC-10937,Company_937,retail,freemium,12/03/2021,2022-05-19,1,1859.85,250,185.0,,4.0,4.0,1177,Yearly,APAC
ACC-11097,,fintech,Free,2023-03-23,,0,$5.06K,90,62.0,,21.0,2.0,436,MONTHLY,Latin America
ACC-10813,Company_813,retail,Pro,12/08/2022,,0,,161,162.0,,17.0,0.0,659,month-to-month,Europe
ACC-10607,Company_607,Software,free,2020-01-10,2021-04-27,1,107.81,28,29.0,,1.0,8.0,1604,month-to-month,EU
ACC-11304,Company_1304,Education,Prof,03/13/2022,,0,$52,385,130.0,"1,381 events",8.0,9.0,811,monthly,US
ACC-11074,Company_1074,Tech,free,27/07/2021,,0,$29,240,149.0,9.9K,24.0,1.0,1040,2-Year,EMEA
ACC-10839,Company_839,EdTech,free,12/23/2020,,0,$194.7,392,341.0,43271,5.0,0.0,1256,Annual,NA
ACC-10809,,TECH,Starter Plan,2020-02-24,,0,,448,278.0,30094,14.0,3.0,1559,annual,US
ACC-11237,Company_1237,fintech,STARTER,25/04/2020,,0,$192,302,216.0,4409,7.0,9.0,1498,Monthly,APAC
ACC-10271,Company_271,Technology,Free Trial,2022-01-07,2026-06-01,1,5466.44,77,54.0,,5.0,8.0,-40,multi-year,Europe
ACC-10464,Company_464,edtech,enterprise,2021-02-06,,0,$1033,302,107.0,"47,304 events",6.0,,1211,multi-year,EU
ACC-11582,Company_1582,edtech,ENT,25/06/2022,,0,28.04,99,108.0,35.1K,8.0,,707,annual,Americas
ACC-11457,Company_1457,Software,STARTER,2022-04-22,,0,$531.02,488,398.0,2986,24.0,2.0,771,Monthly,US
ACC-11027,Company_1027,Health,FREE,2023-03-16,,0,184.76,464,490.0,"39,478 events",0.4202843901154805,,443,multi-year,EU
ACC-10730,Company_730,education,Free Trial,2021-06-21,,0,$30,263,186.0,,0.8504142082999022,0.0,1076,multi-year,NA
ACC-10462,Company_462,Retail,Ent,2022-11-09,,0,194.46,452,262.0,"41,579 events",19.0,5.0,570,Yearly,latam
ACC-10483,Company_483,Education,STARTER,2020-07-05,,0,$47,26,13.0,,0.46406672721249825,3.0,1427,2-Year,APAC
ACC-10522,Company_522,,Pro,25/01/2023,2023-09-23,1,$44.88,69,74.0,28675,10.0,7.0,493,annual,NA
ACC-11428,Company_1428,education,freemium,08/08/2020,,0,,343,191.0,28.4K,14.0,3.0,1393,month-to-month,latam
ACC-10590,Company_590,finance,Professional,2022-07-13,,0,"$1,067.87",454,274.0,"9,919 events",2.0,10.0,689,Yearly,EU
ACC-10548,Company_548,healthcare,start,2020-09-05,,0,,30,27.0,49705,7.0,7.0,1365,Annual,North America
ACC-10678,Company_678,education,Ent,2020-09-26,,0,1982.66,422,424.0,"29,458 events",6.0,10.0,1344,yearly,EMEA
ACC-11096,Company_1096,education,,2021-04-02,2022-05-15,1,$539,9,5.0,"6,909 events",24.0,4.0,1156,monthly,
ACC-10631,Company_631,EdTech,enterprise,2022-12-23,2023-08-28,1,$50.90,174,182.0,,2.0,2.0,526,2-Year,apac
ACC-10611,Company_611,Software,starter,2021-05-24,,0,$191,143,54.0,26878,4.0,8.0,1104,ANNUAL,US
ACC-10944,Company_944,education,starter,03/23/2020,2021-05-27,1,4846.94,299,269.0,,12.0,2.0,1531,Multi-Year,LATAM
ACC-10485,Company_485,E-Commerce,STARTER,21/11/2020,,0,$28,399,430.0,,2.0,3.0,1288,,apac
ACC-10416,Company_416,E-Commerce,Ent,2020-07-03,,0,$1.05K,495,327.0,26808,2.0,6.0,1429,Annual,latam
ACC-10745,Company_745,SaaS,start,03/08/2022,2022-09-22,1,$195.13,101,,"5,146 events",11.0,1.0,668,monthly,latam
ACC-10070,,Healthcare,freemium,18/04/2021,,0,,293,261.0,950,23.0,-5.0,1140,multi-year,North America
ACC-11007,Company_1007,EdTech,starter,12/01/2021,,TRUE,$52,281,268.0,0.6K,20.0,6.0,913,ANNUAL,
ACC-10203,Company_203,fintech,ENTERPRISE,20/07/2020,2021-10-19,1,$194.70,391,308.0,7.2K,17.0,7.0,1412,Monthly,LATAM
ACC-11023,Company_1023,tech,ENTERPRISE,10/12/2022,2024-07-12,1,,390,361.0,"21,230 events",1.0,9.0,598,Annual,Latin America
ACC-10361,Company_361,Health,Starter,16/08/2020,2022-05-05,1,$96.67,304,232.0,"45,023 events",3.0,4.0,1385,MONTHLY,Americas
ACC-11447,Company_1447,fintech,Free,2022-12-20,,0,4741.26,448,402.0,"6,576 events",3.0,2.0,529,MONTHLY,APAC
ACC-11160,Company_1160,tech,Pro,03/10/2023,,0,,137,81.0,"14,702 events",8.0,,449,yearly,
ACC-10997,Company_997,Retail,Ent,2021-04-18,,0,$90.52,234,231.0,"11,343 events",22.0,9.0,1140,multi-year,
ACC-10275,Company_275,Healthcare,free,27/11/2022,,0,$212.07,370,230.0,"20,253 events",11.0,,552,Annual,NA
ACC-10029,Company_29,SaaS,Ent,07/02/2021,2022-03-19,1,$200,121,131.0,32222,2.0,3.0,1210,ANNUAL,Latin America
ACC-11268,Company_1268,,starter,08/01/2023,2023-12-03,1,$980,285,97.0,"47,592 events",14.0,3.0,510,,US
ACC-10289,Company_289,Retail,ENTERPRISE,2021-11-28,,0,$103.0,94,89.0,"45,515 events",20.0,0.0,916,yearly,Europe
ACC-11441,Company_1441,education,FREE,07/15/2022,,0,$106.30,341,275.0,24.1K,15.0,4.0,687,monthly,EMEA
ACC-10570,Company_570,healthcare,professional,2020-03-26,,0,$49.22,394,270.0,"27,836 events",6.0,10.0,1528,multi-year,
ACC-10030,Company_30,Health,Free Trial,10/02/2023,,0,,267,111.0,39.5K,8.0,,477,ANNUAL,emea
ACC-10339,Company_339,saas,enterprise,27/09/2020,2022-08-29,1,,447,451.0,10904,1.0,0.0,1343,,Latin America
ACC-11461,Company_1461,edtech,start,27/09/2022,2023-07-14,1,,167,72.0,34637,24.0,4.0,-106,multi-year,US
ACC-10529,Company_529,education,Ent,2021-03-26,,0,,156,137.0,,23.0,8.0,1163,annual,EMEA
ACC-10493,Company_493,E-Commerce,ENT,22/01/2020,,0,,278,,5.5K,8.0,1.0,1592,multi-year,NA
ACC-10251,,TECH,Starter Plan,06/18/2021,,0,$1046,303,94.0,"48,062 events",11.0,7.0,1079,annual,Americas
ACC-10342,Company_342,Education,Pro,09/02/2022,,0,,258,239.0,6.9K,17.0,6.0,638,monthly,emea
ACC-10300,Company_300,healthcare,free,01/14/2023,,0,$28.99,267,112.0,,2.0,,504,month-to-month,Latin America
ACC-11246,Company_1246,Technology,,16/12/2022,,0,$29.85,139,91.0,"23,349 events",0.8891719153893478,100.0,533,Multi-Year,NA
ACC-10551,Company_551,Technology,Professional,01/31/2021,,0,$191.08,343,364.0,,4.0,3.0,1217,Yearly,US
ACC-10930,,healthcare,starter,06/10/2020,,0,905.52,307,331.0,"33,105 events",0.0,8.0,1334,2-Year,Americas
ACC-10847,Company_847,saas,Ent,12/02/2021,,0,1871.13,474,350.0,37.5K,17.0,4.0,1205,,Americas
ACC-10478,Company_478,FinTech,FREE,2020-01-05,,0,,84,32.0,29.2K,2.0,8.0,1609,annual,Latin America
ACC-10351,Company_351,edtech,STARTER,17/02/2022,,Yes,44.31,444,417.0,4.4K,4.0,2.0,835,yearly,Latin America
ACC-10433,Company_433,healthcare,Enterprise,14/07/2021,,0,,136,145.0,,14.0,9.0,1053,Multi-Year,Americas
ACC-10065,Company_65,Software,Free,2020-07-21,2022-07-03,1,$5216,243,143.0,"7,958 events",7.0,0.0,1411,2-Year,emea
ACC-10598,Company_598,Technology,,2022-09-25,,0,,152,103.0,"30,609 events",13.0,1.0,615,month-to-month,North America
ACC-11355,Company_1355,education,professional,07/20/2021,,0,,35,,40561,9.0,0.0,1047,yearly,EMEA
ACC-10185,Company_185,E-Commerce,STARTER,28/04/2020,2020-12-24,1,$195.32,168,50.0,"40,126 events",2.0,10.0,1495,annual,Asia Pacific
ACC-10982,Company_982,edtech,pro,19/03/2023,2024-01-09,1,$5364,171,124.0,11.8K,7.0,7.0,440,MONTHLY,apac
ACC-10023,Company_23,Tech,ENTERPRISE,2023-01-30,,0,,443,,2.8K,6.0,7.0,488,2-Year,EMEA
ACC-10244,Company_244,Tech,starter,12/22/2020,,churned,,260,108.0,"33,361 events",0.4125389539226192,0.0,1257,MONTHLY,Asia Pacific
ACC-10032,Company_32,TECH,FREE,10/28/2022,2023-03-31,1,$31.39,329,337.0,40.4K,2.0,7.0,582,yearly,NA
ACC-11301,Company_1301,Technology,Starter,10/01/2021,2021-12-02,1,$1862,206,123.0,31.5K,0.8886873801708227,6.0,1238,Monthly,apac
ACC-10173,Company_173,Tech,free,2021-05-13,,0,$44,440,210.0,,6.0,9.0,1115,month-to-month,
ACC-10432,Company_432,Technology,start,17/08/2021,,0,$188.86,117,114.0,13.3K,14.0,-5.0,1019,Multi-Year,Europe
ACC-11393,Company_1393,retail,Enterprise,28/09/2020,2021-11-19,1,$48.47,64,33.0,27061,21.0,1.0,1342,Yearly,US
ACC-11156,Company_1156,EdTech,ENTERPRISE,24/03/2022,,No,$31.72,350,364.0,"6,692 events",16.0,,800,month-to-month,emea
ACC-11174,Company_1174,Technology,pro,17/09/2020,,0,$53,209,94.0,4.5K,6.0,7.0,1353,yearly,latam
ACC-11486,Company_1486,Healthcare,professional,2021-04-01,,0,,67,36.0,"36,621 events",21.0,1.0,1157,multi-year,Europe
ACC-10910,Company_910,retail,PRO,2022-06-02,,0,$911.33,117,42.0,6.1K,5.0,10.0,730,,Europe
ACC-10303,Company_303,,freemium,11/17/2022,,0,"$1,867.50",495,389.0,"45,145 events",3.0,,562,monthly,emea
ACC-11161,Company_1161,SaaS,professional,12/24/2022,,0,$26.19,333,324.0,,19.0,8.0,525,ANNUAL,Americas
