ip_address,timestamp,method,endpoint,status_code,response_size_bytes,referrer,user_agent,response_time
243.29.110.186,01/Jan/2024:00:00:00 +0000,POST,/api/orders,200,12812,,curl/7.88.1,0.62
249.14.254.244,01/Jan/2024:00:00:17 +0000,GET,%2Fsettings,404,46492,-,Scrapy/2.11.0 (+http://scrapy.org),4.12
61.176.170.249,01/Jan/2024:00:00:34 +0000,GET,/login,200,25773,https://bing.com,Scrapy/2.11.0 (+http://scrapy.org),2.54
9.149.139.5,01/Jan/2024:00:00:51 +0000,GET,/logout,200,0,-,Googlebot/2.1 (+http://www.google.com/bot.html),36712
224.204.148.197,01/Jan/2024:00:01:09 +0000,POST,/api/auth/token,200,43817,-,python-requests/2.31.0,0.23
208.33.230.12,01/Jan/2024:00:01:26 +0000,GET,%2Flogout,200,21119,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,3151
64.221.203.239,01/Jan/2024:00:01:43 +0000,GET,/api/orders,404,16838,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,3125
160.145.130.53,01/Jan/2024:00:02:00 +0000,GET,/api/orders,404,39619,-,curl/7.88.1,302
244.206.236.117,01/Jan/2024:00:02:18 +0000,PATCH,%2Flogout,301,30867,-,curl/7.88.1,0.67
243.26.182.180,01/Jan/2024:00:02:35 +0000,GET,/api/reports,200,39556,https://bing.com,PostmanRuntime/7.36.1,12.31
1.83.67.37,01/Jan/2024:00:02:52 +0000,GET,/favicon.ico,200,0,-,Googlebot/2.1 (+http://www.google.com/bot.html),1.25
186.64.220.5,01/Jan/2024:00:03:10 +0000,PUT,/logout,200,7203,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,71.24
172.26.115.25,01/Jan/2024:00:03:27 +0000,GET,/,400,709,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,2.49
192.168.11.107,01/Jan/2024:00:03:44 +0000,POST,/api/products,401,40663,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,1677
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:04:01 +0000,POST,/api/auth/token,200,6089,https://bing.com,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,1.75
74.32.240.29,01/Jan/2024:00:04:19 +0000,GET,/api/auth/token,200,28055,https://bing.com,curl/7.88.1,2.54
203.209.50.105,01/Jan/2024:00:04:36 +0000,GET,/search,301,22764,https://bing.com,curl/7.88.1,1375
fe80::1%eth0,01/Jan/2024:00:04:53 +0000,GET,/api/products,400,41858,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,28.43
::1,01/Jan/2024:00:05:11 +0000,POST,/health,200,32799,-,python-requests/2.31.0,1.19
174.107.245.10,01/Jan/2024:00:05:28 +0000,POST,/dashboard,500,34586,-,Scrapy/2.11.0 (+http://scrapy.org),23.5
52.151.29.86,01/Jan/2024:00:05:45 +0000,GET,/api/users,500,6771,-,python-requests/2.31.0,21.64
208.43.60.242,01/Jan/2024:00:06:02 +0000,GET,/static/main.css,200,41714,-,Googlebot/2.1 (+http://www.google.com/bot.html),3.32
158.17.176.181,01/Jan/2024:00:06:20 +0000,GET,/logout,200,28910,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,1902
46.30.161.242,01/Jan/2024:00:06:37 +0000,GET,/dashboard,200,40514,-,PostmanRuntime/7.36.1,4.12
203.207.135.6,01/Jan/2024:00:06:54 +0000,GET,%2Fapi%20%2Fauth%2Ftoken,200,42888,-,Googlebot/2.1 (+http://www.google.com/bot.html),0.21
fe80::1%eth0,01/Jan/2024:00:07:12 +0000,GET,/logout,201,32857,https://bing.com,Googlebot/2.1 (+http://www.google.com/bot.html),14744
75.30.248.209,01/Jan/2024:00:07:29 +0000,GET,/profile,301,44073,https://google.com,python-requests/2.31.0,822
44.41.18.119,01/Jan/2024:00:07:46 +0000,DELETE,/api/users,404,15474,https://google.com,curl/7.88.1,18.31
127.91.92.93,01/Jan/2024:00:08:03 +0000,GET,/search,200,34583,https://bing.com,Scrapy/2.11.0 (+http://scrapy.org),1.8
2001:db8::1,01/Jan/2024:00:08:21 +0000,GET,/api/v2/data,404,2494,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,7431
10.163.146.145,01/Jan/2024:00:08:38 +0000,GET,/dashboard,201,6497,https://bing.com,Scrapy/2.11.0 (+http://scrapy.org),0.44
81.66.233.7,01/Jan/2024:00:08:55 +0000,POST,/profile,201,6216,,curl/7.88.1,1.97
218.23.47.190,01/Jan/2024:00:09:12 +0000,POST,/settings,200,38109,-,PostmanRuntime/7.36.1,15049
157.57.127.50,01/Jan/2024:00:09:30 +0000,GET,/api/v2/data,401,12391,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,1.06
153.49.6.168,01/Jan/2024:00:09:47 +0000,GET,/api/products,200,48226,-,PostmanRuntime/7.36.1,0.36
254.164.169.132,01/Jan/2024:00:10:04 +0000,GET,/api/analytics,401,4364,,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,2.87
fe80::1%eth0,01/Jan/2024:00:10:22 +0000,GET,/api/orders,302,725,-,curl/7.88.1,42.55
172.17.175.213,01/Jan/2024:00:10:39 +0000,GET,/,201,8585,,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,10.41
51.206.5.129,01/Jan/2024:00:10:56 +0000,GET,/favicon.ico,201,44746,https://bing.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,1.8
160.38.124.183,01/Jan/2024:00:11:13 +0000,POST,/api/v2/data,200,46213,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,69871
114.55.201.149,01/Jan/2024:00:11:31 +0000,GET,/api/analytics,200,35534,,Googlebot/2.1 (+http://www.google.com/bot.html),109.89
104.217.50.107,01/Jan/2024:00:11:48 +0000,POST,%2Fapi%20%2Fsearch,301,28801,,python-requests/2.31.0,3198
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:12:05 +0000,GET,/robots.txt,200,32394,https://bing.com,python-requests/2.31.0,45.48
78.165.250.238,01/Jan/2024:00:12:23 +0000,GET,/api/auth/token,503,34320,-,python-requests/2.31.0,1.31
115.236.99.75,01/Jan/2024:00:12:40 +0000,POST,/favicon.ico,200,28946,-,Googlebot/2.1 (+http://www.google.com/bot.html),796
130.152.163.146,01/Jan/2024:00:12:57 +0000,GET,/api/orders,200,28315,,Scrapy/2.11.0 (+http://scrapy.org),0.44
150.152.191.154,01/Jan/2024:00:13:14 +0000,GET,/api/auth/token,200,0,-,curl/7.88.1,1459
171.195.6.195,01/Jan/2024:00:13:32 +0000,PUT,/static/main.css,500,10254,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,1304
172.28.219.125,01/Jan/2024:00:13:49 +0000,POST,/api/search,500,4624,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,23.12
120.111.34.4,01/Jan/2024:00:14:06 +0000,GET,/api/search,200,46372,https://google.com,Googlebot/2.1 (+http://www.google.com/bot.html),250
240.154.115.196,01/Jan/2024:00:14:24 +0000,GET,/api/users,200,45331,-,Scrapy/2.11.0 (+http://scrapy.org),1.21
81.146.17.129,01/Jan/2024:00:14:41 +0000,GET,/health,401,35391,-,python-requests/2.31.0,1120
38.20.248.208,01/Jan/2024:00:14:58 +0000,GET,/static/main.css,200,7848,https://bing.com,PostmanRuntime/7.36.1,114
125.199.99.158,01/Jan/2024:00:15:15 +0000,POST,/logout,200,32232,https://bing.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,0.19
215.20.146.108,01/Jan/2024:00:15:33 +0000,GET,/favicon.ico,301,16349,-,curl/7.88.1,1.19
229.124.104.229,01/Jan/2024:00:15:50 +0000,GET,/api/products,500,29994,https://bing.com,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,9.35
119.6.237.56,01/Jan/2024:00:16:07 +0000,GET,/favicon.ico,200,18304,-,Googlebot/2.1 (+http://www.google.com/bot.html),1.21
141.189.91.65,01/Jan/2024:00:16:24 +0000,GET,/login,404,7337,https://bing.com,PostmanRuntime/7.36.1,0.35
61.159.14.64,01/Jan/2024:00:16:42 +0000,POST,/api/analytics,302,5644,https://google.com,PostmanRuntime/7.36.1,989
47.245.159.246,01/Jan/2024:00:16:59 +0000,GET,/api/orders,403,6864,https://bing.com,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,10.95
182.9.56.72,01/Jan/2024:00:17:16 +0000,GET,/robots.txt,200,22858,-,python-requests/2.31.0,2.56
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:17:34 +0000,GET,/api/metrics,200,34203,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,2.66
201.73.218.13,01/Jan/2024:00:17:51 +0000,GET,%2F,500,36233,-,Scrapy/2.11.0 (+http://scrapy.org),0.55
44.219.127.99,01/Jan/2024:00:18:08 +0000,GET,%2Fprofile,200,8983,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,3.36
93.5.99.21,01/Jan/2024:00:18:25 +0000,GET,/login,200,16031,-,PostmanRuntime/7.36.1,0.34
78.9.9.25,01/Jan/2024:00:18:43 +0000,GET,/settings,201,18054,-,Googlebot/2.1 (+http://www.google.com/bot.html),7.58
192.168.101.212,01/Jan/2024:00:19:00 +0000,DELETE,/api/metrics,404,32289,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,3.83
133.1.37.214,01/Jan/2024:00:19:17 +0000,GET,%2Fhealth,403,452,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,15667
126.186.173.71,01/Jan/2024:00:19:35 +0000,PUT,/,200,32934,-,Googlebot/2.1 (+http://www.google.com/bot.html),2.28
186.45.22.132,01/Jan/2024:00:19:52 +0000,POST,%2Fapi%20%2Fusers,200,41803,-,curl/7.88.1,11.79
22.6.57.223,01/Jan/2024:00:20:09 +0000,GET,/api/auth/token,201,46536,-,python-requests/2.31.0,16.77
106.35.216.42,01/Jan/2024:00:20:26 +0000,GET,%2Fstatic%2Fmain.css,500,30351,-,PostmanRuntime/7.36.1,3.59
::1,01/Jan/2024:00:20:44 +0000,GET,/api/search,200,0,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,0.35
151.155.86.30,01/Jan/2024:00:21:01 +0000,GET,/robots.txt,401,20238,,curl/7.88.1,2.63
225.203.147.65,01/Jan/2024:00:21:18 +0000,PATCH,/profile,200,24050,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,12659
24.211.231.222,01/Jan/2024:00:21:36 +0000,GET,/settings,400,9080,-,Googlebot/2.1 (+http://www.google.com/bot.html),2.25
251.156.202.143,01/Jan/2024:00:21:53 +0000,GET,/api/users,200,32021,-,python-requests/2.31.0,1.49
54.200.134.225,01/Jan/2024:00:22:10 +0000,GET,/api/reports,500,3783,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,3.74
232.163.20.210,01/Jan/2024:00:22:27 +0000,PUT,/api/reports,200,49938,-,Scrapy/2.11.0 (+http://scrapy.org),2.59
146.139.73.163,01/Jan/2024:00:22:45 +0000,POST,/login,200,9735,,PostmanRuntime/7.36.1,0.5
221.82.145.192,01/Jan/2024:00:23:02 +0000,GET,/settings,301,1528,-,curl/7.88.1,0.49
::ffff:192.0.2.1,01/Jan/2024:00:23:19 +0000,PUT,/api/search,500,28670,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,5.09
109.118.92.220,01/Jan/2024:00:23:36 +0000,GET,/api/analytics,500,9095,-,PostmanRuntime/7.36.1,4.19
166.225.254.132,01/Jan/2024:00:23:54 +0000,POST,/api/v2/data,201,8252,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,7324
::1,01/Jan/2024:00:24:11 +0000,POST,/api/metrics,401,19742,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,4.18
21.89.252.66,01/Jan/2024:00:24:28 +0000,POST,/favicon.ico,200,40393,-,python-requests/2.31.0,9.38
34.160.200.191,01/Jan/2024:00:24:46 +0000,GET,/search,200,32625,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,19.81
108.93.17.166,01/Jan/2024:00:25:03 +0000,GET,%2Fapi%20%2Fauth%2Ftoken,200,42873,https://bing.com,Googlebot/2.1 (+http://www.google.com/bot.html),27500
171.38.32.185,01/Jan/2024:00:25:20 +0000,PATCH,/robots.txt,500,24913,https://bing.com,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,3600
211.49.141.34,01/Jan/2024:00:25:37 +0000,GET,/api/orders,200,3653,-,PostmanRuntime/7.36.1,25.88
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:25:55 +0000,GET,/robots.txt,503,46372,-,python-requests/2.31.0,5.47
129.102.129.236,01/Jan/2024:00:26:12 +0000,GET,/dashboard,200,33370,,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,0.57
217.3.52.93,01/Jan/2024:00:26:29 +0000,GET,/login,500,41275,-,Googlebot/2.1 (+http://www.google.com/bot.html),1.3
248.178.69.111,01/Jan/2024:00:26:47 +0000,PUT,/api/metrics,401,33668,-,PostmanRuntime/7.36.1,35.29
249.96.232.117,01/Jan/2024:00:27:04 +0000,GET,%2Fsettings,404,18074,https://google.com,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,1.98
152.43.65.239,01/Jan/2024:00:27:21 +0000,POST,/,301,762,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,0.82
128.156.27.175,01/Jan/2024:00:27:38 +0000,POST,/settings,200,27734,https://bing.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,10563
182.54.11.210,01/Jan/2024:00:27:56 +0000,POST,/api/analytics,200,22093,-,curl/7.88.1,0.93
177.248.82.37,01/Jan/2024:00:28:13 +0000,GET,/,401,48198,https://bing.com,curl/7.88.1,4.45
45.108.57.250,01/Jan/2024:00:28:30 +0000,GET,/profile,404,29736,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,0.59
::1,01/Jan/2024:00:28:48 +0000,GET,/api/auth/token,200,13312,-,PostmanRuntime/7.36.1,89.49
30.90.107.42,01/Jan/2024:00:29:05 +0000,GET,/robots.txt,200,4861,https://google.com,Scrapy/2.11.0 (+http://scrapy.org),8179
245.216.60.228,01/Jan/2024:00:29:22 +0000,GET,%2Fapi%20%2Freports,200,0,-,python-requests/2.31.0,1.48
251.49.197.64,01/Jan/2024:00:29:39 +0000,GET,/login,200,13498,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,1.52
90.12.66.209,01/Jan/2024:00:29:57 +0000,GET,/api/orders,200,10650,-,curl/7.88.1,1064
121.52.92.231,01/Jan/2024:00:30:14 +0000,GET,/health,200,32252,-,Googlebot/2.1 (+http://www.google.com/bot.html),1.78
::ffff:192.0.2.1,01/Jan/2024:00:30:31 +0000,PATCH,/api/analytics,200,17625,-,PostmanRuntime/7.36.1,0.01
103.116.148.57,01/Jan/2024:00:30:48 +0000,PATCH,/api/analytics,500,5995,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,0.07
94.47.3.234,01/Jan/2024:00:31:06 +0000,POST,/api/metrics,200,17777,-,PostmanRuntime/7.36.1,0.22
::1,01/Jan/2024:00:31:23 +0000,GET,/api/reports,201,6738,https://google.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,313
2001:db8::1,01/Jan/2024:00:31:40 +0000,POST,%2F,200,0,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,1.12
7.77.219.108,01/Jan/2024:00:31:58 +0000,GET,/api/reports,200,1391,-,Googlebot/2.1 (+http://www.google.com/bot.html),22982
229.72.38.242,01/Jan/2024:00:32:15 +0000,GET,/api/v2/data,200,7306,-,python-requests/2.31.0,0.14
::ffff:192.0.2.1,01/Jan/2024:00:32:32 +0000,DELETE,/static/main.css,200,43848,,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,0.11
50.207.76.204,01/Jan/2024:00:32:49 +0000,POST,%2Frobots.txt,200,15356,-,Scrapy/2.11.0 (+http://scrapy.org),3.74
67.125.61.204,01/Jan/2024:00:33:07 +0000,PUT,/robots.txt,404,25449,https://google.com,python-requests/2.31.0,21.86
153.86.44.114,01/Jan/2024:00:33:24 +0000,PUT,/robots.txt,503,37282,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,0.26
87.249.181.37,01/Jan/2024:00:33:41 +0000,POST,/api/reports,404,42607,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,626
109.43.163.166,01/Jan/2024:00:33:59 +0000,GET,%2Fprofile,200,29256,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,591
8.238.149.93,01/Jan/2024:00:34:16 +0000,PUT,/api/users,302,28033,https://bing.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,2937
143.78.35.115,01/Jan/2024:00:34:33 +0000,GET,/api/orders,403,12015,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,0.93
192.168.34.41,01/Jan/2024:00:34:50 +0000,GET,/favicon.ico,200,39924,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,2.37
53.104.78.92,01/Jan/2024:00:35:08 +0000,GET,/health,404,13602,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,7.53
86.254.33.190,01/Jan/2024:00:35:25 +0000,GET,/profile,200,36206,https://google.com,PostmanRuntime/7.36.1,2.32
153.209.207.191,01/Jan/2024:00:35:42 +0000,POST,/api/metrics,403,41272,https://bing.com,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,12.12
223.176.182.205,01/Jan/2024:00:36:00 +0000,GET,/api/users,302,41945,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,10.82
172.19.169.31,01/Jan/2024:00:36:17 +0000,POST,/api/products,301,5933,https://google.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,1.11
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:36:34 +0000,GET,/api/users,200,11606,-,curl/7.88.1,1.27
235.69.39.97,01/Jan/2024:00:36:51 +0000,POST,/search,200,0,-,python-requests/2.31.0,0.66
249.47.58.167,01/Jan/2024:00:37:09 +0000,GET,/profile,200,12016,-,PostmanRuntime/7.36.1,13964
93.252.66.33,01/Jan/2024:00:37:26 +0000,GET,/health,200,25568,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) Safari/605,900
10.173.190.211,01/Jan/2024:00:37:43 +0000,GET,/static/main.css,401,18609,https://bing.com,Googlebot/2.1 (+http://www.google.com/bot.html),1.5
23.135.191.5,01/Jan/2024:00:38:00 +0000,GET,/api/auth/token,401,40499,https://google.com,python-requests/2.31.0,0.96
56.151.246.244,01/Jan/2024:00:38:18 +0000,PUT,%2F,200,30101,-,PostmanRuntime/7.36.1,0.38
69.140.14.37,01/Jan/2024:00:38:35 +0000,GET,/logout,404,35187,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,14.91
192.168.59.53,01/Jan/2024:00:38:52 +0000,GET,/login,404,38116,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,72.14
172.18.76.56,01/Jan/2024:00:39:10 +0000,GET,/api/reports,500,24794,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari/604,269
89.92.47.36,01/Jan/2024:00:39:27 +0000,POST,/api/v2/data,200,29064,-,python-requests/2.31.0,1.46
2001:db8:85a3::8a2e:370:7334,01/Jan/2024:00:39:44 +0000,GET,/api/metrics,400,28309,https://google.com,python-requests/2.31.0,0.52
143.2.8.126,01/Jan/2024:00:40:01 +0000,GET,/,404,23405,-,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko Firefox/121.0,5.87
