ticker,date,open,high,low,close,volume,adj_close,dividend
AAPL,2024-01-01,630.74,629.7,626.0,628.18,41144814,618.53,0.14
AAPL,2024-01-02,629.25,631.98,619.34,626.66,86877191,621.09,0.0
AAPL,2024-01-03,632.67,635.19,630.02,631.9,35039236,620.65,0.18
AAPL,2024-01-04,633.1,643.77,622.0,633.79,39176454,630.19,0.0
AAPL,2024-01-05,636.05,637.78,625.84,633.93,66619940,627.32,0.0
AAPL,2024-01-08,618.33,621.59,616.26,618.97,42735704,615.64,0.0
AAPL,2024-01-09,612.0,618.11,608.84,612.6,50803681,606.98,0.0
AAPL,2024-01-10,600.04,605.09,597.93,600.05,36169189,597.46,0.0
AAPL,2024-01-11,591.79,599.39,582.67,589.92,75673694,578.13,0.0
AAPL,2024-01-12,597.41,601.93,596.28,599.79,74518359,595.04,0.0
AAPL,2024-01-15,601.64,606.57,601.07,604.24,57255928,603.73,0.0
AAPL,2024-01-16,604.05,601.98,612.86,606.29,59514911,605.78,1.56
AAPL,2024-01-17,605.34,610.31,602.99,608.16,58050239,606.49,0.0
AAPL,2024-01-18,606.95,610.77,603.84,607.97,53102512,600.04,0.0
AAPL,2024-01-19,613.76,617.92,608.03,614.59,34289992,609.07,0.0
AAPL,2024-01-22,601.52,608.78,598.42,604.14,66280787,594.9,0.0
AAPL,2024-01-23,607.58,610.72,600.8,606.51,72762809,604.39,0.0
AAPL,2024-01-24,601.94,610.61,595.04,600.56,80107776,597.03,0.0
AAPL,2024-01-25,605.14,611.7,599.47,607.77,55859802,602.35,0.0
AAPL,2024-01-26,619.96,622.97,611.71,618.24,82677471,606.73,0.44
AAPL,2024-01-29,629.65,635.47,622.53,629.01,22626781,623.84,0.0
AAPL,2024-01-30,641.41,651.05,630.58,643.89,91413835,643.4,0.0
AAPL,2024-01-31,653.4,663.18,650.61,655.87,77951282,646.33,0.0
AAPL,2024-02-01,652.54,662.13,649.12,654.87,74083125,650.92,0.0
AAPL,2024-02-02,646.23,652.2,636.38,645.24,25496459,635.78,0.0
AAPL,2024-02-05,630.57,631.76,621.77,627.98,51177610,623.78,0.23
AAPL,2024-02-06,625.79,627.96,623.17,625.24,58995441,623.72,0.0
AAPL,2024-02-07,626.46,628.45,619.75,624.31,53999349,614.42,0.0
AAPL,2024-02-08,616.84,622.48,608.77,617.86,0,610.6,0.0
AAPL,2024-02-09,613.73,630.47,609.25,616.75,42053338,614.46,1.97
AAPL,2024-02-12,618.17,620.5,607.44,615.56,38602550,614.18,0.91
AAPL,2024-02-13,624.41,630.42,618.79,623.82,95273756,622.0,1.32
AAPL,2024-02-14,618.06,624.5,617.73,620.93,88821609,616.34,0.0
AAPL,2024-02-15,617.22,626.32,611.64,619.21,0,610.5,0.0
AAPL,2024-02-16,615.71,624.48,609.22,613.07,54474695,606.72,0.0
AAPL,2024-02-19,602.62,604.86,602.3,603.47,34064783,600.48,0.0
AAPL,2024-02-20,612.48,620.13,605.09,613.99,20453220,602.5,0.61
AAPL,2024-02-21,598.5,607.19,595.01,599.98,52970111,592.89,0.0
AAPL,2024-02-22,586.93,592.91,583.14,586.01,66658587,579.32,0.85
AAPL,2024-02-23,586.86,599.0,580.22,589.63,78118387,583.06,0.0
AAPL,2024-02-26,591.76,599.63,580.49,590.12,39285724,589.42,1.24
AAPL,2024-02-27,597.57,601.82,584.76,596.29,93583801,589.54,0.0
AAPL,2024-02-28,601.23,606.75,595.36,601.1,47578474,593.83,0.19
AAPL,2024-02-29,608.5,616.94,604.95,608.15,24069441,600.98,0.0
AAPL,2024-03-01,611.15,617.42,610.4,613.14,54611572,608.8,0.0
AAPL,2024-03-04,609.4,612.37,602.18,608.36,63937320,605.05,0.0
AAPL,2024-03-05,611.04,611.0,607.22,609.76,89686349,599.44,0.0
AAPL,2024-03-06,601.18,604.52,593.43,599.08,25282546,587.21,0.0
AAPL,2024-03-07,602.02,602.61,591.52,599.25,23556179,591.25,0.68
AAPL,2024-03-08,604.42,604.19,600.73,602.5,51779479,594.59,1.54
AAPL,2024-03-11,596.94,605.17,595.67,599.64,23488916,592.24,0.0
AAPL,2024-03-12,603.3,607.09,594.43,602.52,41173516,591.72,0.0
AAPL,2024-03-13,597.61,601.24,591.79,597.83,71122938,592.16,0.0
AAPL,2024-03-14,592.56,597.2,585.74,593.3,92350750,589.05,0.0
AAPL,2024-03-15,587.29,593.24,587.72,589.56,0,582.67,0.0
AAPL,2024-03-18,609.16,617.66,594.04,606.53,80269629,603.69,0.0
AAPL,2024-03-19,612.71,614.45,600.81,609.68,85731325,608.63,0.0
AAPL,2024-03-20,598.51,602.04,592.85,597.21,69400963,591.83,0.0
AAPL,2024-03-21,586.57,588.3,581.24,585.46,56224358,574.2,0.64
AAPL,2024-03-22,577.04,580.42,569.08,574.31,49445536,568.45,0.0
AAPL,2024-03-25,556.88,566.56,556.21,559.4,57440229,553.93,1.67
AAPL,2024-03-26,570.06,578.88,566.93,570.32,88773338,560.9,0.0
AAPL,2024-03-27,569.56,574.57,561.01,568.14,27733145,560.57,0.0
AAPL,2024-03-28,567.66,575.08,562.63,568.48,41251776,562.17,0.0
AAPL,2024-03-29,576.96,581.16,569.61,578.02,26896880,576.38,0.0
AAPL,2024-04-01,568.3,575.34,558.41,565.65,46614701,563.99,0.91
AAPL,2024-04-02,557.78,562.3,554.19,558.67,30731762,554.14,0.0
AAPL,2024-04-03,546.29,553.8,535.8,545.43,79944965,545.27,0.0
AAPL,2024-04-04,542.4,548.61,538.84,544.54,82066929,536.46,1.66
AAPL,2024-04-05,558.26,560.13,551.54,555.98,38467668,550.65,0.0
AAPL,2024-04-08,553.64,556.25,547.47,551.73,44265782,540.76,0.6
AAPL,2024-04-09,554.63,554.21,547.95,552.31,75163349,547.82,0.0
AAPL,2024-04-10,552.13,555.15,548.8,552.12,20683794,541.2,0.0
AAPL,2024-04-11,553.77,553.58,547.02,551.13,79412324,549.07,0.75
AAPL,2024-04-12,560.95,564.07,560.32,561.92,74384054,551.89,0.0
AAPL,2024-04-15,559.66,566.7,554.57,558.55,60943671,548.78,0.0
AAPL,2024-04-16,546.83,548.08,540.56,544.98,81656253,543.17,1.97
AAPL,2024-04-17,544.48,550.05,541.5,546.22,97442003,542.55,1.09
AAPL,2024-04-18,540.39,545.08,536.59,540.38,55046344,535.16,0.0
AAPL,2024-04-19,545.69,551.34,541.24,545.96,27646140,544.63,0.0
AAPL,2024-04-22,558.14,558.74,554.15,556.16,74628506,550.25,0.0
AAPL,2024-04-23,568.01,574.97,554.45,566.01,50631098,564.82,0.72
AAPL,2024-04-24,566.76,570.46,559.15,565.18,67409045,557.35,0.0
AAPL,2024-04-25,559.48,564.43,559.61,561.46,82750592,552.55,0.13
AAPL,2024-04-26,544.94,556.37,535.91,546.63,64747209,538.73,0.0
AAPL,2024-04-29,545.55,548.28,542.69,544.2,73028168,543.37,0.0
AAPL,2024-04-30,544.81,547.32,540.77,543.29,29363137,542.66,0.0
AAPL,2024-05-01,560.93,563.02,552.92,559.16,61086724,550.61,0.0
AAPL,2024-05-02,568.57,570.53,564.29,566.36,60893692,556.35,1.62
AAPL,2024-05-03,566.16,570.09,555.56,564.01,21130146,554.96,0.0
AAPL,2024-05-06,569.94,582.23,565.16,569.49,59049740,562.07,0.0
AAPL,2024-05-07,551.32,558.11,549.08,553.6,79520125,544.74,0.0
AAPL,2024-05-08,533.03,538.72,526.4,534.41,80661091,530.78,1.95
AAPL,2024-05-09,524.34,527.25,522.86,525.19,63572641,521.85,0.0
AAPL,2024-05-10,531.83,525.68,532.1,530.16,74806691,526.52,0.0
AAPL,2024-05-13,535.99,535.63,531.14,533.87,32007242,527.46,0.0
AAPL,2024-05-14,532.47,537.98,526.96,533.66,82613873,530.11,0.0
AAPL,2024-05-15,538.66,549.43,530.74,537.59,45229127,531.24,1.24
AAPL,2024-05-16,544.36,549.97,538.25,545.35,21634613,542.03,0.0
AAPL,2024-05-17,551.21,557.13,541.79,550.17,70053973,539.39,0.0
MSFT,2024-01-01,499.85,505.92,495.81,499.96,30105584,498.68,0.48
MSFT,2024-01-02,502.97,509.26,501.31,504.73,27729301,495.85,0.0
MSFT,2024-01-03,505.01,510.78,497.51,504.46,31201969,501.32,0.0
MSFT,2024-01-04,499.17,502.23,498.59,500.91,24597896,491.47,0.0
MSFT,2024-01-05,499.16,502.1,492.71,499.28,53950327,493.67,0.0
MSFT,2024-01-08,502.38,501.03,497.55,499.91,54958781,490.33,0.0
MSFT,2024-01-09,509.48,512.71,498.04,507.63,51857826,503.66,0.55
MSFT,2024-01-10,504.33,510.73,503.32,506.83,62184604,501.93,0.0
MSFT,2024-01-11,509.09,510.06,504.71,506.68,73169562,505.19,0.0
MSFT,2024-01-12,520.6,521.24,516.82,519.42,35774812,519.39,0.0
