shipment_id,order_date,ship_date,delivery_date,carrier,origin_city,destination_city,product_id,product_category,weight,quantity,shipping_cost,delivery_status,days_in_transit,on_time,damage_reported,tracking_number,customer_id,region,priority
SHP-285216,2022-10-26,2022-10-28,2022-10-31,USPS,Chicago,Boston,SKU-74197,Clothing,164.6,48,368.47,returned,3,N,,1Z4311021100,CUST-68791,Southwest,Low
SHP-597568,2022-06-12,2022-06-13,2022-06-22,fedex,Phoenix,Portland,SKU-82029,Auto,335.4,12,728.03,Delivered,9,no,False,,CUST-57757,West,Low
SHP-221116,2022-12-30,2023-01-02,2023-01-13,usps,Phoenix,Seattle,SKU-65240,Industrial,46.12,14,597.87,Returned,11,0,False,1Z8036961459,CUST-80055,South,High
SHP-940509,2022-05-29,2022-05-31,2022-06-09,USPS,Phoenix,Minneapolis,SKU-32447,Medical,29.45,4,604.1,returned,9,yes,False,1Z8273966230,CUST-62411,Midwest,High
SHP-283117,2023-07-22,2023-07-25,2023-07-31,UPS,Miami,Detroit,SKU-24752,Electronics,226.57,12,397.18,Returned,6,N,False,1Z9125830452,CUST-63456,South,URGENT
SHP-687075,2022-10-08,2022-10-11,2022-10-14,UPS,Los Angeles,Seattle,SKU-26045,Industrial,74.94,49,691.49,TRANSIT,3,No,False,1Z3020759321,CUST-16902,Midwest,Low
SHP-317501,2023-06-18,2023-06-21,2023-06-29,USPS,Houston,Las Vegas,SKU-52791,Electronics,0.55,22,74.2,delivered,8,no,False,1Z1900323789,CUST-83503,West,URGENT
SHP-937127,2024-05-21,2024-05-24,2024-06-11,Federal Express,Los Angeles,Denver,SKU-98555,Furniture,111.69,47,121.09,In Transit,18,no,False,1Z6306942017,CUST-97023,Northeast,Standard
SHP-980925,2022-08-27,2022-08-31,2022-09-19,United Parcel Service,New York,Las Vegas,SKU-40904,Medical,4.28,27,190.46,Delivered,19,1,False,1Z7507151452,CUST-40915,South,High
SHP-395181,2023-05-03,2023-05-05,2023-05-20,FedEx,Houston,Boston,SKU-70180,Auto,271.96,66,257.75,DELIVERED,15,Yes,False,1Z7504939174,CUST-62869,Southwest,URGENT
SHP-323492,2023-11-21,2023-11-25,2023-12-04,FedEx,Chicago,Austin,SKU-60292,Medical,380.08,67,29.13,Delivered,9,Yes,False,1Z8585296992,CUST-20789,Midwest,Standard
